ID	Sex	DR	Vowel	Context
DCD0	M	4	iy	sh_iy_hv
DCD0	M	4	iy	z_iy_w
DCD0	M	4	iy	er_iy_n
DCD0	M	4	iy	th_iy_r
DCD0	M	4	iy	r_iy_pau
DCD0	M	4	iy	dh_iy_aa
DCD0	M	4	iy	r_iy_nx
DCD0	M	4	iy	dx_iy_aa
DCD0	M	4	iy	jh_iy_hh
DCD0	M	4	iy	r_iy_z
DCD0	M	4	iy	v_iy_z
DCD0	M	4	iy	jh_iy_tcl
DCD0	M	4	ae	nx_ae_s
DCD0	M	4	ae	r_ae_gcl
DCD0	M	4	ae	l_ae_kcl
DCD0	M	4	ae	p_ae_nx
DCD0	M	4	ae	n_ae_sh
DCD0	M	4	ae	hv_ae_v
DCD0	M	4	ae	ch_ae_l
DCD0	M	4	aa	d_aa_r
DCD0	M	4	aa	m_aa_pcl
DCD0	M	4	aa	iy_aa_dcl
DCD0	M	4	aa	hv_aa_n
DCD0	M	4	aa	n_aa_r
DCD0	M	4	aa	z_aa_n
DCD0	M	4	aa	m_aa_dcl
DCD0	M	4	aa	ux_aa_dx
DCD0	M	4	aa	iy_aa_l
DCD0	M	4	aa	hh_aa_nx
DCD0	M	4	aa	p_aa_n
DCD0	M	4	uh	w_uh_dcl
DCD0	M	4	b	h#_b_ix
DCD0	M	4	b	ax_bcl_b
DCD0	M	4	b	bcl_b_ix
DCD0	M	4	d	eh_dcl_d
DCD0	M	4	d	dcl_d_y
DCD0	M	4	d	axr_dcl_d
DCD0	M	4	d	dcl_d_aa
DCD0	M	4	d	uw_dx_ix
DCD0	M	4	d	ao_dx_axr
DCD0	M	4	d	h#_d_ow
DCD0	M	4	d	ih_dx_ix
DCD0	M	4	d	kcl_dh_eh
DCD0	M	4	d	n_dcl_jh
DCD0	M	4	d	axr_dh_ax
DCD0	M	4	d	ay_dx_ih
DCD0	M	4	d	ih_dcl_d
DCD0	M	4	d	dcl_d_aw
DCD0	M	4	d	h#_dh_ix
DCD0	M	4	d	pau_dh_iy
DCD0	M	4	d	aa_dcl_d
DCD0	M	4	d	dcl_d_ix
DCD0	M	4	d	r_dx_ix
DCD0	M	4	d	aa_dcl_jh
DCD0	M	4	d	h#_dh_ax
DCD0	M	4	d	ao_dx_axr
DCD0	M	4	d	n_dcl_t
DCD0	M	4	d	h#_d_ah
DCD0	M	4	d	n_dcl_d
DCD0	M	4	d	dcl_d_ux
DCD0	M	4	d	aa_dx_iy
DCD0	M	4	d	ix_dcl_jh
DCD0	M	4	d	eh_dcl_w
DCD0	M	4	d	uh_dcl_d
DCD0	M	4	d	dcl_d_z
DCD0	M	4	d	n_dcl_jh
DCD0	M	4	d	ch_dcl_jh
DCD0	M	4	d	ah_dcl_jh
DCD0	M	4	g	n_gcl_g
DCD0	M	4	g	gcl_g_r
DCD0	M	4	g	ae_gcl_g
DCD0	M	4	g	gcl_g_l
DCD0	M	4	g	ao_ng_axr
DCD0	M	4	g	ah_ng_ix
DCD0	M	4	g	h#_g_ah
DCD0	M	4	p	sh_epi_w
DCD0	M	4	p	s_epi_m
DCD0	M	4	p	aa_pcl_p
DCD0	M	4	p	pcl_p_w
DCD0	M	4	p	s_pcl_p
DCD0	M	4	p	pcl_p_ah
DCD0	M	4	p	iy_pau_dh
DCD0	M	4	p	z_epi_m
DCD0	M	4	p	r_pcl_p
DCD0	M	4	p	pcl_p_ae
DCD0	M	4	p	aw_epi_z
DCD0	M	4	p	ao_pcl_p
DCD0	M	4	p	pcl_p_aa
DCD0	M	4	p	sh_epi_en
DCD0	M	4	t	eh_tcl_t
DCD0	M	4	t	tcl_t_h#
DCD0	M	4	t	s_tcl_t
DCD0	M	4	t	tcl_t_ah
DCD0	M	4	t	n_tcl_m
DCD0	M	4	t	ax_th_tcl
DCD0	M	4	t	th_tcl_t
DCD0	M	4	t	tcl_t_ux
DCD0	M	4	t	ah_tcl_ch
DCD0	M	4	t	ix_th_iy
DCD0	M	4	t	ix_tcl_t
DCD0	M	4	t	tcl_t_s
DCD0	M	4	t	n_tcl_t
DCD0	M	4	t	tcl_t_ey
DCD0	M	4	t	dcl_t_ux
DCD0	M	4	t	ah_tcl_ch
DCD0	M	4	t	s_tcl_t
DCD0	M	4	t	tcl_t_ah
DCD0	M	4	t	n_tcl_t
DCD0	M	4	t	tcl_t_r
DCD0	M	4	t	k_th_r
DCD0	M	4	t	s_tcl_t
DCD0	M	4	t	tcl_t_h#
DCD0	M	4	t	iy_tcl_ch
DCD0	M	4	t	n_tcl_t
DCD0	M	4	t	tcl_t_eh
DCD0	M	4	t	en_tcl_s
DCD0	M	4	k	r_kcl_k
DCD0	M	4	k	kcl_k_s
DCD0	M	4	k	ix_kcl_k
DCD0	M	4	k	kcl_k_eh
DCD0	M	4	k	ae_kcl_dh
DCD0	M	4	k	eh_kcl_k
DCD0	M	4	k	kcl_k_ax
DCD0	M	4	k	n_kcl_k
DCD0	M	4	k	kcl_k_w
DCD0	M	4	k	axr_kcl_k
DCD0	M	4	k	kcl_k_ax
DCD0	M	4	k	ch_kcl_k
DCD0	M	4	k	kcl_k_l
DCD0	M	4	k	axr_kcl_k
DCD0	M	4	k	kcl_k_aw
DCD0	M	4	k	ao_kcl_k
DCD0	M	4	k	kcl_k_th
DCD0	M	4	k	ax_kcl_k
DCD0	M	4	k	kcl_k_oy
DCD0	M	4	s	h#_sh_iy
DCD0	M	4	s	k_s_uw
DCD0	M	4	s	ao_sh_epi
DCD0	M	4	s	ae_s_epi
DCD0	M	4	s	ey_s_eh
DCD0	M	4	s	ah_s_ih
DCD0	M	4	s	ih_s_tcl
DCD0	M	4	s	ux_s_pcl
DCD0	M	4	s	t_s_hh
DCD0	M	4	s	ey_sh_en
DCD0	M	4	s	n_s_tcl
DCD0	M	4	s	ah_s_ao
DCD0	M	4	s	uw_s_ax
DCD0	M	4	s	ae_sh_epi
DCD0	M	4	s	ix_s_tcl
DCD0	M	4	s	tcl_s_h#
DCD0	M	4	z	ey_z_iy
DCD0	M	4	z	ix_z_h#
DCD0	M	4	z	ix_z_aa
DCD0	M	4	z	ix_z_epi
DCD0	M	4	z	ah_z_ey
DCD0	M	4	z	ix_z_ay
DCD0	M	4	z	ay_z_h#
DCD0	M	4	z	ah_z_hh
DCD0	M	4	z	epi_z_h#
DCD0	M	4	z	iy_z_en
