ID	Sex	DR	Vowel	Context
DLD0	M	2	iy	sh_iy_hv
DLD0	M	2	iy	r_iy_s
DLD0	M	2	iy	s_iy_w
DLD0	M	2	iy	m_iy_dx
DLD0	M	2	iy	r_iy_ix
DLD0	M	2	iy	l_iy_r
DLD0	M	2	iy	hv_iy_pau
DLD0	M	2	iy	hh_iy_w
DLD0	M	2	iy	n_iy_tcl
DLD0	M	2	iy	l_iy_pcl
DLD0	M	2	ae	hv_ae_dcl
DLD0	M	2	ae	t_ae_s
DLD0	M	2	ae	r_ae_gcl
DLD0	M	2	ae	dh_ae_tcl
DLD0	M	2	ae	q_ae_m
DLD0	M	2	ae	k_ae_n
DLD0	M	2	ae	l_ae_n
DLD0	M	2	aa	d_aa_r
DLD0	M	2	aa	w_aa_sh
DLD0	M	2	aa	w_aa_dx
DLD0	M	2	aa	w_aa_n
DLD0	M	2	aa	er_aa_r
DLD0	M	2	aa	n_aa_v
DLD0	M	2	uh	hh_uh_dcl
DLD0	M	2	uh	s_uh_pcl
DLD0	M	2	b	ax_bcl_b
DLD0	M	2	b	bcl_b_ao
DLD0	M	2	b	n_bcl_b
DLD0	M	2	b	bcl_b_ah
DLD0	M	2	b	tcl_b_ah
DLD0	M	2	b	m_bcl_b
DLD0	M	2	b	bcl_b_y
DLD0	M	2	b	ay_bcl_b
DLD0	M	2	b	bcl_b_ay
DLD0	M	2	b	tcl_b_er
DLD0	M	2	b	ah_bcl_b
DLD0	M	2	b	bcl_b_ao
DLD0	M	2	b	er_bcl_b
DLD0	M	2	b	bcl_b_s
DLD0	M	2	d	ae_dcl_d
DLD0	M	2	d	dcl_d_y
DLD0	M	2	d	er_dcl_d
DLD0	M	2	d	dcl_d_aa
DLD0	M	2	d	ao_dx_axr
DLD0	M	2	d	h#_d_ow
DLD0	M	2	d	iy_dx_ix
DLD0	M	2	d	k_dh_ae
DLD0	M	2	d	h#_dh_eh
DLD0	M	2	d	pau_dh_eh
DLD0	M	2	d	aa_dx_ih
DLD0	M	2	d	ih_dcl_d
DLD0	M	2	d	dcl_d_hv
DLD0	M	2	d	pcl_d_aw
DLD0	M	2	d	h#_d_ux
DLD0	M	2	d	eh_dx_ix
DLD0	M	2	d	n_dcl_d
DLD0	M	2	d	dcl_d_pcl
DLD0	M	2	d	uh_dcl_d
DLD0	M	2	d	dcl_d_q
DLD0	M	2	g	n_gcl_g
DLD0	M	2	g	gcl_g_r
DLD0	M	2	g	ae_gcl_g
DLD0	M	2	g	gcl_g_l
DLD0	M	2	g	ih_ng_tcl
DLD0	M	2	g	ah_ng_kcl
DLD0	M	2	g	ih_ng_y
DLD0	M	2	g	r_gcl_g
DLD0	M	2	g	gcl_g_ix
DLD0	M	2	g	ih_ng_n
DLD0	M	2	g	ix_ng_pcl
DLD0	M	2	p	sh_epi_w
DLD0	M	2	p	iy_pau_dh
DLD0	M	2	p	s_epi_w
DLD0	M	2	p	ih_pcl_d
DLD0	M	2	p	s_epi_w
DLD0	M	2	p	ah_pcl_p
DLD0	M	2	p	pcl_p_ah
DLD0	M	2	p	m_pau_s
DLD0	M	2	p	s_pau_m
DLD0	M	2	p	s_epi_f
DLD0	M	2	p	z_epi_m
DLD0	M	2	p	h#_p_l
DLD0	M	2	p	d_pcl_p
DLD0	M	2	p	pcl_p_eh
DLD0	M	2	p	z_pcl_p
DLD0	M	2	p	pcl_p_axr
DLD0	M	2	p	uh_pcl_p
DLD0	M	2	p	pcl_p_er
DLD0	M	2	p	iy_pcl_p
DLD0	M	2	p	pcl_p_ix
DLD0	M	2	p	ng_pcl_p
DLD0	M	2	p	pcl_p_ih
DLD0	M	2	t	ux_tcl_t
DLD0	M	2	t	tcl_t_q
DLD0	M	2	t	n_tcl_t
DLD0	M	2	t	tcl_t_ae
DLD0	M	2	t	ae_tcl_h#
DLD0	M	2	t	ah_tcl_h#
DLD0	M	2	t	eh_tcl_t
DLD0	M	2	t	tcl_t_sh
DLD0	M	2	t	er_tcl_q
DLD0	M	2	t	n_tcl_t
DLD0	M	2	t	tcl_t_uw
DLD0	M	2	t	s_tcl_t
DLD0	M	2	t	tcl_t_r
DLD0	M	2	t	n_tcl_t
DLD0	M	2	t	tcl_t_uw
DLD0	M	2	t	ng_tcl_t
DLD0	M	2	t	tcl_t_r
DLD0	M	2	t	v_tcl_t
DLD0	M	2	t	tcl_t_axr
DLD0	M	2	t	ah_tcl_en
DLD0	M	2	t	en_t_s
DLD0	M	2	t	iy_tcl_b
DLD0	M	2	t	ah_tcl_en
DLD0	M	2	t	n_tcl_t
DLD0	M	2	t	tcl_t_s
DLD0	M	2	t	s_tcl_t
DLD0	M	2	t	tcl_t_en
DLD0	M	2	t	en_tcl_t
DLD0	M	2	t	tcl_t_s
DLD0	M	2	t	n_tcl_t
DLD0	M	2	t	tcl_t_hh
DLD0	M	2	t	ow_tcl_b
DLD0	M	2	t	er_th_kcl
DLD0	M	2	t	n_t_r
DLD0	M	2	k	r_kcl_k
DLD0	M	2	k	kcl_k_s
DLD0	M	2	k	s_kcl_k
DLD0	M	2	k	kcl_k_m
DLD0	M	2	k	ix_kcl_k
DLD0	M	2	k	kcl_k_eh
DLD0	M	2	k	ay_kcl_k
DLD0	M	2	k	kcl_k_dh
DLD0	M	2	k	ng_kcl_k
DLD0	M	2	k	kcl_k_s
DLD0	M	2	k	ey_kcl_k
DLD0	M	2	k	kcl_k_n
DLD0	M	2	k	h#_k_ao
DLD0	M	2	k	ix_kcl_k
DLD0	M	2	k	kcl_k_el
DLD0	M	2	k	ux_kcl_k
DLD0	M	2	k	kcl_k_ae
DLD0	M	2	k	th_kcl_k
DLD0	M	2	k	kcl_k_ix
DLD0	M	2	s	h#_sh_iy
DLD0	M	2	s	k_s_ux
DLD0	M	2	s	iy_s_iy
DLD0	M	2	s	aa_sh_epi
DLD0	M	2	s	ae_s_kcl
DLD0	M	2	s	ih_s_epi
DLD0	M	2	s	t_sh_er
DLD0	M	2	s	n_s_tcl
DLD0	M	2	s	ix_s_epi
DLD0	M	2	s	k_s_h#
DLD0	M	2	s	pau_s_ow
DLD0	M	2	s	t_s_pau
DLD0	M	2	s	l_s_h#
DLD0	M	2	s	t_s_epi
DLD0	M	2	s	ax_s_ih
DLD0	M	2	s	ih_s_tcl
DLD0	M	2	s	t_s_h#
DLD0	M	2	s	h#_s_w
DLD0	M	2	s	ey_sh_ix
DLD0	M	2	s	ix_s_uh
DLD0	M	2	s	b_s_l
DLD0	M	2	z	eh_z_hh
DLD0	M	2	z	ih_z_ux
DLD0	M	2	z	ix_z_y
DLD0	M	2	z	ux_z_epi
DLD0	M	2	z	ih_z_ey
DLD0	M	2	z	n_z_pcl
DLD0	M	2	z	ix_z_ix
DLD0	M	2	sh	h#_sh_iy
DLD0	M	2	sh	aa_sh_epi
DLD0	M	2	sh	t_sh_er
DLD0	M	2	sh	ey_sh_ix
DLD0	M	2	dh	k_dh_ae
DLD0	M	2	dh	h#_dh_eh
DLD0	M	2	dh	pau_dh_eh
DLD0	M	2	f	epi_f_axr
