ID	Sex	DR	Vowel	Context
DLM0	M	7	iy	sh_iy_hv
DLM0	M	7	iy	r_iy_s
DLM0	M	7	iy	s_iy_w
DLM0	M	7	iy	m_iy_dx
DLM0	M	7	iy	r_iy_nx
DLM0	M	7	iy	l_iy_r
DLM0	M	7	iy	dh_iy_gcl
DLM0	M	7	iy	m_iy_eh
DLM0	M	7	iy	n_iy_m
DLM0	M	7	iy	m_iy_aw
DLM0	M	7	iy	nx_iy_ae
DLM0	M	7	iy	r_iy_kcl
DLM0	M	7	iy	l_iy_ao
DLM0	M	7	iy	n_iy_ix
DLM0	M	7	iy	l_iy_hv
DLM0	M	7	ae	n_ae_s
DLM0	M	7	ae	r_ae_gcl
DLM0	M	7	ae	dh_ae_tcl
DLM0	M	7	ae	z_ae_s
DLM0	M	7	ae	v_ae_n
DLM0	M	7	ae	iy_ae_f
DLM0	M	7	ae	th_ae_ng
DLM0	M	7	ae	b_ae_kcl
DLM0	M	7	ae	hv_ae_v
DLM0	M	7	aa	d_aa_r
DLM0	M	7	aa	t_aa_pcl
DLM0	M	7	aa	q_aa_f
DLM0	M	7	aa	t_aa_pcl
DLM0	M	7	uh	p_uh_dx
DLM0	M	7	uh	r_uh_kcl
DLM0	M	7	b	h#_b_ax
DLM0	M	7	b	axr_bcl_b
DLM0	M	7	b	bcl_b_ey
DLM0	M	7	b	er_bcl_b
DLM0	M	7	b	bcl_b_z
DLM0	M	7	b	z_bcl_b
DLM0	M	7	b	bcl_b_er
DLM0	M	7	b	pcl_b_ae
DLM0	M	7	d	eh_dcl_d
DLM0	M	7	d	dcl_d_y
DLM0	M	7	d	er_dcl_d
DLM0	M	7	d	dcl_d_aa
DLM0	M	7	d	ux_dx_ix
DLM0	M	7	d	ao_dx_axr
DLM0	M	7	d	h#_d_ow
DLM0	M	7	d	iy_dx_ix
DLM0	M	7	d	kcl_dh_ae
DLM0	M	7	d	ah_dh_ih
DLM0	M	7	d	ax-h_dcl_s
