ID	Sex	DR	Vowel	Context
DNS0	M	3	iy	r_iy_s
DNS0	M	3	iy	s_iy_w
DNS0	M	3	iy	r_iy_eh
DNS0	M	3	iy	s_iy_dcl
DNS0	M	3	iy	n_iy_dcl
DNS0	M	3	iy	b_iy_kcl
DNS0	M	3	iy	k_iy_pcl
DNS0	M	3	iy	nx_iy_h#
DNS0	M	3	iy	th_iy_f
DNS0	M	3	iy	dh_iy_ae
DNS0	M	3	iy	w_iy_w
DNS0	M	3	iy	n_iy_n
DNS0	M	3	iy	s_iy_tcl
DNS0	M	3	ae	q_ae_s
DNS0	M	3	ae	r_ae_gcl
DNS0	M	3	ae	dh_ae_tcl
DNS0	M	3	ae	l_ae_kcl
DNS0	M	3	ae	l_ae_s
DNS0	M	3	ae	q_ae_dcl
DNS0	M	3	ae	q_ae_dx
DNS0	M	3	ae	k_ae_s
DNS0	M	3	ae	t_ae_tcl
DNS0	M	3	ae	f_ae_l
DNS0	M	3	ae	iy_ae_v
DNS0	M	3	ae	l_ae_n
DNS0	M	3	aa	d_aa_r
DNS0	M	3	aa	w_aa_sh
DNS0	M	3	aa	l_aa_r
DNS0	M	3	aa	p_aa_r
DNS0	M	3	aa	sh_aa_kcl
DNS0	M	3	aa	q_aa_l
DNS0	M	3	uh	jh_uh_r
DNS0	M	3	uh	l_uh_kcl
DNS0	M	3	b	d_bcl_b
DNS0	M	3	b	bcl_b_ay
DNS0	M	3	b	h#_b_iy
DNS0	M	3	b	pau_b_ah
DNS0	M	3	b	ey_bcl_m
DNS0	M	3	d	eh_dcl_jh
DNS0	M	3	d	r_dcl_d
DNS0	M	3	d	dcl_d_aa
DNS0	M	3	d	ux_dx_ih
DNS0	M	3	d	ao_dx_er
DNS0	M	3	d	h#_d_ow
DNS0	M	3	d	ix_dx_ix
DNS0	M	3	d	kcl_dh_ae
DNS0	M	3	d	iy_dcl_p
DNS0	M	3	d	axr_dcl_p
DNS0	M	3	d	z_dcl_d
DNS0	M	3	d	dcl_d_bcl
DNS0	M	3	d	ae_dcl_th
DNS0	M	3	d	n_dcl_d
DNS0	M	3	d	dcl_d_y
DNS0	M	3	d	iy_dcl_d
DNS0	M	3	d	dcl_d_ah
DNS0	M	3	d	el_dh_eh
DNS0	M	3	d	ae_dx_ih
DNS0	M	3	d	ix_dcl_jh
DNS0	M	3	d	ah_dcl_en
DNS0	M	3	d	en_dcl_d
DNS0	M	3	d	dcl_d_ix
DNS0	M	3	d	t_dh_ix
DNS0	M	3	d	ix_dh_s
DNS0	M	3	d	h#_dh_iy
DNS0	M	3	d	axr_dcl_d
DNS0	M	3	d	dcl_d_ey
DNS0	M	3	d	ux_dx_ix
DNS0	M	3	g	n_gcl_g
DNS0	M	3	g	gcl_g_r
DNS0	M	3	g	ae_gcl_g
DNS0	M	3	g	gcl_g_l
DNS0	M	3	g	eh_ng_z
DNS0	M	3	g	ih_gcl_g
DNS0	M	3	g	gcl_g_axr
DNS0	M	3	p	sh_epi_w
DNS0	M	3	p	dcl_p_ow
DNS0	M	3	p	dcl_p_l
DNS0	M	3	p	z_pau_s
DNS0	M	3	p	m_pcl_p
DNS0	M	3	p	pcl_p_er
DNS0	M	3	p	iy_pcl_p
DNS0	M	3	p	pcl_p_q
DNS0	M	3	p	jh_pau_b
DNS0	M	3	p	axr_pcl_p
DNS0	M	3	p	pcl_p_l
DNS0	M	3	p	ix_pcl_p
DNS0	M	3	p	pcl_p_aa
DNS0	M	3	p	ah_pcl_p
DNS0	M	3	p	pcl_p_r
DNS0	M	3	p	m_pcl_p
DNS0	M	3	p	pcl_p_ow
DNS0	M	3	t	ae_tcl_h#
DNS0	M	3	t	l_tcl_t
DNS0	M	3	t	tcl_t_ax
DNS0	M	3	t	s_tcl_t
DNS0	M	3	t	tcl_t_axr
DNS0	M	3	t	s_tcl_t
DNS0	M	3	t	tcl_t_axr
DNS0	M	3	t	s_tcl_t
DNS0	M	3	t	tcl_t_ih
DNS0	M	3	t	dcl_th_eh
DNS0	M	3	t	ax_tcl_k
DNS0	M	3	t	z_tcl_t
DNS0	M	3	t	tcl_t_ix
DNS0	M	3	t	r_tcl_ch
DNS0	M	3	t	kcl_t_dh
DNS0	M	3	t	s_tcl_t
DNS0	M	3	t	tcl_t_h#
DNS0	M	3	t	ow_tcl_ch
DNS0	M	3	t	s_tcl_t
DNS0	M	3	t	tcl_t_ae
DNS0	M	3	t	ae_tcl_ch
DNS0	M	3	t	l_th_iy
DNS0	M	3	t	n_tcl_ch
DNS0	M	3	t	ch_tcl_t
DNS0	M	3	t	tcl_t_r
DNS0	M	3	t	er_th_kcl
DNS0	M	3	t	s_tcl_t
DNS0	M	3	t	tcl_t_ux
DNS0	M	3	t	n_tcl_s
DNS0	M	3	t	iy_tcl_ch
DNS0	M	3	k	r_kcl_k
DNS0	M	3	k	kcl_k_s
DNS0	M	3	k	s_kcl_m
DNS0	M	3	k	ix_kcl_k
DNS0	M	3	k	kcl_k_ih
DNS0	M	3	k	ay_kcl_dh
DNS0	M	3	k	ae_kcl_k
DNS0	M	3	k	kcl_k_s
DNS0	M	3	k	iy_kcl_k
DNS0	M	3	k	kcl_k_eh
DNS0	M	3	k	ux_kcl_k
DNS0	M	3	k	kcl_k_iy
DNS0	M	3	k	ih_kcl_k
DNS0	M	3	k	kcl_k_w
DNS0	M	3	k	tcl_k_ah
DNS0	M	3	k	uh_kcl_k
DNS0	M	3	k	kcl_k_f
DNS0	M	3	k	aa_kcl_t
DNS0	M	3	k	ix_kcl_k
DNS0	M	3	k	kcl_k_ae
DNS0	M	3	k	s_kcl_k
DNS0	M	3	k	kcl_k_ax
DNS0	M	3	k	th_kcl_k
DNS0	M	3	k	kcl_k_w
DNS0	M	3	k	ey_kcl_k
DNS0	M	3	k	kcl_k_h#
DNS0	M	3	k	l_kcl_k
DNS0	M	3	k	kcl_k_ax
DNS0	M	3	s	h#_sh_ih
DNS0	M	3	s	k_s_ux
DNS0	M	3	s	iy_s_iy
DNS0	M	3	s	aa_sh_epi
DNS0	M	3	s	ae_s_kcl
DNS0	M	3	s	k_s_iy
DNS0	M	3	s	ax_s_ih
DNS0	M	3	s	ah_s_tcl
DNS0	M	3	s	ae_s_tcl
DNS0	M	3	s	pau_s_tcl
DNS0	M	3	s	ay_s_ah
DNS0	M	3	s	er_s_en
DNS0	M	3	s	en_s_h#
DNS0	M	3	s	ey_s_ih
DNS0	M	3	s	ix_s_ey
DNS0	M	3	s	z_s_ah
DNS0	M	3	s	axr_sh_aa
DNS0	M	3	s	ae_s_tcl
DNS0	M	3	s	dh_s_tcl
DNS0	M	3	s	eh_s_kcl
DNS0	M	3	s	ux_s_tcl
DNS0	M	3	s	tcl_s_iy
DNS0	M	3	z	ih_z_ih
DNS0	M	3	z	axr_z_pau
DNS0	M	3	z	ux_z_dcl
DNS0	M	3	z	ng_z_ix
DNS0	M	3	z	ix_zh_y
DNS0	M	3	z	ih_z_tcl
DNS0	M	3	z	ih_z_s
DNS0	M	3	z	ow_zh_axr
DNS0	M	3	z	ih_z_hh
DNS0	M	3	sh	h#_sh_ih
DNS0	M	3	sh	aa_sh_epi
DNS0	M	3	sh	axr_sh_aa
DNS0	M	3	dh	kcl_dh_ae
DNS0	M	3	dh	el_dh_eh
DNS0	M	3	dh	t_dh_ix
DNS0	M	3	dh	ix_dh_s
DNS0	M	3	dh	h#_dh_iy
DNS0	M	3	f	h#_f_l
DNS0	M	3	f	ux_f_ay
DNS0	M	3	f	r_f_el
DNS0	M	3	f	k_f_axr
DNS0	M	3	f	l_f_ae
DNS0	M	3	f	l_f_ih
DNS0	M	3	f	iy_f_ao
DNS0	M	3	v	ih_hv_eh
DNS0	M	3	v	ah_v_r
DNS0	M	3	v	axr_v_y
DNS0	M	3	v	ae_v_ax
DNS0	M	3	jh	dcl_jh_uh
DNS0	M	3	jh	dcl_jh_pau
DNS0	M	3	ch	tcl_ch_axr
DNS0	M	3	ch	tcl_ch_er
DNS0	M	3	ch	tcl_ch_uw
DNS0	M	3	ch	tcl_ch_tcl
DNS0	M	3	ch	tcl_ch_y
