ID	Sex	DR	Vowel	Context
DRM0	M	4	iy	sh_iy_hv
DRM0	M	4	iy	r_iy_z
DRM0	M	4	iy	m_iy_tcl
DRM0	M	4	iy	r_iy_ix
DRM0	M	4	iy	r_iy_el
DRM0	M	4	iy	b_iy_n
DRM0	M	4	iy	r_iy_z
DRM0	M	4	iy	nx_iy_ng
DRM0	M	4	iy	nx_iy_th
DRM0	M	4	iy	s_iy_m
DRM0	M	4	iy	dh_iy_kcl
DRM0	M	4	iy	l_iy_q
DRM0	M	4	iy	l_iy_h#
DRM0	M	4	iy	l_iy_z
DRM0	M	4	iy	dx_iy_tcl
DRM0	M	4	iy	l_iy_nx
DRM0	M	4	iy	m_iy_h#
DRM0	M	4	iy	dh_iy_kcl
DRM0	M	4	iy	l_iy_n
DRM0	M	4	iy	r_iy_eh
DRM0	M	4	ae	nx_ae_s
DRM0	M	4	ae	r_ae_gcl
DRM0	M	4	ae	dh_ae_tcl
DRM0	M	4	ae	q_ae_bcl
DRM0	M	4	ae	b_ae_kcl
DRM0	M	4	ae	q_ae_tcl
DRM0	M	4	ae	sh_ae_m
DRM0	M	4	aa	d_aa_r
DRM0	M	4	aa	hh_aa_r
DRM0	M	4	aa	nx_aa_z
DRM0	M	4	aa	m_aa_r
DRM0	M	4	aa	k_aa_r
DRM0	M	4	uh	g_uh_dcl
DRM0	M	4	b	v_bcl_b
DRM0	M	4	b	bcl_b_iy
DRM0	M	4	b	dcl_b_eh
DRM0	M	4	b	m_b_r
DRM0	M	4	b	ae_bcl_d
DRM0	M	4	b	axr_bcl_b
DRM0	M	4	b	bcl_b_ae
DRM0	M	4	b	ax_bcl_b
DRM0	M	4	b	bcl_b_r
DRM0	M	4	b	ey_bcl_b
DRM0	M	4	b	bcl_b_el
DRM0	M	4	d	eh_dcl_jh
DRM0	M	4	d	axr_dcl_d
DRM0	M	4	d	dcl_d_aa
DRM0	M	4	d	ao_dx_axr
DRM0	M	4	d	h#_d_ow
DRM0	M	4	d	k_dh_ae
DRM0	M	4	d	z_dcl_d
DRM0	M	4	d	dcl_d_f
DRM0	M	4	d	ix_dcl_b
DRM0	M	4	d	ix_dcl_jh
DRM0	M	4	d	axr_dcl_d
DRM0	M	4	d	dcl_d_ah
DRM0	M	4	d	ih_dx_ao
DRM0	M	4	d	ah_dh_axr
DRM0	M	4	d	bcl_d_ix
DRM0	M	4	d	uh_dcl_f
DRM0	M	4	d	h#_dh_iy
DRM0	M	4	d	n_dcl_d
DRM0	M	4	d	dcl_d_ix
DRM0	M	4	d	ix_dcl_d
DRM0	M	4	d	dcl_d_ax
DRM0	M	4	d	tcl_dh_ax
DRM0	M	4	d	h#_dh_ow
DRM0	M	4	d	kcl_dh_ih
