ID	Sex	DR	Vowel	Context
DWA0	M	5	iy	sh_iy_hv
DWA0	M	5	iy	r_iy_z
DWA0	M	5	iy	er_iy_ix
DWA0	M	5	iy	w_iy_n
DWA0	M	5	iy	d_iy_pcl
DWA0	M	5	iy	l_iy_m
DWA0	M	5	iy	m_iy_n
DWA0	M	5	iy	r_iy_m
DWA0	M	5	iy	n_iy_kcl
DWA0	M	5	iy	t_iy_v
DWA0	M	5	iy	r_iy_aw
DWA0	M	5	iy	sh_iy_ix
DWA0	M	5	ae	n_ae_s
DWA0	M	5	ae	r_ae_gcl
DWA0	M	5	ae	dh_ae_tcl
DWA0	M	5	ae	dh_ae_dx
DWA0	M	5	ae	dx_ae_dx
DWA0	M	5	ae	r_ae_f
DWA0	M	5	ae	k_ae_zh
DWA0	M	5	ae	ay_ae_m
DWA0	M	5	ae	n_ae_l
DWA0	M	5	aa	d_aa_r
DWA0	M	5	aa	f_aa_l
DWA0	M	5	aa	w_aa_nx
DWA0	M	5	aa	r_aa_pcl
DWA0	M	5	aa	t_aa_l
DWA0	M	5	b	ux_bcl_b
DWA0	M	5	b	bcl_b_ay
DWA0	M	5	b	ax_bcl_b
DWA0	M	5	b	bcl_b_r
DWA0	M	5	d	eh_dcl_jh
DWA0	M	5	d	axr_dcl_d
DWA0	M	5	d	dcl_d_aa
DWA0	M	5	d	ux_dx_ix
DWA0	M	5	d	ao_dx_axr
DWA0	M	5	d	h#_d_ow
DWA0	M	5	d	ix_dx_ix
DWA0	M	5	d	kcl_dh_ae
DWA0	M	5	d	ux_dh_eh
DWA0	M	5	d	eh_dx_ah
DWA0	M	5	d	s_dh_ix
DWA0	M	5	d	ux_dx_ah
DWA0	M	5	d	ix_dcl_d
DWA0	M	5	d	dcl_d_iy
DWA0	M	5	d	ix_dcl_jh
DWA0	M	5	d	ih_dx_axr
DWA0	M	5	d	h#_dh_ae
DWA0	M	5	d	ae_dx_ae
DWA0	M	5	d	ae_dx_ih
DWA0	M	5	d	ih_dcl_t
DWA0	M	5	d	v_dcl_d
DWA0	M	5	d	dcl_d_ay
DWA0	M	5	d	r_dx_axr
DWA0	M	5	d	h#_d_ix
DWA0	M	5	d	ix_dcl_d
DWA0	M	5	d	dcl_d_y
DWA0	M	5	d	r_dx_axr
DWA0	M	5	d	eh_dcl_k
DWA0	M	5	d	eh_dx_axr
DWA0	M	5	d	h#_dh_ix
DWA0	M	5	d	er_dcl_d
DWA0	M	5	d	dcl_d_ix
DWA0	M	5	d	axr_dh_ix
DWA0	M	5	d	ih_dx_axr
DWA0	M	5	g	ix_ng_gcl
DWA0	M	5	g	ng_gcl_g
DWA0	M	5	g	gcl_g_r
DWA0	M	5	g	ae_gcl_g
DWA0	M	5	g	gcl_g_l
DWA0	M	5	g	ix_ng_s
DWA0	M	5	g	z_ng_kcl
DWA0	M	5	g	l_gcl_g
DWA0	M	5	g	gcl_g_ey
DWA0	M	5	g	ix_gcl_g
DWA0	M	5	g	gcl_g_ah
DWA0	M	5	g	tcl_g_ah
DWA0	M	5	g	ix_gcl_g
DWA0	M	5	g	gcl_g_w
DWA0	M	5	g	ix_gcl_g
DWA0	M	5	g	gcl_g_ih
DWA0	M	5	p	sh_epi_w
DWA0	M	5	p	iy_pcl_p
DWA0	M	5	p	pcl_p_l
DWA0	M	5	p	v_pcl_p
DWA0	M	5	p	pcl_p_r
DWA0	M	5	p	s_epi_w
DWA0	M	5	p	eh_pcl_t
DWA0	M	5	p	n_pcl_p
DWA0	M	5	p	pcl_p_oy
DWA0	M	5	p	aa_pcl_p
DWA0	M	5	p	pcl_p_ix
DWA0	M	5	p	eh_pcl_t
DWA0	M	5	t	ae_tcl_h#
DWA0	M	5	t	ey_tcl_ch
DWA0	M	5	t	axr_tcl_ch
