ID	Sex	DR	Vowel	Context
FER0	M	5	iy	sh_iy_hv
FER0	M	5	iy	r_iy_s
FER0	M	5	iy	s_iy_w
FER0	M	5	iy	m_iy_dx
FER0	M	5	iy	r_iy_q
FER0	M	5	iy	l_iy_r
FER0	M	5	iy	r_iy_ax
FER0	M	5	iy	r_iy_ix
FER0	M	5	iy	k_iy_pcl
FER0	M	5	iy	t_iy_ix
FER0	M	5	iy	n_iy_dx
FER0	M	5	iy	b_iy_ix
FER0	M	5	iy	r_iy_n
FER0	M	5	iy	b_iy_n
FER0	M	5	ae	n_ae_s
FER0	M	5	ae	r_ae_gcl
FER0	M	5	ae	dh_ae_tcl
FER0	M	5	ae	k_ae_f
FER0	M	5	ae	hv_ae_n
FER0	M	5	ae	b_ae_gcl
FER0	M	5	ae	l_ae_nx
FER0	M	5	ae	l_ae_s
FER0	M	5	aa	d_aa_r
FER0	M	5	aa	ng_aa_r
FER0	M	5	aa	jh_aa_bcl
FER0	M	5	aa	g_aa_r
FER0	M	5	uh	w_uh_dcl
FER0	M	5	b	r_bcl_b
FER0	M	5	b	bcl_b_ay
FER0	M	5	b	aa_bcl_h#
FER0	M	5	b	dcl_b_ae
FER0	M	5	b	dcl_b_iy
FER0	M	5	b	ax_bcl_b
FER0	M	5	b	bcl_b_el
FER0	M	5	b	n_bcl_b
FER0	M	5	b	bcl_b_iy
FER0	M	5	b	ax_bcl_b
FER0	M	5	b	bcl_b_el
FER0	M	5	d	eh_dcl_d
FER0	M	5	d	dcl_d_y
FER0	M	5	d	axr_dcl_d
FER0	M	5	d	dcl_d_aa
FER0	M	5	d	ao_dx_axr
FER0	M	5	d	h#_d_ow
FER0	M	5	d	iy_dx_ix
FER0	M	5	d	kcl_dh_ae
FER0	M	5	d	h#_dh_eh
FER0	M	5	d	oy_dx_ih
FER0	M	5	d	aw_dh_ax
FER0	M	5	d	z_dh_ix
FER0	M	5	d	r_dx_ax
FER0	M	5	d	iy_dx_ix
FER0	M	5	d	ix_dcl_d
FER0	M	5	d	dcl_d_kcl
FER0	M	5	d	n_dh_ax
FER0	M	5	d	z_dcl_jh
FER0	M	5	d	eh_dh_er
FER0	M	5	d	n_dcl_b
FER0	M	5	d	uh_dcl_b
FER0	M	5	d	ux_dx_ax
FER0	M	5	d	ih_dcl_g
FER0	M	5	d	r_dcl_en
FER0	M	5	d	n_dcl_k
FER0	M	5	d	ix_dx_ih
FER0	M	5	g	en_gcl_g
FER0	M	5	g	gcl_g_r
FER0	M	5	g	ae_gcl_g
FER0	M	5	g	gcl_g_l
FER0	M	5	g	z_gcl_g
FER0	M	5	g	gcl_g_ao
FER0	M	5	g	ao_ng_aa
FER0	M	5	g	ae_gcl_w
FER0	M	5	g	el_gcl_g
FER0	M	5	g	gcl_g_ih
FER0	M	5	g	h#_g_w
FER0	M	5	g	dcl_g_r
FER0	M	5	g	el_gcl_g
FER0	M	5	g	gcl_g_aa
FER0	M	5	g	s_gcl_g
FER0	M	5	g	gcl_g_ey
FER0	M	5	p	sh_epi_w
FER0	M	5	p	s_epi_m
FER0	M	5	p	ow_pcl_p
FER0	M	5	p	pcl_p_w
FER0	M	5	p	iy_pcl_p
FER0	M	5	p	pcl_p_ix
FER0	M	5	p	n_pcl_p
FER0	M	5	p	pcl_p_r
FER0	M	5	p	ch_epi_l
FER0	M	5	p	ow_pcl_p
FER0	M	5	p	pcl_p_ey
FER0	M	5	p	ow_pcl_p
FER0	M	5	p	pcl_p_ax
FER0	M	5	p	n_pcl_p
FER0	M	5	p	pcl_p_l
FER0	M	5	p	el_pcl_p
FER0	M	5	p	pcl_p_axr
