ID	Sex	DR	Vowel	Context
GCS0	F	3	iy	sh_iy_hv
GCS0	F	3	iy	r_iy_s
GCS0	F	3	iy	s_iy_w
GCS0	F	3	iy	m_iy_dx
GCS0	F	3	iy	dx_iy_kcl
GCS0	F	3	iy	l_iy_r
GCS0	F	3	iy	nx_iy_w
GCS0	F	3	iy	n_iy_kcl
GCS0	F	3	iy	l_iy_hv
GCS0	F	3	iy	l_iy_h#
GCS0	F	3	ae	hv_ae_dcl
GCS0	F	3	ae	nx_ae_s
GCS0	F	3	ae	r_ae_gcl
GCS0	F	3	ae	dh_ae_tcl
GCS0	F	3	ae	hv_ae_n
GCS0	F	3	ae	dh_ae_tcl
GCS0	F	3	ae	k_ae_tcl
GCS0	F	3	ae	g_ae_nx
GCS0	F	3	ae	hh_ae_tcl
GCS0	F	3	ae	dh_ae_tcl
GCS0	F	3	ae	hv_ae_n
GCS0	F	3	aa	d_aa_r
GCS0	F	3	aa	w_aa_sh
GCS0	F	3	aa	b_aa_dh
GCS0	F	3	aa	d_aa_l
GCS0	F	3	aa	dx_aa_n
GCS0	F	3	aa	r_aa_gcl
GCS0	F	3	aa	el_aa_dcl
GCS0	F	3	aa	r_aa_m
GCS0	F	3	aa	w_aa_s
GCS0	F	3	aa	t_aa_pcl
GCS0	F	3	aa	p_aa_kcl
GCS0	F	3	uh	w_uh_dcl
GCS0	F	3	uh	p_uh_dx
GCS0	F	3	uh	k_uh_dcl
GCS0	F	3	b	en_bcl_b
GCS0	F	3	b	bcl_b_aa
GCS0	F	3	b	n_bcl_b
GCS0	F	3	b	bcl_b_eh
GCS0	F	3	b	dcl_b_eh
GCS0	F	3	b	z_bcl_b
GCS0	F	3	b	bcl_b_ih
GCS0	F	3	d	ae_dcl_jh
GCS0	F	3	d	axr_dcl_d
GCS0	F	3	d	dcl_d_aa
GCS0	F	3	d	ux_dx_ih
GCS0	F	3	d	ao_dx_axr
GCS0	F	3	d	h#_d_ow
GCS0	F	3	d	iy_dx_iy
GCS0	F	3	d	kcl_dh_ae
GCS0	F	3	d	h#_dh_ix
GCS0	F	3	d	n_dcl_jh
GCS0	F	3	d	tcl_d_ih
GCS0	F	3	d	ih_dx_en
GCS0	F	3	d	aa_dh_axr
GCS0	F	3	d	z_dh_eh
GCS0	F	3	d	er_dcl_jh
GCS0	F	3	d	uh_dcl_d
GCS0	F	3	d	dcl_d_l
GCS0	F	3	d	n_dcl_d
GCS0	F	3	d	dcl_d_ix
GCS0	F	3	d	uh_dx_ax
GCS0	F	3	d	ax_dcl_d
GCS0	F	3	d	dcl_d_aa
GCS0	F	3	d	ih_dx_aa
GCS0	F	3	d	m_dh_ix
GCS0	F	3	d	ix_dcl_d
GCS0	F	3	d	dcl_d_ix
GCS0	F	3	d	uh_dcl_b
GCS0	F	3	d	n_dcl_d
GCS0	F	3	d	dcl_d_el
GCS0	F	3	d	el_dh_ax
GCS0	F	3	d	aa_dcl_jh
GCS0	F	3	d	h#_dh_ae
GCS0	F	3	d	tcl_d_ao
GCS0	F	3	d	h#_dh_axr
GCS0	F	3	d	ih_dcl_jh
GCS0	F	3	d	h#_dh_ae
GCS0	F	3	d	eh_dcl_d
GCS0	F	3	d	dcl_d_hv
GCS0	F	3	d	n_dcl_d
GCS0	F	3	d	dcl_d_ix
GCS0	F	3	d	ix_dcl_h#
GCS0	F	3	g	n_gcl_g
GCS0	F	3	g	gcl_g_r
GCS0	F	3	g	ae_gcl_g
GCS0	F	3	g	gcl_g_l
GCS0	F	3	g	aa_gcl_g
GCS0	F	3	g	gcl_g_r
GCS0	F	3	g	ao_gcl_ch
GCS0	F	3	g	ay_gcl_g
GCS0	F	3	g	gcl_g_ae
GCS0	F	3	g	ih_ng_z
GCS0	F	3	g	ih_gcl_t
GCS0	F	3	p	sh_epi_w
GCS0	F	3	p	s_epi_m
GCS0	F	3	p	v_pcl_p
GCS0	F	3	p	pcl_p_ah
GCS0	F	3	p	sh_epi_m
GCS0	F	3	p	h#_p_uh
GCS0	F	3	p	s_epi_l
GCS0	F	3	p	kcl_p_r
GCS0	F	3	p	sh_epi_ax
GCS0	F	3	p	ax_pcl_m
GCS0	F	3	p	s_epi_m
GCS0	F	3	p	s_epi_l
GCS0	F	3	p	s_pcl_p
GCS0	F	3	p	pcl_p_n
GCS0	F	3	p	aa_pcl_p
GCS0	F	3	p	pcl_p_hh
GCS0	F	3	p	tcl_p_ih
GCS0	F	3	p	kcl_p_aa
GCS0	F	3	t	ae_tcl_h#
GCS0	F	3	t	s_tcl_d
GCS0	F	3	t	kcl_t_ax
GCS0	F	3	t	ix_tcl_s
GCS0	F	3	t	n_tcl_t
GCS0	F	3	t	tcl_t_ih
GCS0	F	3	t	n_tcl_q
