ID	Sex	DR	Vowel	Context
GJD0	F	4	iy	sh_iy_hv
GJD0	F	4	iy	r_iy_z
GJD0	F	4	iy	z_iy_w
GJD0	F	4	iy	m_iy_dx
GJD0	F	4	iy	r_iy_ix
GJD0	F	4	iy	l_iy_r
GJD0	F	4	iy	dh_iy_z
GJD0	F	4	iy	b_iy_hh
GJD0	F	4	iy	dh_iy_z
GJD0	F	4	iy	dh_iy_ix
GJD0	F	4	iy	p_iy_s
GJD0	F	4	iy	l_iy_h#
GJD0	F	4	iy	l_iy_pau
GJD0	F	4	iy	r_iy_f
GJD0	F	4	iy	t_iy_tcl
GJD0	F	4	iy	dh_iy_h#
GJD0	F	4	iy	v_iy_n
GJD0	F	4	iy	w_iy_w
GJD0	F	4	iy	d_iy_v
GJD0	F	4	iy	dx_iy_w
GJD0	F	4	iy	k_iy_z
GJD0	F	4	ae	n_ae_s
GJD0	F	4	ae	r_ae_gcl
GJD0	F	4	ae	dh_ae_tcl
GJD0	F	4	ae	l_ae_s
GJD0	F	4	ae	r_ae_n
GJD0	F	4	ae	h#_ae_l
GJD0	F	4	aa	d_aa_r
GJD0	F	4	aa	w_aa_sh
GJD0	F	4	aa	k_aa_r
GJD0	F	4	aa	s_aa_n
GJD0	F	4	aa	b_aa_bcl
GJD0	F	4	aa	w_aa_l
GJD0	F	4	aa	t_aa_n
GJD0	F	4	aa	axr_aa_r
GJD0	F	4	b	s_bcl_b
GJD0	F	4	b	bcl_b_iy
GJD0	F	4	b	v_bcl_b
GJD0	F	4	b	bcl_b_ay
GJD0	F	4	b	h#_b_ow
GJD0	F	4	b	ax_bcl_b
GJD0	F	4	b	bcl_b_ih
GJD0	F	4	b	h#_b_aa
GJD0	F	4	b	aa_bcl_p
GJD0	F	4	b	z_bcl_b
GJD0	F	4	b	bcl_b_ey
GJD0	F	4	d	eh_dcl_d
GJD0	F	4	d	dcl_d_y
GJD0	F	4	d	er_dcl_d
GJD0	F	4	d	dcl_d_aa
GJD0	F	4	d	ao_dx_er
GJD0	F	4	d	h#_d_ow
GJD0	F	4	d	iy_dx_ix
GJD0	F	4	d	kcl_dh_ae
GJD0	F	4	d	l_dh_iy
GJD0	F	4	d	h#_dh_iy
GJD0	F	4	d	z_dh_iy
GJD0	F	4	d	ix_dcl_jh
GJD0	F	4	d	n_dcl_t
GJD0	F	4	d	kcl_dh_ax
GJD0	F	4	d	h#_d_ih
GJD0	F	4	d	ey_dx_ix
GJD0	F	4	d	ix_dcl_t
GJD0	F	4	d	ao_dcl_d
GJD0	F	4	d	dcl_d_ix
GJD0	F	4	d	er_dh_iy
GJD0	F	4	d	er_dx_ow
GJD0	F	4	d	ix_dh_ax
GJD0	F	4	d	ih_dcl_d
GJD0	F	4	d	dcl_d_iy
GJD0	F	4	d	ix_dx_iy
GJD0	F	4	g	ix_ng_gcl
GJD0	F	4	g	ng_gcl_g
GJD0	F	4	g	gcl_g_r
GJD0	F	4	g	ae_gcl_g
GJD0	F	4	g	gcl_g_l
GJD0	F	4	g	ow_gcl_r
GJD0	F	4	g	ih_gcl_n
GJD0	F	4	p	sh_epi_w
GJD0	F	4	p	z_pcl_p
GJD0	F	4	p	pcl_p_r
GJD0	F	4	p	eh_pcl_t
GJD0	F	4	p	s_epi_r
GJD0	F	4	p	z_pcl_p
GJD0	F	4	p	pcl_p_iy
GJD0	F	4	p	tcl_p_ao
GJD0	F	4	p	iy_pau_ih
GJD0	F	4	p	uw_pcl_p
GJD0	F	4	p	pcl_p_er
GJD0	F	4	p	bcl_p_ey
GJD0	F	4	p	ey_pcl_p
GJD0	F	4	p	pcl_p_er
GJD0	F	4	p	er_epi_y
GJD0	F	4	t	ux_tcl_t
GJD0	F	4	t	tcl_t_ix
GJD0	F	4	t	ae_tcl_h#
GJD0	F	4	t	ah_tcl_sh
GJD0	F	4	t	pcl_t_ix
GJD0	F	4	t	jh_tcl_t
GJD0	F	4	t	tcl_t_r
GJD0	F	4	t	ix_tcl_p
GJD0	F	4	t	n_tcl_t
GJD0	F	4	t	tcl_t_eh
GJD0	F	4	t	dcl_t_ux
GJD0	F	4	t	l_tcl_t
GJD0	F	4	t	tcl_t_axr
GJD0	F	4	t	s_tcl_t
GJD0	F	4	t	tcl_t_r
GJD0	F	4	t	dcl_t_ux
GJD0	F	4	t	ix_tcl_s
GJD0	F	4	t	ax_tcl_t
GJD0	F	4	t	tcl_t_iy
GJD0	F	4	t	iy_tcl_t
GJD0	F	4	t	tcl_t_ax
GJD0	F	4	t	ih_th_aw
GJD0	F	4	t	aw_tcl_s
GJD0	F	4	t	ow_tcl_w
GJD0	F	4	t	s_tcl_t
GJD0	F	4	t	tcl_t_aa
GJD0	F	4	k	r_kcl_k
GJD0	F	4	k	kcl_k_s
GJD0	F	4	k	s_kcl_k
GJD0	F	4	k	kcl_k_m
GJD0	F	4	k	ix_kcl_k
GJD0	F	4	k	kcl_k_eh
GJD0	F	4	k	ay_kcl_dh
GJD0	F	4	k	eh_kcl_k
GJD0	F	4	k	kcl_k_s
GJD0	F	4	k	ix_kcl_k
GJD0	F	4	k	kcl_k_s
GJD0	F	4	k	el_kcl_k
GJD0	F	4	k	kcl_k_l
GJD0	F	4	k	n_kcl_k
GJD0	F	4	k	kcl_k_aa
GJD0	F	4	k	eh_kcl_dh
GJD0	F	4	k	ix_kcl_k
GJD0	F	4	k	kcl_k_s
GJD0	F	4	k	er_kcl_k
GJD0	F	4	k	kcl_k_w
GJD0	F	4	k	r_kcl_k
GJD0	F	4	k	kcl_k_iy
GJD0	F	4	s	h#_sh_iy
GJD0	F	4	s	k_s_ux
GJD0	F	4	s	aa_sh_epi
GJD0	F	4	s	ae_s_kcl
GJD0	F	4	s	tcl_sh_eh
GJD0	F	4	s	k_s_bcl
GJD0	F	4	s	ix_s_ay
GJD0	F	4	s	k_s_eh
GJD0	F	4	s	n_s_q
GJD0	F	4	s	ey_sh_el
GJD0	F	4	s	ae_s_epi
GJD0	F	4	s	iy_s_f
GJD0	F	4	s	axr_s_aa
GJD0	F	4	s	k_s_ih
GJD0	F	4	s	ih_s_tcl
GJD0	F	4	s	tcl_s_h#
