ID	Sex	DR	Vowel	Context
GLB0	M	3	iy	sh_iy_hv
GLB0	M	3	iy	r_iy_s
GLB0	M	3	iy	s_iy_w
GLB0	M	3	iy	r_iy_ix
GLB0	M	3	iy	hh_iy_pcl
GLB0	M	3	iy	p_iy_r
GLB0	M	3	iy	m_iy_aw
GLB0	M	3	iy	er_iy_ix
GLB0	M	3	iy	q_iy_tcl
GLB0	M	3	iy	l_iy_ih
GLB0	M	3	iy	hv_iy_dx
GLB0	M	3	iy	dx_iy_ng
GLB0	M	3	iy	nx_iy_bcl
GLB0	M	3	iy	d_iy_ix
GLB0	M	3	iy	r_iy_tcl
GLB0	M	3	ae	nx_ae_s
GLB0	M	3	ae	r_ae_gcl
GLB0	M	3	ae	dh_ae_tcl
GLB0	M	3	ae	r_ae_n
GLB0	M	3	ae	r_ae_kcl
GLB0	M	3	ae	k_ae_tcl
GLB0	M	3	ae	k_ae_n
GLB0	M	3	aa	d_aa_r
GLB0	M	3	aa	l_aa_v
GLB0	M	3	aa	s_aa_zh
GLB0	M	3	aa	p_aa_r
GLB0	M	3	aa	hv_aa_r
GLB0	M	3	aa	k_aa_m
GLB0	M	3	uh	w_uh_s
GLB0	M	3	b	ix_bcl_b
GLB0	M	3	b	bcl_b_ix
GLB0	M	3	b	n_bcl_b
GLB0	M	3	b	bcl_b_ax
GLB0	M	3	b	dh_bcl_b
GLB0	M	3	b	bcl_b_ay
GLB0	M	3	b	ax_bcl_b
GLB0	M	3	b	bcl_b_r
GLB0	M	3	b	iy_bcl_b
GLB0	M	3	b	bcl_b_ay
GLB0	M	3	d	eh_dcl_jh
GLB0	M	3	d	axr_dcl_d
GLB0	M	3	d	dcl_d_aa
GLB0	M	3	d	ao_dx_axr
GLB0	M	3	d	h#_d_ow
GLB0	M	3	d	ix_dx_ix
GLB0	M	3	d	kcl_dh_ae
GLB0	M	3	d	s_dh_ix
GLB0	M	3	d	f_dh_eh
GLB0	M	3	d	r_dcl_d
GLB0	M	3	d	dcl_d_ih
GLB0	M	3	d	eh_dcl_d
GLB0	M	3	d	dcl_d_ix
GLB0	M	3	d	n_dcl_d
GLB0	M	3	d	dcl_d_ix
GLB0	M	3	d	ow_dcl_t
GLB0	M	3	d	h#_dh_ix
GLB0	M	3	d	ux_dh_bcl
GLB0	M	3	d	ay_dh_ax
GLB0	M	3	d	ay_dx_ix
GLB0	M	3	d	ix_dcl_w
GLB0	M	3	d	kcl_d_aw
GLB0	M	3	d	iy_dx_iy
GLB0	M	3	d	r_dcl_d
GLB0	M	3	d	dcl_d_h#
GLB0	M	3	d	n_dcl_d
GLB0	M	3	d	dcl_d_iy
GLB0	M	3	g	en_gcl_g
GLB0	M	3	g	gcl_g_r
GLB0	M	3	g	ae_gcl_g
GLB0	M	3	g	gcl_g_l
GLB0	M	3	g	r_gcl_g
GLB0	M	3	g	gcl_g_r
GLB0	M	3	g	ix_ng_gcl
GLB0	M	3	g	ng_gcl_g
GLB0	M	3	g	gcl_g_r
GLB0	M	3	g	ax_gcl_g
GLB0	M	3	g	gcl_g_eh
GLB0	M	3	g	ax_gcl_zh
GLB0	M	3	g	iy_ng_s
GLB0	M	3	g	ix_ng_hv
GLB0	M	3	g	ah_ng_s
GLB0	M	3	p	sh_epi_w
GLB0	M	3	p	iy_pcl_p
GLB0	M	3	p	pcl_p_iy
GLB0	M	3	p	s_epi_m
GLB0	M	3	p	s_epi_m
GLB0	M	3	p	s_epi_m
GLB0	M	3	p	em_pcl_p
GLB0	M	3	p	pcl_p_aa
GLB0	M	3	t	ux_tcl_en
GLB0	M	3	t	ae_tcl_h#
GLB0	M	3	t	ix_tcl_hh
GLB0	M	3	t	h#_t_ey
GLB0	M	3	t	dcl_t_r
GLB0	M	3	t	n_tcl_t
GLB0	M	3	t	tcl_t_ix
GLB0	M	3	t	ae_tcl_t
GLB0	M	3	t	tcl_t_s
GLB0	M	3	t	er_tcl_t
GLB0	M	3	t	tcl_t_s
GLB0	M	3	t	iy_tcl_ch
GLB0	M	3	t	n_tcl_t
GLB0	M	3	t	tcl_t_ay
GLB0	M	3	t	ix_th_ax
GLB0	M	3	t	s_tcl_t
GLB0	M	3	t	tcl_t_em
GLB0	M	3	t	r_tcl_t
GLB0	M	3	t	tcl_t_h#
GLB0	M	3	t	s_tcl_t
GLB0	M	3	t	tcl_t_axr
GLB0	M	3	t	z_tcl_t
GLB0	M	3	t	tcl_t_r
GLB0	M	3	t	iy_tcl_t
GLB0	M	3	t	tcl_t_s
GLB0	M	3	k	r_kcl_k
GLB0	M	3	k	kcl_k_s
GLB0	M	3	k	s_kcl_m
GLB0	M	3	k	ix_kcl_k
GLB0	M	3	k	kcl_k_eh
GLB0	M	3	k	ay_kcl_dh
GLB0	M	3	k	ix_kcl_k
GLB0	M	3	k	kcl_k_ah
GLB0	M	3	k	ey_kcl_k
GLB0	M	3	k	kcl_k_eh
GLB0	M	3	k	ae_kcl_k
GLB0	M	3	k	kcl_k_s
GLB0	M	3	k	s_kcl_k
GLB0	M	3	k	kcl_k_ih
GLB0	M	3	k	ix_kcl_k
GLB0	M	3	k	kcl_k_ae
GLB0	M	3	k	h#_k_l
GLB0	M	3	k	n_kcl_k
GLB0	M	3	k	kcl_k_ah
GLB0	M	3	k	s_kcl_k
GLB0	M	3	k	kcl_k_ow
GLB0	M	3	k	ey_kcl_d
GLB0	M	3	k	er_kcl_k
GLB0	M	3	k	kcl_k_ix
GLB0	M	3	k	v_kcl_k
GLB0	M	3	k	kcl_k_aa
GLB0	M	3	k	n_kcl_k
GLB0	M	3	k	kcl_k_ae
GLB0	M	3	s	h#_sh_iy
GLB0	M	3	s	k_s_ux
GLB0	M	3	s	iy_s_iy
GLB0	M	3	s	ao_sh_epi
GLB0	M	3	s	ae_s_kcl
GLB0	M	3	s	ay_s_l
GLB0	M	3	s	ih_s_dh
GLB0	M	3	s	ey_s_h#
GLB0	M	3	s	ix_s_eh
GLB0	M	3	s	k_s_kcl
GLB0	M	3	s	t_s_epi
GLB0	M	3	s	t_s_epi
GLB0	M	3	s	uh_s_ux
GLB0	M	3	s	ix_s_epi
GLB0	M	3	s	ax_s_aa
GLB0	M	3	s	ao_s_kcl
GLB0	M	3	s	n_s_ay
GLB0	M	3	s	ng_s_ih
GLB0	M	3	s	ih_s_tcl
GLB0	M	3	s	ng_s_tcl
GLB0	M	3	s	t_s_h#
GLB0	M	3	z	ih_z_ix
GLB0	M	3	z	ah_z_ax
GLB0	M	3	z	ow_z_ax
GLB0	M	3	z	ix_z_ix
GLB0	M	3	z	ix_z_hh
GLB0	M	3	z	r_z_h#
GLB0	M	3	z	gcl_zh_er
GLB0	M	3	z	aa_zh_h#
GLB0	M	3	z	axr_z_l
GLB0	M	3	z	ix_z_tcl
GLB0	M	3	sh	h#_sh_iy
GLB0	M	3	sh	ao_sh_epi
GLB0	M	3	dh	kcl_dh_ae
GLB0	M	3	dh	s_dh_ix
GLB0	M	3	dh	f_dh_eh
GLB0	M	3	dh	h#_dh_ix
GLB0	M	3	dh	ux_dh_bcl
GLB0	M	3	dh	ay_dh_ax
GLB0	M	3	f	ay_f_ey
GLB0	M	3	f	l_f_dh
GLB0	M	3	f	ih_f_w
GLB0	M	3	v	iy_hv_eh
GLB0	M	3	v	ax_v_m
GLB0	M	3	v	aa_v_ax
GLB0	M	3	v	axr_v_y
GLB0	M	3	v	ih_hv_eh
GLB0	M	3	v	ix_v_y
GLB0	M	3	v	ax_v_ix
GLB0	M	3	v	ix_hv_iy
GLB0	M	3	v	ng_hv_aa
GLB0	M	3	v	ah_v_kcl
GLB0	M	3	jh	dcl_jh_axr
GLB0	M	3	jh	h#_jh_ey
GLB0	M	3	ch	tcl_ch_ah
