ID	Sex	DR	Vowel	Context
GXP0	M	4	iy	sh_iy_hv
GXP0	M	4	iy	r_iy_z
GXP0	M	4	iy	z_iy_w
GXP0	M	4	iy	m_iy_tcl
GXP0	M	4	iy	r_iy_q
GXP0	M	4	iy	hh_iy_m
GXP0	M	4	iy	ux_iy_tcl
GXP0	M	4	iy	dh_iy_dcl
GXP0	M	4	iy	t_iy_tcl
GXP0	M	4	iy	r_iy_dcl
GXP0	M	4	iy	q_iy_v
GXP0	M	4	iy	w_iy_tcl
GXP0	M	4	ae	q_ae_s
GXP0	M	4	ae	r_ae_gcl
GXP0	M	4	ae	dh_ae_tcl
GXP0	M	4	ae	m_ae_dx
GXP0	M	4	ae	n_ae_s
GXP0	M	4	ae	z_ae_z
GXP0	M	4	ae	q_ae_n
GXP0	M	4	aa	n_aa_tcl
GXP0	M	4	aa	pau_aa_ix
GXP0	M	4	uh	dx_uh_s
GXP0	M	4	uh	w_uh_dcl
GXP0	M	4	b	tcl_b_ah
GXP0	M	4	b	h#_b_ow
GXP0	M	4	b	ax_bcl_b
GXP0	M	4	b	bcl_b_ih
GXP0	M	4	d	eh_dcl_ch
GXP0	M	4	d	er_dcl_d
GXP0	M	4	d	dcl_d_ao
GXP0	M	4	d	ao_dx_ax
GXP0	M	4	d	h#_d_ow
GXP0	M	4	d	kcl_dh_ae
GXP0	M	4	d	ae_dx_uh
GXP0	M	4	d	ow_dx_eh
GXP0	M	4	d	z_dcl_d
GXP0	M	4	d	dcl_d_ux
GXP0	M	4	d	ah_dh_ax-h
GXP0	M	4	d	uh_dcl_g
GXP0	M	4	d	ey_dx_ix
GXP0	M	4	d	h#_dh_iy
GXP0	M	4	d	iy_dcl_d
GXP0	M	4	d	dcl_d_ix
GXP0	M	4	d	iy_dcl_d
GXP0	M	4	d	dcl_d_pau
GXP0	M	4	d	ao_dx_ix
GXP0	M	4	d	h#_dh_ey
GXP0	M	4	d	n_dh_ix
GXP0	M	4	d	h#_dh_ix
GXP0	M	4	d	ao_dcl_jh
GXP0	M	4	d	l_dcl_d
GXP0	M	4	d	dcl_d_s
GXP0	M	4	d	h#_dh_ix
GXP0	M	4	d	eh_dx_ey
GXP0	M	4	d	ey_dcl_d
GXP0	M	4	d	dcl_d_ih
GXP0	M	4	d	axr_dcl_d
GXP0	M	4	d	dcl_d_ix
GXP0	M	4	g	n_gcl_g
GXP0	M	4	g	gcl_g_r
GXP0	M	4	g	ae_gcl_g
GXP0	M	4	g	gcl_g_l
GXP0	M	4	g	ih_gcl_g
GXP0	M	4	g	gcl_g_axr
GXP0	M	4	g	dcl_g_ow
GXP0	M	4	g	n_gcl_g
GXP0	M	4	g	gcl_g_ow
GXP0	M	4	g	ih_ng_gcl
GXP0	M	4	g	ng_gcl_g
GXP0	M	4	g	gcl_g_w
GXP0	M	4	p	sh_epi_w
GXP0	M	4	p	s_epi_m
GXP0	M	4	p	jh_epi_m
GXP0	M	4	p	ux_pcl_p
GXP0	M	4	p	pcl_p_ax
GXP0	M	4	p	m_pcl_ax-h
GXP0	M	4	p	z_pau_w
GXP0	M	4	p	d_pau_aa
GXP0	M	4	p	m_pcl_p
GXP0	M	4	p	pcl_p_ao
GXP0	M	4	p	s_pcl_p
GXP0	M	4	p	pcl_p_eh
GXP0	M	4	p	s_pau_q
GXP0	M	4	p	t_pau_q
GXP0	M	4	p	jh_pau_s
GXP0	M	4	p	s_epi_m
GXP0	M	4	p	s_epi_w
GXP0	M	4	p	er_pcl_p
GXP0	M	4	p	pcl_p_l
GXP0	M	4	p	z_pau_w
GXP0	M	4	p	tcl_p_r
GXP0	M	4	p	z_pau_ax
GXP0	M	4	p	v_pau_eh
GXP0	M	4	p	h#_p_ih
GXP0	M	4	p	ix_pau_q
GXP0	M	4	t	ux_tcl_t
GXP0	M	4	t	tcl_t_ix
GXP0	M	4	t	iy_tcl_t
GXP0	M	4	t	tcl_t_ix
GXP0	M	4	t	ae_tcl_t
GXP0	M	4	t	tcl_t_h#
GXP0	M	4	t	eh_tcl_t
GXP0	M	4	t	tcl_t_ux
GXP0	M	4	t	aa_tcl_b
GXP0	M	4	t	n_tcl_t
GXP0	M	4	t	tcl_t_ux
GXP0	M	4	t	iy_tcl_ch
GXP0	M	4	t	ix_tcl_t
GXP0	M	4	t	tcl_t_iy
GXP0	M	4	t	iy_tcl_t
GXP0	M	4	t	tcl_t_ux
GXP0	M	4	t	ah_tcl_ch
GXP0	M	4	t	f_tcl_t
GXP0	M	4	t	tcl_t_ix
GXP0	M	4	t	aw_tcl_t
GXP0	M	4	t	tcl_t_pau
GXP0	M	4	t	iy_tcl_t
GXP0	M	4	t	tcl_t_h#
GXP0	M	4	t	n_tcl_p
GXP0	M	4	t	ah_tcl_th
GXP0	M	4	t	tcl_th_ix
GXP0	M	4	t	r_tcl_t
GXP0	M	4	t	tcl_t_ix
GXP0	M	4	k	r_kcl_k
GXP0	M	4	k	kcl_k_s
GXP0	M	4	k	ix_kcl_k
GXP0	M	4	k	kcl_k_eh
GXP0	M	4	k	ay_kcl_dh
GXP0	M	4	k	eh_kcl_s
GXP0	M	4	k	aw_kcl_k
GXP0	M	4	k	kcl_k_ah
GXP0	M	4	k	z_kcl_k
GXP0	M	4	k	kcl_k_axr
GXP0	M	4	k	s_kcl_k
GXP0	M	4	k	kcl_k_aw
GXP0	M	4	k	ix_kcl_k
GXP0	M	4	k	kcl_k_h#
GXP0	M	4	s	h#_sh_iy
GXP0	M	4	s	k_s_ux
GXP0	M	4	s	ao_sh_epi
GXP0	M	4	s	ae_s_epi
GXP0	M	4	s	ah_s_r
GXP0	M	4	s	uh_s_ow
GXP0	M	4	s	ae_s_pcl
GXP0	M	4	s	kcl_s_pau
GXP0	M	4	s	axr_s_ao
GXP0	M	4	s	pau_s_epi
GXP0	M	4	s	d_s_epi
GXP0	M	4	s	ix_s_er
GXP0	M	4	s	ax_s_sh
GXP0	M	4	s	s_sh_ux
GXP0	M	4	s	ax_s_ow
GXP0	M	4	s	ih_s_kcl
GXP0	M	4	s	ay_s_h#
GXP0	M	4	s	n_s_ix
GXP0	M	4	s	ax_s_en
GXP0	M	4	s	en_s_h#
GXP0	M	4	s	ay_s_ix
GXP0	M	4	z	iy_z_iy
GXP0	M	4	z	ax_z_dcl
GXP0	M	4	z	axr_z_pau
GXP0	M	4	z	axr_z_h#
GXP0	M	4	z	ix_z_ay
GXP0	M	4	z	ow_z_kcl
GXP0	M	4	z	ux_z_pau
GXP0	M	4	z	ih_z_ae
GXP0	M	4	z	ae_z_pau
GXP0	M	4	z	eh_z_q
GXP0	M	4	z	n_z_l
GXP0	M	4	sh	h#_sh_iy
GXP0	M	4	sh	ao_sh_epi
GXP0	M	4	sh	s_sh_ux
GXP0	M	4	dh	kcl_dh_ae
GXP0	M	4	dh	ah_dh_ax-h
GXP0	M	4	dh	h#_dh_iy
GXP0	M	4	dh	h#_dh_ey
GXP0	M	4	dh	n_dh_ix
GXP0	M	4	dh	h#_dh_ix
GXP0	M	4	dh	h#_dh_ix
GXP0	M	4	f	ax_f_ao
GXP0	M	4	f	ow_f_ih
GXP0	M	4	f	ay_f_h#
GXP0	M	4	f	aw_f_tcl
GXP0	M	4	f	ax_f_eh
GXP0	M	4	v	iy_hv_eh
GXP0	M	4	v	ax_v_aw
GXP0	M	4	v	iy_v_n
GXP0	M	4	v	ix_v_pau
GXP0	M	4	v	ih_v_n
GXP0	M	4	jh	n_jh_epi
GXP0	M	4	jh	dcl_jh_pau
GXP0	M	4	ch	dcl_ch_er
GXP0	M	4	ch	tcl_ch_ah
GXP0	M	4	ch	tcl_ch_er
