ID	Sex	DR	Vowel	Context
HEW0	F	5	iy	sh_iy_hv
HEW0	F	5	iy	r_iy_s
HEW0	F	5	iy	s_iy_w
HEW0	F	5	iy	y_iy_axr
HEW0	F	5	iy	m_iy_dx
HEW0	F	5	iy	r_iy_ih
HEW0	F	5	iy	l_iy_r
HEW0	F	5	iy	w_iy_tcl
HEW0	F	5	iy	dx_iy_w
HEW0	F	5	iy	p_iy_tcl
HEW0	F	5	iy	r_iy_ah
HEW0	F	5	iy	v_iy_n
HEW0	F	5	iy	l_iy_s
HEW0	F	5	iy	l_iy_pcl
HEW0	F	5	iy	p_iy_pcl
HEW0	F	5	ae	hv_ae_dcl
HEW0	F	5	ae	q_ae_s
HEW0	F	5	ae	r_ae_gcl
HEW0	F	5	ae	d_ae_q
HEW0	F	5	aa	d_aa_r
HEW0	F	5	aa	w_aa_sh
HEW0	F	5	aa	n_aa_nx
HEW0	F	5	aa	m_aa_r
HEW0	F	5	aa	jh_aa_axr
HEW0	F	5	aa	q_aa_axr
HEW0	F	5	aa	z_aa_r
HEW0	F	5	aa	l_aa_kcl
HEW0	F	5	aa	r_aa_dcl
HEW0	F	5	aa	r_aa_pcl
HEW0	F	5	aa	b_aa_kcl
HEW0	F	5	aa	el_aa_r
HEW0	F	5	uh	p_uh_tcl
HEW0	F	5	uh	b_uh_tcl
HEW0	F	5	b	ax_bcl_b
HEW0	F	5	b	bcl_b_l
HEW0	F	5	b	ah_bcl_z
HEW0	F	5	b	m_bcl_b
HEW0	F	5	b	bcl_b_el
HEW0	F	5	b	n_bcl_b
HEW0	F	5	b	bcl_b_ow
HEW0	F	5	b	v_bcl_b
HEW0	F	5	b	bcl_b_ah
HEW0	F	5	b	ax_bcl_b
HEW0	F	5	b	bcl_b_uh
HEW0	F	5	b	axr_bcl_b
HEW0	F	5	b	bcl_b_l
HEW0	F	5	b	ey_bcl_ah
HEW0	F	5	b	ax_bcl_b
HEW0	F	5	b	bcl_b_aa
HEW0	F	5	b	s_bcl_b
HEW0	F	5	b	bcl_b_ix
HEW0	F	5	b	ow_bcl_k
HEW0	F	5	b	n_bcl_b
HEW0	F	5	b	bcl_b_l
HEW0	F	5	d	ae_dcl_y
HEW0	F	5	d	er_dcl_d
HEW0	F	5	d	dcl_d_aa
HEW0	F	5	d	ao_dx_axr
HEW0	F	5	d	h#_d_ow
HEW0	F	5	d	iy_dx_ix
HEW0	F	5	d	kcl_d_ae
HEW0	F	5	d	aw_dcl_d
HEW0	F	5	d	dcl_d_ey
HEW0	F	5	d	z_dh_ow
HEW0	F	5	d	ow_dh_ax
HEW0	F	5	d	axr_dcl_jh
HEW0	F	5	d	axr_dx_iy
HEW0	F	5	d	epi_dh_ax
HEW0	F	5	d	ux_dcl_jh
HEW0	F	5	d	el_dcl_q
HEW0	F	5	d	ah_dx_axr
HEW0	F	5	d	l_dcl_d
HEW0	F	5	d	dcl_d_h#
HEW0	F	5	d	aa_dcl_jh
HEW0	F	5	d	h#_d_r
HEW0	F	5	d	r_dcl_d
HEW0	F	5	d	dcl_d_r
HEW0	F	5	d	l_d_axr
HEW0	F	5	d	ux_d_ix
HEW0	F	5	d	ix_dcl_h#
HEW0	F	5	g	n_gcl_g
HEW0	F	5	g	gcl_g_r
HEW0	F	5	g	ae_gcl_g
HEW0	F	5	g	gcl_g_l
HEW0	F	5	g	ax_gcl_g
HEW0	F	5	g	gcl_g_r
HEW0	F	5	g	ux_gcl_g
HEW0	F	5	g	gcl_g_ow
HEW0	F	5	p	sh_epi_w
HEW0	F	5	p	z_epi_w
HEW0	F	5	p	s_epi_w
HEW0	F	5	p	h#_p_axr
HEW0	F	5	p	axr_pcl_p
HEW0	F	5	p	pcl_p_r
HEW0	F	5	p	s_epi_w
HEW0	F	5	p	s_epi_dh
HEW0	F	5	p	h#_p_iy
HEW0	F	5	p	h#_p_uh
HEW0	F	5	p	aa_pcl_f
HEW0	F	5	p	iy_pcl_p
HEW0	F	5	p	pcl_p_iy
HEW0	F	5	p	iy_pcl_p
HEW0	F	5	p	pcl_p_el
HEW0	F	5	t	iy_tcl_t
HEW0	F	5	t	tcl_t_ao
HEW0	F	5	t	ih_tcl_s
HEW0	F	5	t	sh_tcl_t
HEW0	F	5	t	tcl_t_ix
HEW0	F	5	t	r_tcl_s
HEW0	F	5	t	ix_th_r
HEW0	F	5	t	ih_tcl_ch
HEW0	F	5	t	n_tcl_s
HEW0	F	5	t	ix_tcl_t
HEW0	F	5	t	tcl_t_r
HEW0	F	5	t	iy_tcl_s
HEW0	F	5	t	n_tcl_ch
HEW0	F	5	t	uh_tcl_t
HEW0	F	5	t	tcl_t_ax
HEW0	F	5	t	uh_tcl_ch
HEW0	F	5	t	kcl_t_ey
HEW0	F	5	t	s_tcl_t
HEW0	F	5	t	tcl_t_ax
HEW0	F	5	t	er_tcl_s
HEW0	F	5	k	r_kcl_k
HEW0	F	5	k	kcl_k_s
HEW0	F	5	k	s_kcl_m
HEW0	F	5	k	ix_kcl_k
HEW0	F	5	k	kcl_k_eh
HEW0	F	5	k	ay_kcl_d
HEW0	F	5	k	ao_kcl_k
HEW0	F	5	k	kcl_k_ix
HEW0	F	5	k	s_kcl_k
HEW0	F	5	k	kcl_k_er
HEW0	F	5	k	r_kcl_k
HEW0	F	5	k	kcl_k_q
HEW0	F	5	k	r_kcl_k
HEW0	F	5	k	kcl_k_ix
HEW0	F	5	k	ey_kcl_k
