ID	Sex	DR	Vowel	Context
HMG0	M	5	iy	sh_iy_hv
HMG0	M	5	iy	r_iy_z
HMG0	M	5	iy	z_iy_w
HMG0	M	5	iy	m_iy_dx
HMG0	M	5	iy	r_iy_ix
HMG0	M	5	iy	l_iy_r
HMG0	M	5	iy	w_iy_ih
HMG0	M	5	iy	dx_iy_f
HMG0	M	5	iy	hh_iy_bcl
HMG0	M	5	iy	l_iy_bcl
HMG0	M	5	iy	w_iy_n
HMG0	M	5	iy	m_iy_tcl
HMG0	M	5	iy	l_iy_s
HMG0	M	5	iy	l_iy_dcl
HMG0	M	5	iy	l_iy_tcl
HMG0	M	5	iy	z_iy_ax
HMG0	M	5	iy	r_iy_iy
HMG0	M	5	iy	iy_iy_v
HMG0	M	5	iy	ow_iy_ng
HMG0	M	5	iy	er_iy_tcl
HMG0	M	5	ae	hv_ae_dcl
HMG0	M	5	ae	n_ae_s
HMG0	M	5	ae	r_ae_gcl
HMG0	M	5	ae	dh_ae_tcl
HMG0	M	5	ae	ay_ae_gcl
HMG0	M	5	ae	aw_ae_kcl
HMG0	M	5	ae	r_ae_f
HMG0	M	5	aa	d_aa_r
HMG0	M	5	aa	w_aa_sh
HMG0	M	5	aa	ch_aa_r
HMG0	M	5	aa	m_aa_m
HMG0	M	5	aa	n_aa_q
HMG0	M	5	aa	f_aa_l
HMG0	M	5	aa	g_aa_r
HMG0	M	5	uh	w_uh_dcl
HMG0	M	5	b	iy_bcl_b
HMG0	M	5	b	bcl_b_l
HMG0	M	5	b	iy_bcl_b
HMG0	M	5	b	bcl_b_ix
HMG0	M	5	b	n_bcl_b
HMG0	M	5	b	bcl_b_ow
HMG0	M	5	d	ae_dcl_jh
HMG0	M	5	d	axr_dcl_d
HMG0	M	5	d	dcl_d_aa
HMG0	M	5	d	ao_dx_axr
HMG0	M	5	d	h#_d_ow
HMG0	M	5	d	iy_dx_ix
HMG0	M	5	d	k_dh_ae
HMG0	M	5	d	aw_dx_ax
HMG0	M	5	d	eh_dx_iy
HMG0	M	5	d	ix_dcl_jh
HMG0	M	5	d	axr_dcl_d
HMG0	M	5	d	dcl_d_ay
HMG0	M	5	d	tcl_d_ah
HMG0	M	5	d	iy_dcl_d
HMG0	M	5	d	dcl_d_ax
HMG0	M	5	d	uh_dcl_jh
HMG0	M	5	d	n_dcl_d
HMG0	M	5	d	dcl_d_l
HMG0	M	5	d	r_dcl_en
HMG0	M	5	g	ix_ng_gcl
HMG0	M	5	g	ng_gcl_g
HMG0	M	5	g	gcl_g_r
HMG0	M	5	g	ae_gcl_g
HMG0	M	5	g	gcl_g_l
HMG0	M	5	g	ih_ng_gcl
HMG0	M	5	g	ng_gcl_g
HMG0	M	5	g	gcl_g_axr
HMG0	M	5	g	ae_gcl_n
HMG0	M	5	g	ix_ng_h#
HMG0	M	5	g	ax_gcl_g
HMG0	M	5	g	gcl_g_r
HMG0	M	5	g	h#_g_r
HMG0	M	5	g	iy_ng_w
HMG0	M	5	g	p_g_aa
HMG0	M	5	g	ix_ng_h#
HMG0	M	5	p	sh_epi_w
HMG0	M	5	p	s_epi_m
HMG0	M	5	p	z_epi_n
HMG0	M	5	p	s_pcl_p
HMG0	M	5	p	pcl_p_er
HMG0	M	5	p	t_pau_q
HMG0	M	5	p	z_epi_n
HMG0	M	5	p	s_pcl_p
HMG0	M	5	p	pcl_p_l
HMG0	M	5	p	z_epi_m
HMG0	M	5	p	ch_pcl_p
HMG0	M	5	p	pcl_p_er
HMG0	M	5	p	eh_pcl_p
HMG0	M	5	p	pcl_p_g
HMG0	M	5	t	ux_tcl_t
HMG0	M	5	t	tcl_t_q
HMG0	M	5	t	ae_tcl_h#
HMG0	M	5	t	ih_tcl_ch
HMG0	M	5	t	ix_tcl_t
HMG0	M	5	t	tcl_t_w
HMG0	M	5	t	s_tcl_t
HMG0	M	5	t	tcl_t_pau
HMG0	M	5	t	er_tcl_m
HMG0	M	5	t	iy_tcl_th
HMG0	M	5	t	tcl_th_ax
HMG0	M	5	t	ax_tcl_t
HMG0	M	5	t	tcl_t_axr
HMG0	M	5	t	ix_tcl_d
HMG0	M	5	t	s_tcl_t
HMG0	M	5	t	tcl_t_ao
HMG0	M	5	t	s_tcl_t
HMG0	M	5	t	tcl_t_ix
HMG0	M	5	t	iy_tcl_t
HMG0	M	5	t	tcl_t_f
HMG0	M	5	t	ih_tcl_ch
HMG0	M	5	t	er_tcl_ch
HMG0	M	5	t	ih_th_ax
HMG0	M	5	t	iy_tcl_t
HMG0	M	5	t	tcl_t_ay
HMG0	M	5	t	n_tcl_s
HMG0	M	5	k	r_kcl_k
HMG0	M	5	k	kcl_k_s
HMG0	M	5	k	ix_kcl_k
HMG0	M	5	k	kcl_k_ih
HMG0	M	5	k	ay_kcl_k
HMG0	M	5	k	kcl_k_dh
HMG0	M	5	k	eh_kcl_k
HMG0	M	5	k	kcl_k_s
HMG0	M	5	k	ix_kcl_k
HMG0	M	5	k	kcl_k_s
HMG0	M	5	k	ae_kcl_s
HMG0	M	5	k	l_kcl_k
HMG0	M	5	k	kcl_k_eh
HMG0	M	5	k	m_kcl_k
HMG0	M	5	k	kcl_k_ax
HMG0	M	5	s	h#_sh_iy
HMG0	M	5	s	k_s_ux
HMG0	M	5	s	aa_sh_epi
HMG0	M	5	s	ae_s_epi
HMG0	M	5	s	k_s_pcl
HMG0	M	5	s	ix_s_f
HMG0	M	5	s	axr_s_h#
HMG0	M	5	s	ow_s_tcl
HMG0	M	5	s	n_s_er
HMG0	M	5	s	iy_s_ow
HMG0	M	5	s	eh_s_tcl
HMG0	M	5	s	ah_s_tcl
HMG0	M	5	s	k_s_pcl
HMG0	M	5	s	ih_s_ix
HMG0	M	5	s	l_s_h#
HMG0	M	5	s	ih_sh_ix
HMG0	M	5	s	kcl_s_ax
HMG0	M	5	s	n_s_h#
HMG0	M	5	s	ix_s_eh
HMG0	M	5	s	l_s_ay
HMG0	M	5	s	f_s_h#
HMG0	M	5	s	tcl_s_uw
HMG0	M	5	z	iy_z_iy
HMG0	M	5	z	ih_z_epi
HMG0	M	5	z	ow_z_eh
HMG0	M	5	z	ah_z_epi
HMG0	M	5	z	ux_z_iy
HMG0	M	5	z	axr_z_epi
HMG0	M	5	z	ux_z_ih
HMG0	M	5	z	n_z_eh
HMG0	M	5	z	en_z_ix
HMG0	M	5	z	ix_z_v
HMG0	M	5	sh	h#_sh_iy
HMG0	M	5	sh	aa_sh_epi
HMG0	M	5	sh	ih_sh_ix
HMG0	M	5	dh	k_dh_ae
HMG0	M	5	f	iy_f_ay
HMG0	M	5	f	s_f_ih
HMG0	M	5	f	h#_f_ao
HMG0	M	5	f	t_f_aa
HMG0	M	5	f	ae_f_s
HMG0	M	5	v	iy_hv_ae
HMG0	M	5	v	r_hv_aw
HMG0	M	5	v	eh_v_r
HMG0	M	5	v	iy_v_n
HMG0	M	5	v	ax_v_ay
HMG0	M	5	v	eh_v_axr
HMG0	M	5	v	z_v_er
HMG0	M	5	jh	dcl_jh_axr
HMG0	M	5	jh	dcl_jh_h#
HMG0	M	5	jh	dcl_jh_ux
HMG0	M	5	ch	tcl_ch_aa
HMG0	M	5	ch	tcl_ch_pcl
HMG0	M	5	ch	tcl_ch_ix
