ID	Sex	DR	Vowel	Context
JAC0	M	4	iy	sh_iy_hv
JAC0	M	4	iy	r_iy_s
JAC0	M	4	iy	s_iy_w
JAC0	M	4	iy	m_iy_dx
JAC0	M	4	iy	r_iy_ix
JAC0	M	4	iy	l_iy_pau
JAC0	M	4	iy	d_iy_f
JAC0	M	4	iy	p_iy_pcl
JAC0	M	4	iy	w_iy_q
JAC0	M	4	iy	p_iy_tcl
JAC0	M	4	iy	m_iy_dx
JAC0	M	4	iy	dx_iy_ng
JAC0	M	4	iy	dx_iy_pcl
JAC0	M	4	iy	s_iy_pcl
JAC0	M	4	iy	p_iy_tcl
JAC0	M	4	iy	r_iy_z
JAC0	M	4	iy	s_iy_er
JAC0	M	4	ae	hv_ae_dcl
JAC0	M	4	ae	q_ae_s
JAC0	M	4	ae	r_ae_gcl
JAC0	M	4	ae	dh_ae_tcl
JAC0	M	4	ae	r_ae_v
JAC0	M	4	ae	q_ae_pcl
JAC0	M	4	aa	d_aa_r
JAC0	M	4	aa	m_aa_dx
JAC0	M	4	aa	b_aa_r
JAC0	M	4	aa	y_aa_r
JAC0	M	4	uh	l_uh_kcl
JAC0	M	4	uh	t_uh_sh
JAC0	M	4	b	dcl_b_ax
JAC0	M	4	b	ax_bcl_b
JAC0	M	4	b	bcl_b_aa
JAC0	M	4	b	r_bcl_w
JAC0	M	4	b	z_bcl_b
JAC0	M	4	b	bcl_b_ih
JAC0	M	4	b	m_b_el
JAC0	M	4	d	ae_dcl_jh
JAC0	M	4	d	er_dcl_d
JAC0	M	4	d	dcl_d_aa
JAC0	M	4	d	ux_dx_ih
JAC0	M	4	d	ao_dx_axr
JAC0	M	4	d	h#_d_ow
JAC0	M	4	d	iy_dx_ix
JAC0	M	4	d	kcl_dh_ae
JAC0	M	4	d	axr_dcl_d
JAC0	M	4	d	dcl_d_iy
JAC0	M	4	d	n_dcl_d
JAC0	M	4	d	dcl_d_h#
JAC0	M	4	d	h#_dh_eh
JAC0	M	4	d	ng_dcl_d
JAC0	M	4	d	dcl_d_ih
JAC0	M	4	d	ux_dx_ih
JAC0	M	4	d	ao_dx_axr
JAC0	M	4	d	aa_dx_ax
JAC0	M	4	d	ux_dx_axr
JAC0	M	4	d	h#_dh_ix
JAC0	M	4	d	iy_dx_iy
JAC0	M	4	d	axr_dcl_jh
JAC0	M	4	d	n_dcl_d
JAC0	M	4	d	dcl_d_h#
JAC0	M	4	d	h#_dh_ax
JAC0	M	4	d	er_dx_iy
JAC0	M	4	d	n_d_ix
JAC0	M	4	d	ix_dcl_b
JAC0	M	4	d	h#_dh_ix
JAC0	M	4	d	f_dcl_jh
JAC0	M	4	g	ih_ng_gcl
JAC0	M	4	g	ng_gcl_r
JAC0	M	4	g	ae_gcl_g
JAC0	M	4	g	gcl_g_l
JAC0	M	4	g	ao_ng_dcl
JAC0	M	4	g	ih_gcl_z
JAC0	M	4	g	ix_ng_tcl
JAC0	M	4	g	ix_gcl_n
JAC0	M	4	g	iy_ng_ih
JAC0	M	4	g	ih_gcl_g
JAC0	M	4	g	gcl_g_pau
JAC0	M	4	p	sh_epi_w
JAC0	M	4	p	iy_pau_r
JAC0	M	4	p	er_pcl_p
JAC0	M	4	p	pcl_p_iy
JAC0	M	4	p	iy_pcl_p
JAC0	M	4	p	pcl_p_el
JAC0	M	4	p	ae_pcl_p
JAC0	M	4	p	pcl_p_l
JAC0	M	4	p	em_pcl_p
JAC0	M	4	p	pcl_p_ux
JAC0	M	4	p	s_pcl_p
JAC0	M	4	p	pcl_p_iy
JAC0	M	4	p	iy_pcl_p
JAC0	M	4	p	pcl_p_r
JAC0	M	4	p	g_pau_jh
JAC0	M	4	p	iy_pcl_p
JAC0	M	4	p	pcl_p_iy
JAC0	M	4	p	h#_p_ao
JAC0	M	4	p	ux_pcl_p
JAC0	M	4	p	pcl_p_ay
JAC0	M	4	p	s_pau_r
JAC0	M	4	t	ae_tcl_h#
JAC0	M	4	t	n_tcl_s
JAC0	M	4	t	ux_tcl_t
JAC0	M	4	t	tcl_t_r
JAC0	M	4	t	s_tcl_t
JAC0	M	4	t	tcl_t_ix
JAC0	M	4	t	n_tcl_s
JAC0	M	4	t	z_tcl_t
JAC0	M	4	t	tcl_t_uh
JAC0	M	4	t	ix_tcl_t
JAC0	M	4	t	tcl_t_ih
JAC0	M	4	t	s_tcl_t
JAC0	M	4	t	tcl_t_ix
JAC0	M	4	t	axr_tcl_t
JAC0	M	4	t	tcl_t_ao
JAC0	M	4	t	ng_tcl_t
JAC0	M	4	t	tcl_t_ix
JAC0	M	4	t	iy_tcl_ch
JAC0	M	4	t	n_tcl_t
JAC0	M	4	t	tcl_t_ey
JAC0	M	4	t	iy_tcl_ch
JAC0	M	4	t	er_tcl_ch
JAC0	M	4	k	r_kcl_k
JAC0	M	4	k	kcl_k_s
JAC0	M	4	k	s_kcl_m
JAC0	M	4	k	ix_kcl_k
JAC0	M	4	k	kcl_k_ih
JAC0	M	4	k	ay_kcl_dh
JAC0	M	4	k	ih_kcl_k
JAC0	M	4	k	kcl_k_y
JAC0	M	4	k	eh_kcl_k
JAC0	M	4	k	kcl_k_s
JAC0	M	4	k	uh_kcl_k
JAC0	M	4	k	kcl_k_s
JAC0	M	4	k	ay_kcl_k
JAC0	M	4	k	kcl_k_ix
JAC0	M	4	k	ix_kcl_k
JAC0	M	4	k	kcl_k_em
JAC0	M	4	k	eh_kcl_k
JAC0	M	4	k	kcl_k_ix
JAC0	M	4	k	ix_kcl_k
JAC0	M	4	k	kcl_k_y
JAC0	M	4	k	r_kcl_k
JAC0	M	4	k	kcl_k_ix
JAC0	M	4	k	r_kcl_k
JAC0	M	4	k	kcl_k_ux
JAC0	M	4	s	h#_sh_iy
JAC0	M	4	s	k_s_ux
JAC0	M	4	s	iy_s_iy
JAC0	M	4	s	r_sh_epi
JAC0	M	4	s	ae_s_kcl
JAC0	M	4	s	ix_s_ih
JAC0	M	4	s	ey_sh_ih
JAC0	M	4	s	er_s_eh
JAC0	M	4	s	tcl_s_axr
JAC0	M	4	s	k_s_w
JAC0	M	4	s	k_s_ah
JAC0	M	4	s	l_s_h#
JAC0	M	4	s	ih_s_tcl
JAC0	M	4	s	tcl_s_ax
JAC0	M	4	s	uh_sh_er
JAC0	M	4	s	ih_s_tcl
JAC0	M	4	s	n_s_h#
JAC0	M	4	s	axr_s_pcl
JAC0	M	4	s	ih_sh_ix
JAC0	M	4	s	ay_s_ix
JAC0	M	4	s	ax_s_axr
JAC0	M	4	s	ux_s_iy
JAC0	M	4	s	ix_s_h#
JAC0	M	4	s	n_s_pau
JAC0	M	4	s	el_s_iy
JAC0	M	4	s	n_s_h#
JAC0	M	4	z	n_z_q
JAC0	M	4	z	ax_z_tcl
JAC0	M	4	z	gcl_z_ih
JAC0	M	4	z	ih_z_n
JAC0	M	4	z	ih_z_ax
JAC0	M	4	z	n_z_bcl
JAC0	M	4	z	iy_z_eh
JAC0	M	4	sh	h#_sh_iy
JAC0	M	4	sh	r_sh_epi
JAC0	M	4	sh	ey_sh_ih
JAC0	M	4	sh	uh_sh_er
JAC0	M	4	sh	ih_sh_ix
JAC0	M	4	dh	kcl_dh_ae
JAC0	M	4	dh	h#_dh_eh
JAC0	M	4	dh	h#_dh_ix
JAC0	M	4	dh	h#_dh_ax
JAC0	M	4	dh	h#_dh_ix
JAC0	M	4	f	ow_f_ix
JAC0	M	4	f	iy_f_eh
JAC0	M	4	f	axr_f_aw
JAC0	M	4	f	ix_f_ih
JAC0	M	4	f	ih_f_dcl
JAC0	M	4	v	iy_hv_ae
JAC0	M	4	v	el_hv_ux
JAC0	M	4	v	ae_v_el
JAC0	M	4	v	ax_hv_ay
JAC0	M	4	jh	dcl_jh_er
JAC0	M	4	jh	dcl_jh_er
JAC0	M	4	jh	dcl_jh_y
JAC0	M	4	jh	pau_jh_ux
JAC0	M	4	ch	tcl_ch_r
JAC0	M	4	ch	tcl_ch_ix
JAC0	M	4	ch	tcl_ch_ix
