ID	Sex	DR	Vowel	Context
JAR0	M	2	iy	sh_iy_hv
JAR0	M	2	iy	r_iy_s
JAR0	M	2	iy	s_iy_w
JAR0	M	2	iy	m_iy_dx
JAR0	M	2	iy	r_iy_ix
JAR0	M	2	iy	l_iy_r
JAR0	M	2	iy	w_iy_kcl
JAR0	M	2	iy	l_iy_dx
JAR0	M	2	iy	dh_iy_ae
JAR0	M	2	iy	dh_iy_ah
JAR0	M	2	iy	t_iy_dcl
JAR0	M	2	iy	hh_iy_ix
JAR0	M	2	iy	el_iy_r
JAR0	M	2	iy	r_iy_dcl
JAR0	M	2	iy	r_iy_tcl
JAR0	M	2	iy	r_iy_z
JAR0	M	2	iy	n_iy_dx
JAR0	M	2	iy	b_iy_kcl
JAR0	M	2	iy	l_iy_q
JAR0	M	2	iy	l_iy_eh
JAR0	M	2	iy	er_iy_ow
JAR0	M	2	iy	l_iy_ay
JAR0	M	2	iy	dh_iy_ae
JAR0	M	2	ae	nx_ae_s
JAR0	M	2	ae	r_ae_gcl
JAR0	M	2	ae	dh_ae_tcl
JAR0	M	2	ae	iy_ae_pcl
JAR0	M	2	ae	l_ae_kcl
JAR0	M	2	ae	iy_ae_n
JAR0	M	2	aa	d_aa_r
JAR0	M	2	aa	w_aa_sh
JAR0	M	2	aa	f_aa_l
JAR0	M	2	aa	k_aa_s
JAR0	M	2	b	ih_bcl_b
JAR0	M	2	b	bcl_b_l
JAR0	M	2	b	ix_bcl_b
JAR0	M	2	b	bcl_b_iy
JAR0	M	2	d	eh_dcl_d
JAR0	M	2	d	dcl_d_y
JAR0	M	2	d	axr_dcl_d
JAR0	M	2	d	dcl_d_aa
JAR0	M	2	d	ao_dx_axr
JAR0	M	2	d	h#_d_ow
JAR0	M	2	d	iy_dx_ix
JAR0	M	2	d	kcl_dh_ae
JAR0	M	2	d	iy_dx_er
JAR0	M	2	d	sh_dh_iy
JAR0	M	2	d	n_dh_ih
JAR0	M	2	d	pau_d_r
JAR0	M	2	d	n_dh_eh
JAR0	M	2	d	z_dh_iy
JAR0	M	2	d	ix_dx_ih
JAR0	M	2	d	ih_dcl_q
JAR0	M	2	d	er_dh_er
JAR0	M	2	d	iy_dcl_jh
JAR0	M	2	d	iy_dcl_z
JAR0	M	2	d	iy_dx_ih
JAR0	M	2	d	ay_dx_ax
JAR0	M	2	d	s_dh_ax
JAR0	M	2	d	m_dh_iy
JAR0	M	2	g	n_gcl_g
JAR0	M	2	g	gcl_g_r
JAR0	M	2	g	ae_gcl_g
JAR0	M	2	g	gcl_g_l
JAR0	M	2	g	kcl_g_l
JAR0	M	2	g	ix_gcl_g
JAR0	M	2	g	gcl_g_ix
JAR0	M	2	g	h#_g_eh
JAR0	M	2	p	sh_epi_w
JAR0	M	2	p	s_epi_m
JAR0	M	2	p	ih_pcl_h#
JAR0	M	2	p	h#_p_ow
JAR0	M	2	p	ae_pcl_p
JAR0	M	2	p	pcl_p_el
JAR0	M	2	p	ah_pcl_p
JAR0	M	2	p	pcl_p_f
JAR0	M	2	p	s_pau_d
JAR0	M	2	p	s_pcl_p
JAR0	M	2	p	pcl_p_eh
JAR0	M	2	p	z_pcl_p
JAR0	M	2	p	pcl_p_r
JAR0	M	2	p	jh_pau_hh
JAR0	M	2	p	m_pcl_p
JAR0	M	2	p	pcl_p_l
JAR0	M	2	t	ux_tcl_q
JAR0	M	2	t	ae_tcl_h#
JAR0	M	2	t	s_tcl_t
JAR0	M	2	t	tcl_t_r
JAR0	M	2	t	ow_tcl_sh
JAR0	M	2	t	axr_tcl_t
JAR0	M	2	t	tcl_t_w
JAR0	M	2	t	ih_tcl_t
JAR0	M	2	t	tcl_t_s
JAR0	M	2	t	ao_th_axr
JAR0	M	2	t	n_tcl_s
JAR0	M	2	t	n_tcl_h#
JAR0	M	2	t	h#_t_ix
JAR0	M	2	t	s_tcl_t
JAR0	M	2	t	tcl_t_iy
JAR0	M	2	t	s_tcl_t
JAR0	M	2	t	tcl_t_r
JAR0	M	2	t	iy_tcl_jh
JAR0	M	2	t	s_tcl_t
JAR0	M	2	t	tcl_t_ax
JAR0	M	2	t	z_tcl_t
JAR0	M	2	t	tcl_t_ix
JAR0	M	2	t	n_tcl_h#
JAR0	M	2	k	r_kcl_k
JAR0	M	2	k	kcl_k_s
JAR0	M	2	k	ix_kcl_k
JAR0	M	2	k	kcl_k_ih
JAR0	M	2	k	ay_kcl_dh
JAR0	M	2	k	ay_kcl_k
JAR0	M	2	k	kcl_k_y
JAR0	M	2	k	iy_kcl_k
JAR0	M	2	k	kcl_k_n
JAR0	M	2	k	n_kcl_k
JAR0	M	2	k	kcl_k_uw
JAR0	M	2	k	ix_kcl_k
JAR0	M	2	k	kcl_k_s
JAR0	M	2	k	ax_kcl_k
JAR0	M	2	k	kcl_k_aw
JAR0	M	2	k	ix_kcl_k
JAR0	M	2	k	kcl_k_ey
JAR0	M	2	k	z_kcl_k
JAR0	M	2	k	kcl_k_aa
JAR0	M	2	k	ae_kcl_g
JAR0	M	2	k	iy_kcl_k
JAR0	M	2	k	kcl_k_ax
JAR0	M	2	k	ax_kcl_k
JAR0	M	2	k	kcl_k_w
JAR0	M	2	s	h#_sh_iy
JAR0	M	2	s	k_s_ux
JAR0	M	2	s	iy_s_iy
JAR0	M	2	s	aa_sh_epi
JAR0	M	2	s	ae_s_epi
JAR0	M	2	s	ix_s_tcl
JAR0	M	2	s	ih_s_ax
JAR0	M	2	s	er_sh_ih
JAR0	M	2	s	tcl_sh_dh
JAR0	M	2	s	ih_s_er
JAR0	M	2	s	t_s_pau
JAR0	M	2	s	k_s_pcl
JAR0	M	2	s	tcl_s_ax
JAR0	M	2	s	ix_s_tcl
JAR0	M	2	s	l_s_tcl
JAR0	M	2	s	aa_s_tcl
JAR0	M	2	s	axr_s_ih
JAR0	M	2	s	m_s_h#
JAR0	M	2	s	eh_s_dh
JAR0	M	2	s	eh_sh_ix
JAR0	M	2	s	n_s_er
JAR0	M	2	z	aw_z_ix
JAR0	M	2	z	el_z_ax
JAR0	M	2	z	ay_z_dh
JAR0	M	2	z	ih_z_pcl
JAR0	M	2	z	ey_zh_en
JAR0	M	2	z	dcl_z_ax
JAR0	M	2	z	iy_z_kcl
JAR0	M	2	z	v_z_tcl
JAR0	M	2	sh	h#_sh_iy
JAR0	M	2	sh	aa_sh_epi
JAR0	M	2	sh	er_sh_ih
JAR0	M	2	sh	tcl_sh_dh
JAR0	M	2	sh	eh_sh_ix
JAR0	M	2	dh	kcl_dh_ae
JAR0	M	2	dh	sh_dh_iy
JAR0	M	2	dh	n_dh_ih
JAR0	M	2	dh	n_dh_eh
JAR0	M	2	dh	z_dh_iy
JAR0	M	2	dh	er_dh_er
JAR0	M	2	dh	s_dh_ax
JAR0	M	2	dh	m_dh_iy
JAR0	M	2	f	uw_f_aa
JAR0	M	2	f	axr_f_eh
JAR0	M	2	f	p_f_axr
JAR0	M	2	f	ix_f_er
JAR0	M	2	f	n_f_ah
JAR0	M	2	v	iy_hv_eh
JAR0	M	2	v	l_v_m
JAR0	M	2	v	m_hv_ix
JAR0	M	2	v	er_hv_ih
JAR0	M	2	v	ah_v_z
JAR0	M	2	v	ow_v_axr
JAR0	M	2	jh	dcl_jh_pau
JAR0	M	2	jh	tcl_jh_er
