ID	Sex	DR	Vowel	Context
JDM0	M	5	iy	sh_iy_hv
JDM0	M	5	iy	r_iy_s
JDM0	M	5	iy	s_iy_w
JDM0	M	5	iy	m_iy_tcl
JDM0	M	5	iy	r_iy_ix
JDM0	M	5	iy	l_iy_r
JDM0	M	5	iy	p_iy_z
JDM0	M	5	iy	dh_iy_hv
JDM0	M	5	iy	w_iy_w
JDM0	M	5	iy	n_iy_ow
JDM0	M	5	iy	r_iy_l
JDM0	M	5	iy	l_iy_h#
JDM0	M	5	iy	n_iy_w
JDM0	M	5	iy	th_iy_tcl
JDM0	M	5	iy	dh_iy_ae
JDM0	M	5	iy	dx_iy_s
JDM0	M	5	iy	l_iy_gcl
JDM0	M	5	ae	hv_ae_dcl
JDM0	M	5	ae	nx_ae_s
JDM0	M	5	ae	r_ae_gcl
JDM0	M	5	ae	dh_ae_tcl
JDM0	M	5	ae	pau_ae_kcl
JDM0	M	5	ae	l_ae_m
JDM0	M	5	ae	b_ae_l
JDM0	M	5	ae	l_ae_s
JDM0	M	5	ae	q_ae_n
JDM0	M	5	ae	iy_ae_dcl
JDM0	M	5	aa	d_aa_r
JDM0	M	5	aa	w_aa_sh
JDM0	M	5	aa	sh_aa_kcl
JDM0	M	5	aa	k_aa_l
JDM0	M	5	aa	w_aa_l
JDM0	M	5	aa	y_aa_tcl
JDM0	M	5	uh	y_uh_r
JDM0	M	5	uh	g_uh_dcl
JDM0	M	5	b	k_bcl_b
JDM0	M	5	b	bcl_b_ae
JDM0	M	5	b	n_bcl_b
JDM0	M	5	b	bcl_b_ao
JDM0	M	5	b	tcl_b_ow
JDM0	M	5	d	ae_dcl_y
JDM0	M	5	d	r_dcl_d
JDM0	M	5	d	dcl_d_aa
JDM0	M	5	d	ah_dx_axr
JDM0	M	5	d	h#_d_ow
JDM0	M	5	d	kcl_dh_ae
JDM0	M	5	d	h#_dh_ix
JDM0	M	5	d	n_dh_iy
JDM0	M	5	d	h#_dh_ih
JDM0	M	5	d	uh_dcl_m
JDM0	M	5	d	h#_dh_eh
JDM0	M	5	d	h#_dh_ix
JDM0	M	5	d	axr_dcl_d
JDM0	M	5	d	dcl_d_ih
JDM0	M	5	d	axr_dcl_d
JDM0	M	5	d	dcl_d_w
JDM0	M	5	d	ax_dcl_d
JDM0	M	5	d	dcl_d_eh
JDM0	M	5	d	er_dcl_jh
JDM0	M	5	d	jh_dcl_d
JDM0	M	5	d	dcl_d_eh
JDM0	M	5	d	n_dcl_d
JDM0	M	5	d	dcl_d_ix
JDM0	M	5	d	h#_dh_iy
JDM0	M	5	d	ae_dcl_v
JDM0	M	5	d	ay_dx_iy
JDM0	M	5	d	n_dcl_jh
JDM0	M	5	d	tcl_d_ey
JDM0	M	5	g	en_gcl_g
JDM0	M	5	g	gcl_g_r
JDM0	M	5	g	ae_gcl_g
JDM0	M	5	g	gcl_g_l
JDM0	M	5	g	ao_gcl_g
JDM0	M	5	g	gcl_g_uh
JDM0	M	5	g	ix_gcl_g
JDM0	M	5	g	gcl_g_ih
JDM0	M	5	g	ey_eng_q
JDM0	M	5	g	ix_ng_v
JDM0	M	5	g	iy_gcl_ix
JDM0	M	5	p	sh_epi_w
JDM0	M	5	p	er_pcl_p
JDM0	M	5	p	pcl_p_iy
JDM0	M	5	p	z_pau_ae
JDM0	M	5	p	z_epi_ao
JDM0	M	5	p	ay_pcl_p
JDM0	M	5	p	pcl_p_ow
JDM0	M	5	p	ax-h_pcl_p
JDM0	M	5	p	pcl_p_ih
JDM0	M	5	p	s_pcl_p
JDM0	M	5	p	pcl_p_l
JDM0	M	5	p	v_pcl_p
JDM0	M	5	p	pcl_p_l
JDM0	M	5	p	ax-h_pcl_p
JDM0	M	5	p	pcl_p_ow
JDM0	M	5	p	t_pau_ax-h
JDM0	M	5	t	iy_tcl_t
JDM0	M	5	t	tcl_t_ix
JDM0	M	5	t	ae_tcl_t
JDM0	M	5	t	tcl_t_h#
JDM0	M	5	t	kcl_th_eh
JDM0	M	5	t	kcl_t_l
JDM0	M	5	t	ow_th_ax
JDM0	M	5	t	n_tcl_s
JDM0	M	5	t	n_tcl_r
JDM0	M	5	t	axr_tcl_t
JDM0	M	5	t	tcl_t_ux
JDM0	M	5	t	el_tcl_t
JDM0	M	5	t	tcl_t_w
JDM0	M	5	t	z_tcl_t
JDM0	M	5	t	tcl_t_ix
JDM0	M	5	t	n_tcl_t
JDM0	M	5	t	tcl_t_axr
JDM0	M	5	t	l_th_iy
JDM0	M	5	t	iy_tcl_t
JDM0	M	5	t	tcl_t_ay
JDM0	M	5	t	ao_tcl_b
JDM0	M	5	t	ow_th_ix
JDM0	M	5	t	aa_tcl_q
JDM0	M	5	t	axr_tcl_t
JDM0	M	5	t	tcl_t_ay
JDM0	M	5	t	ax_th_v
JDM0	M	5	t	s_tcl_t
JDM0	M	5	t	tcl_t_ao
JDM0	M	5	t	axr_tcl_ch
JDM0	M	5	t	ih_tcl_s
JDM0	M	5	t	l_tcl_t
JDM0	M	5	t	tcl_t_ax-h
JDM0	M	5	t	s_tcl_d
JDM0	M	5	t	ey_tcl_t
JDM0	M	5	t	tcl_t_pau
JDM0	M	5	t	ax-h_tcl_ch
JDM0	M	5	k	r_k_s
JDM0	M	5	k	s_kcl_k
JDM0	M	5	k	kcl_k_m
JDM0	M	5	k	ix_kcl_k
JDM0	M	5	k	kcl_k_eh
JDM0	M	5	k	ay_kcl_dh
JDM0	M	5	k	aa_kcl_th
JDM0	M	5	k	ae_kcl_t
JDM0	M	5	k	ay_kcl_k
JDM0	M	5	k	kcl_k_w
JDM0	M	5	k	ih_kcl_k
JDM0	M	5	k	kcl_k_bcl
JDM0	M	5	k	ow_kcl_k
JDM0	M	5	k	kcl_k_l
JDM0	M	5	k	ix_kcl_s
JDM0	M	5	k	s_kcl_k
JDM0	M	5	k	kcl_k_aa
JDM0	M	5	k	ax_kcl_k
JDM0	M	5	k	kcl_k_el
JDM0	M	5	k	ay_kcl_k
JDM0	M	5	k	kcl_k_ux
JDM0	M	5	k	s_kcl_k
JDM0	M	5	k	kcl_k_ux
JDM0	M	5	k	eh_kcl_k
JDM0	M	5	k	kcl_k_h#
JDM0	M	5	s	h#_sh_iy
JDM0	M	5	s	k_s_ux
JDM0	M	5	s	iy_s_iy
JDM0	M	5	s	aa_sh_epi
JDM0	M	5	s	ae_s_kcl
JDM0	M	5	s	ix_sh_aa
JDM0	M	5	s	tcl_s_h#
JDM0	M	5	s	ae_s_ix
JDM0	M	5	s	kcl_s_kcl
JDM0	M	5	s	ih_s_ax-h
JDM0	M	5	s	l_s_er
JDM0	M	5	s	n_sh_ix
JDM0	M	5	s	n_s_h#
JDM0	M	5	s	n_s_pcl
JDM0	M	5	s	ix_s_kcl
JDM0	M	5	s	er_s_ax
JDM0	M	5	s	iy_s_tcl
JDM0	M	5	s	ix_s_h#
JDM0	M	5	s	tcl_s_ix
JDM0	M	5	s	ow_s_tcl
JDM0	M	5	z	iy_z_pau
JDM0	M	5	z	ay_z_epi
JDM0	M	5	z	n_z_tcl
JDM0	M	5	z	ay_z_ix
JDM0	M	5	sh	h#_sh_iy
JDM0	M	5	sh	aa_sh_epi
JDM0	M	5	sh	ix_sh_aa
JDM0	M	5	sh	n_sh_ix
JDM0	M	5	dh	kcl_dh_ae
JDM0	M	5	dh	h#_dh_ix
JDM0	M	5	dh	n_dh_iy
JDM0	M	5	dh	h#_dh_ih
JDM0	M	5	dh	h#_dh_eh
JDM0	M	5	dh	h#_dh_ix
JDM0	M	5	dh	h#_dh_iy
JDM0	M	5	f	ao_f_ix
JDM0	M	5	f	axr_f_r
JDM0	M	5	v	iy_hv_ae
JDM0	M	5	v	iy_hv_ay
JDM0	M	5	v	er_v_ey
JDM0	M	5	v	dcl_v_axr
JDM0	M	5	v	ng_v_er
JDM0	M	5	v	ax_v_pcl
JDM0	M	5	v	th_v_axr
JDM0	M	5	v	eh_v_axr
JDM0	M	5	jh	dcl_jh_dcl
JDM0	M	5	jh	dcl_jh_ix
JDM0	M	5	ch	tcl_ch_ey
JDM0	M	5	ch	tcl_ch_eh
