ID	Sex	DR	Vowel	Context
JEE0	M	4	iy	sh_iy_hv
JEE0	M	4	iy	r_iy_z
JEE0	M	4	iy	z_iy_w
JEE0	M	4	iy	m_iy_dx
JEE0	M	4	iy	dx_iy_kcl
JEE0	M	4	iy	r_iy_ix
JEE0	M	4	iy	l_iy_r
JEE0	M	4	iy	w_iy_m
JEE0	M	4	iy	axr_iy_pau
JEE0	M	4	iy	r_iy_m
JEE0	M	4	iy	w_iy_z
JEE0	M	4	iy	r_iy_kcl
JEE0	M	4	iy	n_iy_dcl
JEE0	M	4	iy	r_iy_pcl
JEE0	M	4	iy	t_iy_pcl
JEE0	M	4	iy	r_iy_s
JEE0	M	4	ae	hv_ae_dcl
JEE0	M	4	ae	nx_ae_s
JEE0	M	4	ae	r_ae_gcl
JEE0	M	4	ae	dh_ae_tcl
JEE0	M	4	ae	l_ae_s
JEE0	M	4	ae	gcl_ae_n
JEE0	M	4	ae	ey_ae_sh
JEE0	M	4	ae	b_ae_n
JEE0	M	4	ae	k_ae_bcl
JEE0	M	4	ae	l_ae_s
JEE0	M	4	ae	g_ae_sh
JEE0	M	4	aa	d_aa_r
JEE0	M	4	aa	d_aa_r
JEE0	M	4	aa	s_aa_l
JEE0	M	4	aa	v_aa_nx
JEE0	M	4	aa	b_aa_bcl
JEE0	M	4	aa	d_aa_kcl
JEE0	M	4	b	s_bcl_b
JEE0	M	4	b	bcl_b_ix
JEE0	M	4	b	ey_bcl_el
JEE0	M	4	b	h#_b_aa
JEE0	M	4	b	aa_bcl_b
JEE0	M	4	b	bcl_b_ae
JEE0	M	4	b	dcl_b_ow
JEE0	M	4	b	ae_bcl_n
JEE0	M	4	d	ae_dcl_jh
JEE0	M	4	d	axr_dcl_d
JEE0	M	4	d	dcl_d_aa
JEE0	M	4	d	ux_dx_ix
JEE0	M	4	d	ao_dx_axr
JEE0	M	4	d	h#_d_ow
JEE0	M	4	d	iy_dx_iy
JEE0	M	4	d	kcl_dh_ae
JEE0	M	4	d	s_dh_eh
JEE0	M	4	d	tcl_dh_ey
JEE0	M	4	d	h#_dh_eh
JEE0	M	4	d	tcl_dh_ix
JEE0	M	4	d	ix_dcl_d
JEE0	M	4	d	dcl_d_aa
JEE0	M	4	d	ix_dcl_d
JEE0	M	4	d	dcl_d_ax-h
JEE0	M	4	d	v_dh_ax
JEE0	M	4	d	h#_dh_ix
JEE0	M	4	d	en_dh_ix
JEE0	M	4	d	ow_dx_ao
JEE0	M	4	d	ix_dh_ax
JEE0	M	4	d	n_d_ix
JEE0	M	4	d	ix_dcl_jh
JEE0	M	4	d	jh_dcl_b
JEE0	M	4	d	ax_dcl_d
JEE0	M	4	d	dcl_d_aa
JEE0	M	4	d	iy_dcl_d
JEE0	M	4	d	dcl_d_z
JEE0	M	4	d	r_dx_ix
JEE0	M	4	d	ix_dcl_jh
JEE0	M	4	g	n_g_r
JEE0	M	4	g	ae_gcl_l
JEE0	M	4	g	ah_ng_h#
JEE0	M	4	g	ix_gcl_ae
JEE0	M	4	g	ih_gcl_er
JEE0	M	4	g	z_gcl_g
JEE0	M	4	g	gcl_g_ae
JEE0	M	4	p	sh_epi_w
JEE0	M	4	p	iy_pau_t
JEE0	M	4	p	s_pcl_p
JEE0	M	4	p	pcl_p_l
JEE0	M	4	p	ix_pcl_p
JEE0	M	4	p	pcl_p_eh
JEE0	M	4	p	iy_pcl_p
JEE0	M	4	p	pcl_p_ey
JEE0	M	4	p	en_pau_q
JEE0	M	4	p	iy_pcl_p
JEE0	M	4	p	pcl_p_pcl
JEE0	M	4	p	p_pcl_p
JEE0	M	4	p	pcl_p_r
JEE0	M	4	t	ae_tcl_h#
JEE0	M	4	t	r_tcl_ch
JEE0	M	4	t	ih_tcl_t
JEE0	M	4	t	tcl_t_s
JEE0	M	4	t	eh_tcl_dh
JEE0	M	4	t	s_tcl_dh
JEE0	M	4	t	n_tcl_t
JEE0	M	4	t	tcl_t_ix
JEE0	M	4	t	pau_t_er
