ID	Sex	DR	Vowel	Context
JLG0	F	3	iy	sh_iy_hv
JLG0	F	3	iy	r_iy_s
JLG0	F	3	iy	s_iy_w
JLG0	F	3	iy	m_iy_dx
JLG0	F	3	iy	r_iy_ix
JLG0	F	3	iy	l_iy_r
JLG0	F	3	iy	er_iy_ix
JLG0	F	3	iy	l_iy_pau
JLG0	F	3	iy	r_iy_m
JLG0	F	3	iy	b_iy_hv
JLG0	F	3	iy	w_iy_kcl
JLG0	F	3	iy	l_iy_s
JLG0	F	3	iy	s_iy_dh
JLG0	F	3	iy	f_iy_y
JLG0	F	3	iy	er_iy_z
JLG0	F	3	iy	r_iy_kcl
JLG0	F	3	iy	l_iy_h#
JLG0	F	3	iy	r_iy_pcl
JLG0	F	3	iy	er_iy_h#
JLG0	F	3	ae	hv_ae_dcl
JLG0	F	3	ae	n_ae_s
JLG0	F	3	ae	r_ae_gcl
JLG0	F	3	ae	dh_ae_tcl
JLG0	F	3	ae	l_ae_kcl
JLG0	F	3	ae	m_ae_m
JLG0	F	3	ae	r_ae_l
JLG0	F	3	ae	n_ae_pcl
JLG0	F	3	aa	d_aa_r
JLG0	F	3	aa	f_aa_r
JLG0	F	3	aa	hh_aa_r
JLG0	F	3	uh	k_uh_dcl
JLG0	F	3	b	ng_bcl_b
JLG0	F	3	b	bcl_b_l
JLG0	F	3	b	tcl_b_iy
JLG0	F	3	b	dcl_b_eh
JLG0	F	3	b	ey_bcl_b
JLG0	F	3	b	bcl_b_r
JLG0	F	3	d	ae_dcl_jh
JLG0	F	3	d	axr_dcl_d
JLG0	F	3	d	dcl_d_aa
JLG0	F	3	d	ao_dx_axr
JLG0	F	3	d	h#_d_ow
JLG0	F	3	d	iy_dx_ix
JLG0	F	3	d	kcl_dh_ae
JLG0	F	3	d	h#_dh_ey
JLG0	F	3	d	m_dcl_d
JLG0	F	3	d	dcl_d_aw
JLG0	F	3	d	n_dcl_d
JLG0	F	3	d	dcl_d_ix
JLG0	F	3	d	uh_dcl_b
JLG0	F	3	d	iy_dh_ax
JLG0	F	3	d	r_dcl_s
JLG0	F	3	d	ux_dh_ax
JLG0	F	3	d	h#_d_ux
JLG0	F	3	d	h#_dh_ax
JLG0	F	3	d	kcl_d_aw
JLG0	F	3	d	axr_dcl_d
JLG0	F	3	d	dcl_d_r
JLG0	F	3	d	eh_dcl_s
JLG0	F	3	d	axr_dcl_d
JLG0	F	3	d	dcl_d_ih
JLG0	F	3	d	r_dcl_t
JLG0	F	3	d	ih_dcl_jh
JLG0	F	3	d	r_dcl_jh
JLG0	F	3	g	n_gcl_g
JLG0	F	3	g	gcl_g_r
JLG0	F	3	g	ae_gcl_l
JLG0	F	3	g	ih_ng_hv
JLG0	F	3	g	eh_gcl_g
JLG0	F	3	g	gcl_g_z
JLG0	F	3	g	ao_ng_bcl
JLG0	F	3	g	z_gcl_g
JLG0	F	3	g	gcl_g_r
JLG0	F	3	p	t_pau_ix
JLG0	F	3	p	sh_epi_w
JLG0	F	3	p	axr_pcl_p
JLG0	F	3	p	pcl_p_axr
JLG0	F	3	p	z_pcl_p
JLG0	F	3	p	pcl_p_ah
JLG0	F	3	p	m_p_tcl
JLG0	F	3	p	s_epi_l
JLG0	F	3	p	iy_pau_hh
JLG0	F	3	p	s_epi_m
JLG0	F	3	p	s_epi_n
JLG0	F	3	p	ih_pcl_p
JLG0	F	3	p	pcl_p_ix
JLG0	F	3	p	f_pcl_p
JLG0	F	3	p	pcl_p_r
JLG0	F	3	p	iy_pcl_p
JLG0	F	3	p	pcl_p_eh
JLG0	F	3	p	s_epi_n
JLG0	F	3	p	ae_pcl_p
JLG0	F	3	p	pcl_p_axr
JLG0	F	3	t	ux_tcl_t
JLG0	F	3	t	tcl_t_pau
JLG0	F	3	t	ae_tcl_t
JLG0	F	3	t	tcl_t_h#
JLG0	F	3	t	p_tcl_t
JLG0	F	3	t	tcl_t_f
JLG0	F	3	t	s_tcl_t
JLG0	F	3	t	tcl_t_r
JLG0	F	3	t	aw_tcl_b
JLG0	F	3	t	ih_tcl_t
JLG0	F	3	t	tcl_t_sh
JLG0	F	3	t	s_th_r
JLG0	F	3	t	ey_tcl_t
JLG0	F	3	t	tcl_t_ih
JLG0	F	3	t	ow_tcl_t
JLG0	F	3	t	tcl_t_s
JLG0	F	3	t	s_tcl_t
JLG0	F	3	t	tcl_t_ah
JLG0	F	3	t	n_tcl_l
JLG0	F	3	t	ix_th_f
JLG0	F	3	t	ih_tcl_s
JLG0	F	3	t	dcl_t_ix
JLG0	F	3	t	ix_tcl_t
JLG0	F	3	t	tcl_t_eh
JLG0	F	3	k	r_kcl_k
JLG0	F	3	k	kcl_k_s
JLG0	F	3	k	s_kcl_m
JLG0	F	3	k	ix_kcl_k
JLG0	F	3	k	kcl_k_eh
JLG0	F	3	k	ay_kcl_dh
JLG0	F	3	k	ae_kcl_k
JLG0	F	3	k	kcl_k_hh
JLG0	F	3	k	iy_kcl_k
JLG0	F	3	k	kcl_k_uh
JLG0	F	3	k	ix_kcl_k
JLG0	F	3	k	kcl_k_el
JLG0	F	3	k	ey_kcl_d
JLG0	F	3	k	iy_kcl_k
JLG0	F	3	k	kcl_k_w
JLG0	F	3	s	h#_sh_iy
JLG0	F	3	s	k_s_ux
JLG0	F	3	s	iy_s_iy
JLG0	F	3	s	ao_sh_epi
JLG0	F	3	s	ae_s_kcl
JLG0	F	3	s	axr_s_uw
JLG0	F	3	s	ix_s_epi
JLG0	F	3	s	axr_s_tcl
JLG0	F	3	s	eh_s_epi
JLG0	F	3	s	t_sh_er
JLG0	F	3	s	ah_s_h#
JLG0	F	3	s	iy_s_iy
JLG0	F	3	s	dcl_s_th
JLG0	F	3	s	ax_s_epi
JLG0	F	3	s	t_s_h#
JLG0	F	3	s	ax_s_ih
JLG0	F	3	s	ih_s_tcl
JLG0	F	3	s	n_s_ux
JLG0	F	3	s	n_s_ax
JLG0	F	3	s	ax_s_ey
JLG0	F	3	s	dcl_s_epi
JLG0	F	3	s	eh_sh_l
JLG0	F	3	s	n_s_ao
JLG0	F	3	s	ao_s_f
JLG0	F	3	s	tcl_s_hh
JLG0	F	3	z	ix_z_l
JLG0	F	3	z	g_z_pcl
JLG0	F	3	z	ix_z_l
JLG0	F	3	z	iy_z_h#
JLG0	F	3	z	axr_z_gcl
JLG0	F	3	z	l_z_f
JLG0	F	3	sh	h#_sh_iy
JLG0	F	3	sh	ao_sh_epi
JLG0	F	3	sh	t_sh_er
JLG0	F	3	sh	eh_sh_l
JLG0	F	3	dh	kcl_dh_ae
JLG0	F	3	dh	h#_dh_ey
JLG0	F	3	dh	iy_dh_ax
JLG0	F	3	dh	ux_dh_ax
JLG0	F	3	dh	h#_dh_ax
JLG0	F	3	f	t_f_y
JLG0	F	3	f	ax_f_iy
JLG0	F	3	f	ow_f_l
JLG0	F	3	f	el_f_aa
JLG0	F	3	f	axr_f_ay
JLG0	F	3	f	z_f_r
JLG0	F	3	f	l_f_pcl
JLG0	F	3	f	th_f_r
JLG0	F	3	f	s_f_axr
JLG0	F	3	f	el_f_r
JLG0	F	3	f	ax_f_ao
JLG0	F	3	v	iy_hv_ae
JLG0	F	3	v	ng_hv_eh
JLG0	F	3	v	iy_hv_ay
JLG0	F	3	v	ey_v_y
JLG0	F	3	jh	dcl_jh_axr
JLG0	F	3	jh	dcl_jh_en
JLG0	F	3	jh	dcl_jh_er
