ID	Sex	DR	Vowel	Context
JLR0	F	3	iy	sh_iy_hv
JLR0	F	3	iy	r_iy_s
JLR0	F	3	iy	s_iy_w
JLR0	F	3	iy	m_iy_tcl
JLR0	F	3	iy	r_iy_ix
JLR0	F	3	iy	l_iy_r
JLR0	F	3	iy	n_iy_dcl
JLR0	F	3	iy	l_iy_pcl
JLR0	F	3	iy	l_iy_tcl
JLR0	F	3	iy	r_iy_v
JLR0	F	3	iy	v_iy_ix
JLR0	F	3	iy	p_iy_kcl
JLR0	F	3	iy	t_iy_tcl
JLR0	F	3	iy	ch_iy_tcl
JLR0	F	3	iy	t_iy_ng
JLR0	F	3	ae	hv_ae_dcl
JLR0	F	3	ae	q_ae_s
JLR0	F	3	ae	r_ae_gcl
JLR0	F	3	ae	dh_ae_tcl
JLR0	F	3	ae	m_ae_dx
JLR0	F	3	ae	dh_ae_dx
JLR0	F	3	ae	d_ae_m
JLR0	F	3	ae	r_ae_gcl
JLR0	F	3	ae	v_ae_y
JLR0	F	3	ae	m_ae_n
JLR0	F	3	aa	d_aa_r
JLR0	F	3	aa	r_aa_n
JLR0	F	3	aa	n_aa_tcl
JLR0	F	3	aa	n_aa_v
JLR0	F	3	aa	k_aa_n
JLR0	F	3	aa	p_aa_r
JLR0	F	3	aa	b_aa_l
JLR0	F	3	aa	ch_aa_kcl
JLR0	F	3	b	pau_b_ax
JLR0	F	3	b	h#_b_ah
JLR0	F	3	b	m_bcl_b
JLR0	F	3	b	bcl_b_ih
JLR0	F	3	b	m_bcl_b
JLR0	F	3	b	bcl_b_axr
JLR0	F	3	b	ix_bcl_b
JLR0	F	3	b	bcl_b_ih
JLR0	F	3	b	ax_bcl_b
JLR0	F	3	b	bcl_b_aa
JLR0	F	3	d	ae_dcl_d
JLR0	F	3	d	dcl_d_y
JLR0	F	3	d	axr_dcl_d
JLR0	F	3	d	dcl_d_aa
JLR0	F	3	d	ao_dx_er
JLR0	F	3	d	h#_d_ow
JLR0	F	3	d	kcl_dh_ae
JLR0	F	3	d	n_dh_eh
JLR0	F	3	d	tcl_dh_ix
JLR0	F	3	d	ix_dcl_d
JLR0	F	3	d	dcl_d_er
JLR0	F	3	d	ae_dx_ix
JLR0	F	3	d	tcl_dh_ix
JLR0	F	3	d	ay_dcl_d
JLR0	F	3	d	dcl_d_r
JLR0	F	3	d	iy_dcl_s
JLR0	F	3	d	tcl_dh_ae
JLR0	F	3	d	ae_dx_eh
JLR0	F	3	d	h#_dh_ix
JLR0	F	3	d	ix_dcl_d
JLR0	F	3	d	dcl_d_ae
JLR0	F	3	d	h#_dh_ax
JLR0	F	3	d	ux_dcl_jh
JLR0	F	3	d	h#_dh_ix
JLR0	F	3	d	gcl_d_ao
JLR0	F	3	d	v_dcl_t
JLR0	F	3	d	n_dh_ax
JLR0	F	3	d	l_dcl_d
JLR0	F	3	d	dcl_d_epi
JLR0	F	3	d	gcl_d_ao
JLR0	F	3	d	h#_dh_ow
JLR0	F	3	g	ix_ng_gcl
JLR0	F	3	g	ng_gcl_g
JLR0	F	3	g	gcl_g_r
JLR0	F	3	g	ae_gcl_g
JLR0	F	3	g	gcl_g_l
JLR0	F	3	g	ih_gcl_g
JLR0	F	3	g	gcl_g_y
JLR0	F	3	g	ih_gcl_d
JLR0	F	3	g	ao_gcl_g
JLR0	F	3	g	gcl_g_l
JLR0	F	3	g	ae_gcl_d
JLR0	F	3	g	iy_ng_h#
JLR0	F	3	g	kcl_g_ih
JLR0	F	3	p	sh_epi_w
JLR0	F	3	p	kcl_p_ow
JLR0	F	3	p	s_pau_b
JLR0	F	3	p	ix_pcl_p
JLR0	F	3	p	pcl_p_r
JLR0	F	3	p	z_epi_n
JLR0	F	3	p	s_epi_n
JLR0	F	3	p	s_pcl_p
JLR0	F	3	p	pcl_p_l
JLR0	F	3	p	iy_pcl_p
JLR0	F	3	p	pcl_p_aa
JLR0	F	3	p	ix_pcl_p
JLR0	F	3	p	pcl_p_r
JLR0	F	3	p	s_pcl_p
JLR0	F	3	p	pcl_p_iy
JLR0	F	3	p	er_pcl_p
JLR0	F	3	p	pcl_p_r
JLR0	F	3	p	ow_pcl_p
JLR0	F	3	p	pcl_p_ix
JLR0	F	3	p	d_epi_r
JLR0	F	3	p	z_epi_n
JLR0	F	3	t	ux_tcl_t
JLR0	F	3	t	tcl_t_ix
JLR0	F	3	t	n_tcl_t
JLR0	F	3	t	tcl_t_q
JLR0	F	3	t	iy_tcl_t
JLR0	F	3	t	tcl_t_ax-h
JLR0	F	3	t	ae_tcl_t
JLR0	F	3	t	tcl_t_h#
JLR0	F	3	t	aa_tcl_dh
JLR0	F	3	t	ix_tcl_s
JLR0	F	3	t	ax_tcl_dh
JLR0	F	3	t	s_tcl_s
JLR0	F	3	t	ix_tcl_h#
JLR0	F	3	t	ah_tcl_dh
JLR0	F	3	t	iy_tcl_t
JLR0	F	3	t	tcl_t_r
JLR0	F	3	t	l_tcl_s
JLR0	F	3	t	n_tcl_t
JLR0	F	3	t	tcl_t_ux
JLR0	F	3	t	jh_tcl_ch
JLR0	F	3	t	dcl_t_ax-h
JLR0	F	3	t	ax-h_tcl_ch
JLR0	F	3	t	ux_tcl_t
JLR0	F	3	t	tcl_t_iy
JLR0	F	3	t	iy_tcl_ch
JLR0	F	3	t	s_tcl_t
JLR0	F	3	t	tcl_t_ax
JLR0	F	3	t	sh_tcl_ch
JLR0	F	3	t	iy_tcl_t
JLR0	F	3	t	tcl_t_iy
JLR0	F	3	t	ix_tcl_t
JLR0	F	3	t	tcl_t_ix
JLR0	F	3	t	n_tcl_t
JLR0	F	3	t	tcl_t_ix
JLR0	F	3	t	f_tcl_t
JLR0	F	3	t	tcl_t_h#
JLR0	F	3	k	r_kcl_k
JLR0	F	3	k	kcl_k_s
JLR0	F	3	k	s_kcl_m
JLR0	F	3	k	ax-h_kcl_k
JLR0	F	3	k	kcl_k_eh
JLR0	F	3	k	ay_kcl_dh
JLR0	F	3	k	r_kcl_k
JLR0	F	3	k	kcl_k_r
JLR0	F	3	k	ax_kcl_k
JLR0	F	3	k	kcl_k_l
JLR0	F	3	k	ix_kcl_p
JLR0	F	3	k	er_kcl_k
JLR0	F	3	k	kcl_k_aa
JLR0	F	3	k	eh_kcl_k
JLR0	F	3	k	kcl_k_s
JLR0	F	3	k	iy_kcl_k
JLR0	F	3	k	kcl_k_er
JLR0	F	3	k	aa_kcl_k
JLR0	F	3	k	kcl_k_l
JLR0	F	3	k	ix_kcl_g
JLR0	F	3	s	h#_sh_iy
JLR0	F	3	s	k_s_ux
JLR0	F	3	s	iy_s_iy
JLR0	F	3	s	ao_sh_epi
JLR0	F	3	s	ae_s_kcl
JLR0	F	3	s	tcl_s_pau
JLR0	F	3	s	ih_s_tcl
JLR0	F	3	s	tcl_s_h#
JLR0	F	3	s	eh_s_epi
JLR0	F	3	s	dcl_s_ax
JLR0	F	3	s	k_s_pcl
JLR0	F	3	s	ey_sh_ix
JLR0	F	3	s	ix_s_pcl
JLR0	F	3	s	ix_s_r
JLR0	F	3	s	tcl_s_h#
JLR0	F	3	s	er_s_tcl
JLR0	F	3	s	ix_sh_tcl
JLR0	F	3	z	axr_z_ah
JLR0	F	3	z	ow_z_epi
JLR0	F	3	z	ix_z_ow
JLR0	F	3	z	ix_z_eh
JLR0	F	3	z	ix_z_ah
JLR0	F	3	z	n_z_ih
JLR0	F	3	z	ow_z_hh
JLR0	F	3	z	ux_z_f
JLR0	F	3	z	ow_z_ix
JLR0	F	3	z	ix_z_epi
JLR0	F	3	z	eh_z_ax
JLR0	F	3	sh	h#_sh_iy
JLR0	F	3	sh	ao_sh_epi
JLR0	F	3	sh	ey_sh_ix
JLR0	F	3	sh	ix_sh_tcl
JLR0	F	3	dh	kcl_dh_ae
JLR0	F	3	dh	n_dh_eh
JLR0	F	3	dh	tcl_dh_ix
JLR0	F	3	dh	tcl_dh_ix
JLR0	F	3	dh	tcl_dh_ae
JLR0	F	3	dh	h#_dh_ix
JLR0	F	3	dh	h#_dh_ax
JLR0	F	3	dh	h#_dh_ix
JLR0	F	3	dh	n_dh_ax
JLR0	F	3	dh	h#_dh_ow
JLR0	F	3	f	z_f_er
JLR0	F	3	f	axr_f_ey
JLR0	F	3	f	ih_f_tcl
JLR0	F	3	v	iy_hv_ae
JLR0	F	3	v	aa_v_ax
JLR0	F	3	v	iy_v_iy
JLR0	F	3	v	ax_hv_ao
JLR0	F	3	v	ah_v_dcl
JLR0	F	3	v	ch_v_ae
JLR0	F	3	v	eh_v_axr
JLR0	F	3	jh	dcl_jh_tcl
JLR0	F	3	ch	tcl_ch_ey
JLR0	F	3	ch	tcl_ch_ux
JLR0	F	3	ch	tcl_ch_v
JLR0	F	3	ch	tcl_ch_iy
JLR0	F	3	ch	h#_ch_aa
