ID	Sex	DR	Vowel	Context
JRG0	M	5	iy	sh_iy_hv
JRG0	M	5	iy	r_iy_s
JRG0	M	5	iy	s_iy_pau
JRG0	M	5	iy	m_iy_dx
JRG0	M	5	iy	r_iy_ix
JRG0	M	5	iy	l_iy_r
JRG0	M	5	iy	l_iy_pau
JRG0	M	5	iy	s_iy_hv
JRG0	M	5	iy	v_iy_ng
JRG0	M	5	iy	r_iy_hh
JRG0	M	5	iy	r_iy_m
JRG0	M	5	iy	l_iy_f
JRG0	M	5	iy	dx_iy_gcl
JRG0	M	5	iy	b_iy_pcl
JRG0	M	5	iy	b_iy_kcl
JRG0	M	5	iy	l_iy_q
JRG0	M	5	iy	l_iy_q
JRG0	M	5	iy	q_iy_kcl
JRG0	M	5	ae	hv_ae_dcl
JRG0	M	5	ae	n_ae_s
JRG0	M	5	ae	r_ae_gcl
JRG0	M	5	ae	dh_ae_tcl
JRG0	M	5	ae	k_ae_m
JRG0	M	5	ae	t_ae_pcl
JRG0	M	5	ae	r_ae_f
JRG0	M	5	ae	b_ae_kcl
JRG0	M	5	aa	d_aa_r
JRG0	M	5	aa	w_aa_sh
JRG0	M	5	aa	q_aa_r
JRG0	M	5	aa	m_aa_m
JRG0	M	5	aa	n_aa_tcl
JRG0	M	5	aa	v_aa_v
JRG0	M	5	aa	t_aa_m
JRG0	M	5	aa	r_aa_bcl
JRG0	M	5	b	s_bcl_b
JRG0	M	5	b	bcl_b_ae
JRG0	M	5	b	aa_bcl_b
JRG0	M	5	b	bcl_b_em
JRG0	M	5	b	s_bcl_b
JRG0	M	5	b	bcl_b_iy
JRG0	M	5	b	axr_bcl_b
JRG0	M	5	b	bcl_b_iy
JRG0	M	5	d	ae_dcl_d
JRG0	M	5	d	dcl_d_y
JRG0	M	5	d	r_dcl_d
JRG0	M	5	d	dcl_d_aa
JRG0	M	5	d	ao_dx_axr
JRG0	M	5	d	h#_d_ow
JRG0	M	5	d	iy_dx_ix
JRG0	M	5	d	kcl_dh_ae
JRG0	M	5	d	tcl_d_ih
JRG0	M	5	d	ax_dx_axr
JRG0	M	5	d	axr_dcl_d
JRG0	M	5	d	dcl_d_ix
JRG0	M	5	d	ch_dh_ax
JRG0	M	5	d	tcl_dh_ax
JRG0	M	5	d	ax_dh_ax
JRG0	M	5	d	ey_dcl_jh
JRG0	M	5	d	r_dx_iy
JRG0	M	5	d	gcl_dcl_d
JRG0	M	5	d	dcl_d_ix
JRG0	M	5	d	ax_dh_ix
JRG0	M	5	d	n_dcl_d
JRG0	M	5	d	dcl_d_ih
JRG0	M	5	g	en_gcl_g
JRG0	M	5	g	gcl_g_r
JRG0	M	5	g	ae_gcl_g
JRG0	M	5	g	gcl_g_l
JRG0	M	5	g	iy_ng_s
JRG0	M	5	g	ah_ng_ix
JRG0	M	5	g	z_gcl_g
JRG0	M	5	g	gcl_g_eh
