ID	Sex	DR	Vowel	Context
JRH0	M	4	iy	sh_iy_hv
JRH0	M	4	iy	r_iy_s
JRH0	M	4	iy	s_iy_w
JRH0	M	4	iy	m_iy_tcl
JRH0	M	4	iy	er_iy_ix
JRH0	M	4	iy	l_iy_dh
JRH0	M	4	iy	hh_iy_dcl
JRH0	M	4	iy	hh_iy_dcl
JRH0	M	4	iy	r_iy_sh
JRH0	M	4	iy	l_iy_pau
JRH0	M	4	iy	d_iy_s
JRH0	M	4	iy	r_iy_v
JRH0	M	4	iy	v_iy_ey
JRH0	M	4	iy	l_iy_aa
JRH0	M	4	iy	f_iy_z
JRH0	M	4	iy	k_iy_pcl
JRH0	M	4	ae	hv_ae_dcl
JRH0	M	4	ae	nx_ae_s
JRH0	M	4	ae	r_ae_gcl
JRH0	M	4	ae	t_ae_tcl
JRH0	M	4	ae	m_ae_n
JRH0	M	4	ae	l_ae_m
JRH0	M	4	ae	hv_ae_v
JRH0	M	4	ae	s_ae_n
JRH0	M	4	ae	r_ae_kcl
JRH0	M	4	aa	d_aa_r
JRH0	M	4	aa	w_aa_n
JRH0	M	4	aa	ch_aa_r
JRH0	M	4	aa	iy_aa_gcl
JRH0	M	4	aa	m_aa_m
JRH0	M	4	aa	b_aa_bcl
JRH0	M	4	aa	en_aa_r
JRH0	M	4	uh	g_uh_dcl
JRH0	M	4	b	h#_b_ah
JRH0	M	4	b	z_bcl_b
JRH0	M	4	b	bcl_b_eh
JRH0	M	4	b	ax_bcl_b
JRH0	M	4	b	bcl_b_r
JRH0	M	4	b	n_bcl_b
JRH0	M	4	b	bcl_b_ih
JRH0	M	4	b	ih_bcl_l
JRH0	M	4	b	h#_b_aa
JRH0	M	4	b	aa_bcl_f
JRH0	M	4	b	ax_bcl_t
JRH0	M	4	d	ae_dcl_y
JRH0	M	4	d	er_dcl_d
JRH0	M	4	d	dcl_d_aa
JRH0	M	4	d	ao_dx_er
JRH0	M	4	d	h#_d_ow
JRH0	M	4	d	ah_dx_ih
JRH0	M	4	d	ix_dcl_d
JRH0	M	4	d	dcl_d_ax
JRH0	M	4	d	iy_dh_eh
JRH0	M	4	d	pau_d_ih
JRH0	M	4	d	ih_dcl_hh
JRH0	M	4	d	iy_dcl_d
JRH0	M	4	d	dcl_d_ix
JRH0	M	4	d	ay_dcl_hh
JRH0	M	4	d	iy_dcl_d
JRH0	M	4	d	dcl_d_ih
JRH0	M	4	d	ih_dx_ix
JRH0	M	4	d	h#_dh_ix
JRH0	M	4	d	uh_dcl_m
JRH0	M	4	d	r_dx_el
JRH0	M	4	d	el_dcl_d
JRH0	M	4	d	dcl_d_ax
JRH0	M	4	d	ax_dx_ih
JRH0	M	4	d	n_dcl_d
JRH0	M	4	d	dcl_d_iy
JRH0	M	4	d	ay_dx_ix
JRH0	M	4	d	ix_dcl_dh
JRH0	M	4	d	dcl_dh_ax
JRH0	M	4	d	ay_dx_axr
JRH0	M	4	d	pcl_dh_ax
JRH0	M	4	d	ax_dx_er
JRH0	M	4	d	tcl_dh_ix
JRH0	M	4	d	eh_dcl_jh
JRH0	M	4	d	ah_dh_axr
JRH0	M	4	d	ix_dcl_d
JRH0	M	4	d	dcl_d_ih
JRH0	M	4	d	n_dcl_s
JRH0	M	4	g	n_gcl_g
JRH0	M	4	g	gcl_g_r
JRH0	M	4	g	ae_gcl_l
JRH0	M	4	g	ix_gcl_g
JRH0	M	4	g	gcl_g_uh
JRH0	M	4	g	aa_gcl_g
JRH0	M	4	g	gcl_g_axr
JRH0	M	4	g	ah_ng_h#
JRH0	M	4	p	sh_epi_w
JRH0	M	4	p	ix_pcl_p
JRH0	M	4	p	pcl_p_er
JRH0	M	4	p	n_pau_d
JRH0	M	4	p	ax_pcl_p
JRH0	M	4	p	pcl_p_r
JRH0	M	4	p	iy_pau_ix
JRH0	M	4	p	ih_pcl_w
JRH0	M	4	p	z_epi_w
JRH0	M	4	p	iy_pcl_dh
JRH0	M	4	t	ux_tcl_ih
JRH0	M	4	t	iy_tcl_t
JRH0	M	4	t	tcl_t_ix
JRH0	M	4	t	kcl_t_ae
JRH0	M	4	t	ae_tcl_h#
JRH0	M	4	t	ih_tcl_hv
JRH0	M	4	t	n_tcl_ch
JRH0	M	4	t	ax_tcl_t
JRH0	M	4	t	tcl_t_r
JRH0	M	4	t	er_th_hh
JRH0	M	4	t	z_tcl_t
JRH0	M	4	t	tcl_t_ay
JRH0	M	4	t	h#_t_eh
JRH0	M	4	t	ax_th_axr
JRH0	M	4	t	axr_tcl_t
JRH0	M	4	t	tcl_t_ah
JRH0	M	4	t	ix_tcl_dh
JRH0	M	4	t	axr_tcl_t
JRH0	M	4	t	tcl_t_ux
JRH0	M	4	t	ix_tcl_ch
JRH0	M	4	t	bcl_t_r
JRH0	M	4	k	r_kcl_s
JRH0	M	4	k	s_kcl_m
JRH0	M	4	k	ix_kcl_k
JRH0	M	4	k	kcl_k_eh
JRH0	M	4	k	ay_kcl_t
JRH0	M	4	k	ix_kcl_k
JRH0	M	4	k	kcl_k_el
JRH0	M	4	k	z_kcl_k
JRH0	M	4	k	kcl_k_ix
JRH0	M	4	k	h#_k_iy
JRH0	M	4	k	r_kcl_k
JRH0	M	4	k	kcl_k_l
JRH0	M	4	k	v_kcl_k
JRH0	M	4	k	kcl_k_ao
JRH0	M	4	k	ux_kcl_k
JRH0	M	4	k	kcl_k_ix
JRH0	M	4	k	ae_kcl_sh
JRH0	M	4	k	s_kcl_k
JRH0	M	4	k	kcl_k_ih
JRH0	M	4	s	h#_sh_iy
JRH0	M	4	s	kcl_s_ux
JRH0	M	4	s	iy_s_iy
JRH0	M	4	s	r_sh_epi
JRH0	M	4	s	ae_s_kcl
JRH0	M	4	s	ix_s_ay
JRH0	M	4	s	iy_sh_ax
JRH0	M	4	s	iy_s_ay
JRH0	M	4	s	ow_sh_en
JRH0	M	4	s	r_sh_ux
JRH0	M	4	s	ih_sh_s
JRH0	M	4	s	sh_s_ae
JRH0	M	4	s	ih_sh_en
JRH0	M	4	s	n_s_ax
JRH0	M	4	s	kcl_sh_en
JRH0	M	4	s	dcl_s_kcl
JRH0	M	4	z	ix_z_bcl
JRH0	M	4	z	ix_z_ax
JRH0	M	4	z	ax_z_epi
JRH0	M	4	z	ix_z_tcl
JRH0	M	4	z	axr_z_kcl
JRH0	M	4	z	iy_z_h#
JRH0	M	4	z	m_z_q
JRH0	M	4	z	en_z_q
JRH0	M	4	z	l_z_h#
JRH0	M	4	sh	h#_sh_iy
JRH0	M	4	sh	r_sh_epi
JRH0	M	4	sh	iy_sh_ax
JRH0	M	4	sh	ow_sh_en
JRH0	M	4	sh	r_sh_ux
JRH0	M	4	sh	ih_sh_s
JRH0	M	4	sh	ih_sh_en
JRH0	M	4	sh	kcl_sh_en
JRH0	M	4	dh	iy_dh_eh
JRH0	M	4	dh	h#_dh_ix
JRH0	M	4	dh	dcl_dh_ax
JRH0	M	4	dh	pcl_dh_ax
JRH0	M	4	dh	tcl_dh_ix
JRH0	M	4	dh	ah_dh_axr
JRH0	M	4	f	axr_f_iy
JRH0	M	4	f	bcl_f_aw
JRH0	M	4	f	ax_f_ih
JRH0	M	4	v	iy_hv_ae
JRH0	M	4	v	eh_v_r
JRH0	M	4	v	tcl_hv_ix
JRH0	M	4	v	n_hv_y
JRH0	M	4	v	ih_v_l
JRH0	M	4	v	iy_v_iy
JRH0	M	4	v	ah_v_kcl
JRH0	M	4	v	n_hv_ae
JRH0	M	4	v	ae_v_ah
JRH0	M	4	jh	dcl_jh_h#
JRH0	M	4	ch	tcl_ch_aa
JRH0	M	4	ch	tcl_ch_h#
