ID	Sex	DR	Vowel	Context
JSA0	F	5	iy	sh_iy_hv
JSA0	F	5	iy	r_iy_s
JSA0	F	5	iy	s_iy_w
JSA0	F	5	iy	y_iy_axr
JSA0	F	5	iy	m_iy_dx
JSA0	F	5	iy	r_iy_ix
JSA0	F	5	iy	l_iy_r
JSA0	F	5	iy	hh_iy_dcl
JSA0	F	5	iy	l_iy_q
JSA0	F	5	iy	r_iy_m
JSA0	F	5	iy	r_iy_kcl
JSA0	F	5	iy	r_iy_tcl
JSA0	F	5	iy	jh_iy_h#
JSA0	F	5	iy	r_iy_m
JSA0	F	5	iy	w_iy_n
JSA0	F	5	ae	hv_ae_dcl
JSA0	F	5	ae	q_ae_s
JSA0	F	5	ae	r_ae_gcl
JSA0	F	5	ae	dh_ae_tcl
JSA0	F	5	ae	l_ae_kcl
JSA0	F	5	ae	q_ae_n
JSA0	F	5	ae	q_ae_dx
JSA0	F	5	ae	d_ae_sh
JSA0	F	5	ae	p_ae_pcl
JSA0	F	5	ae	r_ae_kcl
JSA0	F	5	ae	hv_ae_l
JSA0	F	5	aa	d_aa_r
JSA0	F	5	aa	w_aa_sh
JSA0	F	5	aa	w_aa_dx
JSA0	F	5	aa	s_aa_l
JSA0	F	5	aa	p_aa_l
JSA0	F	5	aa	ey_aa_n
JSA0	F	5	aa	p_aa_pcl
JSA0	F	5	uh	w_uh_dcl
JSA0	F	5	b	z_bcl_b
JSA0	F	5	b	bcl_b_ah
JSA0	F	5	b	n_bcl_b
JSA0	F	5	b	bcl_b_er
JSA0	F	5	b	tcl_b_l
JSA0	F	5	b	ix_bcl_b
JSA0	F	5	b	bcl_b_eh
JSA0	F	5	b	ah_bcl_b
JSA0	F	5	b	bcl_b_ih
JSA0	F	5	d	ae_dcl_jh
JSA0	F	5	d	axr_dcl_d
JSA0	F	5	d	dcl_d_aa
JSA0	F	5	d	aa_dx_axr
JSA0	F	5	d	h#_d_ow
JSA0	F	5	d	iy_dx_ix
JSA0	F	5	d	k_dh_ae
JSA0	F	5	d	uh_dcl_d
JSA0	F	5	d	dcl_d_r
JSA0	F	5	d	iy_dcl_d
JSA0	F	5	d	dcl_d_ix
JSA0	F	5	d	axr_dcl_h#
JSA0	F	5	d	h#_dh_ix
JSA0	F	5	d	aw_dcl_z
