ID	Sex	DR	Vowel	Context
JSK0	F	7	iy	sh_iy_hv
JSK0	F	7	iy	r_iy_s
JSK0	F	7	iy	s_iy_w
JSK0	F	7	iy	m_iy_dx
JSK0	F	7	iy	r_iy_ix
JSK0	F	7	iy	l_iy_r
JSK0	F	7	iy	dh_iy_eh
JSK0	F	7	iy	r_iy_ah
JSK0	F	7	iy	sh_iy_dcl
JSK0	F	7	iy	k_iy_dx
JSK0	F	7	iy	axr_iy_s
JSK0	F	7	iy	ay_iy_tcl
JSK0	F	7	iy	dx_iy_q
JSK0	F	7	iy	r_iy_s
JSK0	F	7	iy	b_iy_sh
JSK0	F	7	iy	l_iy_h#
JSK0	F	7	iy	n_iy_kcl
JSK0	F	7	iy	b_iy_gcl
JSK0	F	7	iy	l_iy_ix
JSK0	F	7	iy	r_iy_sh
JSK0	F	7	iy	sh_iy_ey
JSK0	F	7	ae	hv_ae_dcl
JSK0	F	7	ae	n_ae_s
JSK0	F	7	ae	r_ae_gcl
JSK0	F	7	ae	th_ae_tcl
JSK0	F	7	ae	m_ae_dcl
JSK0	F	7	ae	q_ae_f
JSK0	F	7	aa	d_aa_r
JSK0	F	7	aa	w_aa_r
JSK0	F	7	aa	w_aa_dx
JSK0	F	7	aa	q_aa_l
JSK0	F	7	aa	l_aa_dcl
JSK0	F	7	aa	k_aa_n
JSK0	F	7	aa	d_aa_l
JSK0	F	7	aa	t_aa_dcl
JSK0	F	7	aa	t_aa_pcl
JSK0	F	7	aa	q_aa_n
JSK0	F	7	aa	w_aa_sh
JSK0	F	7	aa	k_aa_n
JSK0	F	7	b	m_bcl_b
JSK0	F	7	b	bcl_b_er
JSK0	F	7	b	z_bcl_b
JSK0	F	7	b	bcl_b_ay
JSK0	F	7	b	pau_b_iy
JSK0	F	7	b	ix_bcl_b
JSK0	F	7	b	bcl_b_y
JSK0	F	7	b	ax_bcl_b
JSK0	F	7	b	bcl_b_iy
JSK0	F	7	d	ae_dcl_d
JSK0	F	7	d	dcl_d_y
JSK0	F	7	d	axr_dcl_d
JSK0	F	7	d	dcl_d_aa
JSK0	F	7	d	aa_dx_er
JSK0	F	7	d	h#_d_ow
JSK0	F	7	d	iy_dx_ix
JSK0	F	7	d	h#_dh_ax
JSK0	F	7	d	aa_dcl_jh
JSK0	F	7	d	v_dh_ih
JSK0	F	7	d	k_dh_iy
JSK0	F	7	d	iy_dcl_d
JSK0	F	7	d	dcl_d_aa
JSK0	F	7	d	f_dh_ix
JSK0	F	7	d	m_dcl_d
JSK0	F	7	d	dcl_d_ay
JSK0	F	7	d	ay_dcl_d
JSK0	F	7	d	dcl_d_l
JSK0	F	7	d	ey_dcl_d
JSK0	F	7	d	dcl_d_axr
JSK0	F	7	d	ae_dcl_jh
JSK0	F	7	d	iy_dx_ow
JSK0	F	7	d	ih_dcl_d
JSK0	F	7	d	dcl_d_kcl
JSK0	F	7	d	r_dx_er
JSK0	F	7	d	n_dcl_d
JSK0	F	7	d	dcl_d_ey
JSK0	F	7	d	tcl_d_ih
JSK0	F	7	d	aa_dcl_p
JSK0	F	7	d	s_dcl_t
JSK0	F	7	d	ix_dx_iy
JSK0	F	7	d	eh_dx_ih
JSK0	F	7	d	er_dx_ix
JSK0	F	7	d	ey_dx_ix
JSK0	F	7	d	ix_dcl_h#
JSK0	F	7	g	n_gcl_g
JSK0	F	7	g	gcl_g_r
JSK0	F	7	g	ae_gcl_g
JSK0	F	7	g	gcl_g_l
JSK0	F	7	g	ix_gcl_g
JSK0	F	7	g	gcl_g_r
JSK0	F	7	g	ih_ng_kcl
JSK0	F	7	g	ih_gcl_g
JSK0	F	7	g	gcl_g_z
JSK0	F	7	g	n_gcl_g
JSK0	F	7	g	gcl_g_eh
JSK0	F	7	g	ih_ng_hv
JSK0	F	7	g	sh_gcl_g
JSK0	F	7	g	gcl_g_r
JSK0	F	7	g	ix_ng_y
JSK0	F	7	g	iy_gcl_g
JSK0	F	7	g	gcl_g_r
JSK0	F	7	p	sh_epi_w
JSK0	F	7	p	n_epi_s
JSK0	F	7	p	n_epi_s
JSK0	F	7	p	dcl_p_l
JSK0	F	7	p	aa_pcl_p
JSK0	F	7	p	pcl_p_r
JSK0	F	7	p	n_pau_b
JSK0	F	7	p	sh_epi_th
JSK0	F	7	p	z_epi_w
JSK0	F	7	p	ix_pcl_p
JSK0	F	7	p	pcl_p_r
JSK0	F	7	t	ux_tcl_t
JSK0	F	7	t	tcl_t_q
JSK0	F	7	t	k_th_ae
JSK0	F	7	t	ae_tcl_t
JSK0	F	7	t	tcl_t_h#
JSK0	F	7	t	n_tcl_t
JSK0	F	7	t	tcl_t_ix
JSK0	F	7	t	ux_tcl_t
JSK0	F	7	t	tcl_t_uw
JSK0	F	7	t	ay_th_ih
JSK0	F	7	t	eh_tcl_h#
JSK0	F	7	t	s_tcl_t
JSK0	F	7	t	tcl_t_ih
JSK0	F	7	t	ix_tcl_t
JSK0	F	7	t	tcl_t_s
JSK0	F	7	t	s_tcl_t
JSK0	F	7	t	tcl_t_r
JSK0	F	7	t	f_tcl_t
JSK0	F	7	t	tcl_t_er
JSK0	F	7	t	iy_tcl_d
JSK0	F	7	t	h#_t_aa
JSK0	F	7	t	dcl_t_aa
JSK0	F	7	t	s_tcl_t
JSK0	F	7	t	tcl_t_h#
JSK0	F	7	t	axr_tcl_ch
JSK0	F	7	t	epi_th_er
JSK0	F	7	t	n_tcl_t
JSK0	F	7	t	tcl_t_r
JSK0	F	7	t	ey_tcl_l
JSK0	F	7	k	r_kcl_k
JSK0	F	7	k	kcl_k_s
JSK0	F	7	k	s_kcl_m
JSK0	F	7	k	ix_kcl_k
JSK0	F	7	k	kcl_k_eh
JSK0	F	7	k	ay_kcl_k
JSK0	F	7	k	kcl_k_th
JSK0	F	7	k	ay_kcl_k
JSK0	F	7	k	kcl_k_ax
JSK0	F	7	k	ix_kcl_k
JSK0	F	7	k	kcl_k_el
JSK0	F	7	k	el_kcl_k
JSK0	F	7	k	kcl_k_aa
JSK0	F	7	k	ix_kcl_k
JSK0	F	7	k	kcl_k_w
JSK0	F	7	k	s_kcl_k
JSK0	F	7	k	kcl_k_ax
JSK0	F	7	k	eh_kcl_k
JSK0	F	7	k	kcl_k_dh
JSK0	F	7	k	ng_kcl_k
JSK0	F	7	k	kcl_k_y
JSK0	F	7	k	s_kcl_k
JSK0	F	7	k	kcl_k_iy
JSK0	F	7	k	d_kcl_k
JSK0	F	7	k	kcl_k_l
JSK0	F	7	k	ay_kcl_k
JSK0	F	7	k	kcl_k_f
JSK0	F	7	k	ih_kcl_k
JSK0	F	7	k	kcl_k_s
JSK0	F	7	k	iy_kcl_k
JSK0	F	7	k	kcl_k_aa
JSK0	F	7	s	h#_sh_iy
JSK0	F	7	s	k_s_ux
JSK0	F	7	s	iy_s_iy
JSK0	F	7	s	r_sh_epi
JSK0	F	7	s	ae_s_kcl
JSK0	F	7	s	ax_s_ow
JSK0	F	7	s	ow_sh_ah
JSK0	F	7	s	n_s_ay
JSK0	F	7	s	epi_s_ix
JSK0	F	7	s	epi_s_ix
JSK0	F	7	s	ih_s_kcl
JSK0	F	7	s	h#_sh_iy
JSK0	F	7	s	l_s_ow
JSK0	F	7	s	ih_s_kcl
JSK0	F	7	s	ih_s_tcl
JSK0	F	7	s	t_s_h#
JSK0	F	7	s	ah_s_tcl
JSK0	F	7	s	iy_s_ah
JSK0	F	7	s	ey_s_dcl
JSK0	F	7	s	k_s_tcl
JSK0	F	7	s	n_sh_ux
JSK0	F	7	s	ih_sh_gcl
JSK0	F	7	s	iy_s_ix
JSK0	F	7	s	iy_sh_er
JSK0	F	7	s	aa_sh_epi
JSK0	F	7	s	ux_sh_ix
JSK0	F	7	s	iy_sh_iy
JSK0	F	7	z	ix_z_ah
JSK0	F	7	z	ow_z_ih
JSK0	F	7	z	g_z_ih
JSK0	F	7	z	ix_z_bcl
JSK0	F	7	z	n_z_epi
JSK0	F	7	sh	h#_sh_iy
JSK0	F	7	sh	r_sh_epi
JSK0	F	7	sh	ow_sh_ah
JSK0	F	7	sh	h#_sh_iy
JSK0	F	7	sh	n_sh_ux
JSK0	F	7	sh	ih_sh_gcl
JSK0	F	7	sh	iy_sh_er
JSK0	F	7	sh	aa_sh_epi
JSK0	F	7	sh	ux_sh_ix
JSK0	F	7	sh	iy_sh_iy
JSK0	F	7	dh	h#_dh_ax
JSK0	F	7	dh	v_dh_ih
JSK0	F	7	dh	k_dh_iy
JSK0	F	7	dh	f_dh_ix
JSK0	F	7	f	ax_f_eh
JSK0	F	7	f	ix_f_dh
JSK0	F	7	f	ae_f_tcl
JSK0	F	7	f	k_f_ih
JSK0	F	7	f	ux_f_ih
JSK0	F	7	v	iy_hv_ae
JSK0	F	7	v	ah_v_dh
JSK0	F	7	v	ao_v_axr
JSK0	F	7	v	ng_hv_ix
JSK0	F	7	jh	dcl_jh_ix
JSK0	F	7	jh	dcl_jh_ix
JSK0	F	7	ch	tcl_ch_ey
