ID	Sex	DR	Vowel	Context
JSR0	M	4	iy	sh_iy_hv
JSR0	M	4	iy	r_iy_s
JSR0	M	4	iy	s_iy_w
JSR0	M	4	iy	m_iy_dx
JSR0	M	4	iy	r_iy_ih
JSR0	M	4	iy	l_iy_r
JSR0	M	4	iy	hh_iy_s
JSR0	M	4	iy	l_iy_n
JSR0	M	4	iy	bcl_iy_pcl
JSR0	M	4	iy	b_iy_w
JSR0	M	4	iy	dx_iy_q
JSR0	M	4	iy	m_iy_dx
JSR0	M	4	iy	dx_iy_aa
JSR0	M	4	iy	t_iy_pau
JSR0	M	4	iy	th_iy_ix
JSR0	M	4	iy	m_iy_tcl
JSR0	M	4	iy	l_iy_ih
JSR0	M	4	iy	h#_iy_tcl
JSR0	M	4	iy	l_iy_f
JSR0	M	4	iy	b_iy_pcl
JSR0	M	4	ae	hv_ae_dcl
JSR0	M	4	ae	q_ae_s
JSR0	M	4	ae	r_ae_gcl
JSR0	M	4	ae	dh_ae_tcl
JSR0	M	4	ae	hv_ae_dx
JSR0	M	4	ae	n_ae_n
JSR0	M	4	ae	m_ae_dx
JSR0	M	4	ae	t_ae_gcl
JSR0	M	4	ae	q_ae_nx
JSR0	M	4	aa	d_aa_r
JSR0	M	4	aa	d_aa_dcl
JSR0	M	4	aa	b_aa_bcl
JSR0	M	4	aa	er_aa_s
JSR0	M	4	aa	iy_aa_kcl
JSR0	M	4	aa	n_aa_pcl
JSR0	M	4	uh	hh_uh_gcl
JSR0	M	4	uh	sh_uh_dcl
JSR0	M	4	b	v_bcl_b
JSR0	M	4	b	bcl_b_ih
JSR0	M	4	b	ow_bcl_b
JSR0	M	4	b	bcl_b_aa
JSR0	M	4	b	aa_bcl_iy
JSR0	M	4	b	z_bcl_b
JSR0	M	4	b	bcl_b_iy
JSR0	M	4	b	ix_bcl_b
JSR0	M	4	b	bcl_b_ih
JSR0	M	4	b	pcl_b_iy
JSR0	M	4	d	ae_dcl_y
JSR0	M	4	d	n_d_aa
JSR0	M	4	d	ao_dx_axr
JSR0	M	4	d	h#_d_ow
JSR0	M	4	d	iy_dx_ix
JSR0	M	4	d	kcl_dh_ae
JSR0	M	4	d	ae_dx_eh
JSR0	M	4	d	m_dh_ix
JSR0	M	4	d	ae_dx_axr
JSR0	M	4	d	ay_dcl_pau
JSR0	M	4	d	l_dx_ix
JSR0	M	4	d	n_dcl_d
JSR0	M	4	d	dcl_d_aa
JSR0	M	4	d	aa_dcl_jh
JSR0	M	4	d	ux_dcl_d
JSR0	M	4	d	dcl_d_ao
JSR0	M	4	d	uh_dcl_d
JSR0	M	4	d	dcl_d_f
JSR0	M	4	d	s_dh_ix
