ID	Sex	DR	Vowel	Context
JXL0	M	4	iy	sh_iy_hv
JXL0	M	4	iy	r_iy_s
JXL0	M	4	iy	s_iy_w
JXL0	M	4	iy	m_iy_tcl
JXL0	M	4	iy	r_iy_ax
JXL0	M	4	iy	l_iy_r
JXL0	M	4	iy	hh_iy_w
JXL0	M	4	iy	hv_iy_s
JXL0	M	4	iy	k_iy_gcl
JXL0	M	4	iy	hh_iy_sh
JXL0	M	4	iy	l_iy_h#
JXL0	M	4	iy	sh_iy_kcl
JXL0	M	4	iy	dh_iy_ah
JXL0	M	4	iy	r_iy_ix
JXL0	M	4	iy	m_iy_h#
JXL0	M	4	iy	q_iy_tcl
JXL0	M	4	iy	dh_iy_ix
JXL0	M	4	iy	r_iy_n
JXL0	M	4	iy	nx_iy_tcl
JXL0	M	4	iy	n_iy_dcl
JXL0	M	4	ae	hv_ae_dcl
JXL0	M	4	ae	tcl_ae_s
JXL0	M	4	ae	r_ae_gcl
JXL0	M	4	ae	dh_ae_tcl
JXL0	M	4	ae	hh_ae_v
JXL0	M	4	ae	l_ae_n
JXL0	M	4	ae	k_ae_zh
JXL0	M	4	ae	b_ae_kcl
JXL0	M	4	ae	hv_ae_v
JXL0	M	4	ae	r_ae_kcl
JXL0	M	4	aa	d_aa_r
JXL0	M	4	aa	w_aa_sh
JXL0	M	4	aa	w_aa_z
JXL0	M	4	aa	d_aa_pcl
JXL0	M	4	aa	p_aa_pcl
JXL0	M	4	aa	g_aa_r
JXL0	M	4	aa	t_aa_kcl
JXL0	M	4	aa	l_aa_r
JXL0	M	4	aa	l_aa_tcl
JXL0	M	4	uh	t_uh_ax
JXL0	M	4	uh	zh_uh_ax
JXL0	M	4	b	z_bcl_b
JXL0	M	4	b	bcl_b_ih
JXL0	M	4	b	ax_bcl_m
JXL0	M	4	b	m_bcl_b
JXL0	M	4	b	bcl_b_ae
JXL0	M	4	b	ux_bcl_h#
JXL0	M	4	d	ae_dcl_d
JXL0	M	4	d	dcl_d_y
JXL0	M	4	d	er_dcl_d
JXL0	M	4	d	dcl_d_aa
JXL0	M	4	d	ux_dx_ih
JXL0	M	4	d	ao_dx_er
JXL0	M	4	d	h#_d_ow
JXL0	M	4	d	k_dh_ae
JXL0	M	4	d	eh_dcl_pau
JXL0	M	4	d	n_dcl_d
JXL0	M	4	d	dcl_d_aa
JXL0	M	4	d	gcl_d_kcl
JXL0	M	4	d	k_dh_iy
JXL0	M	4	d	ah_dh_axr
JXL0	M	4	d	axr_dcl_d
JXL0	M	4	d	dcl_d_ey
JXL0	M	4	d	z_dcl_d
JXL0	M	4	d	dcl_d_aw
JXL0	M	4	d	aw_dx_ax
JXL0	M	4	d	v_dh_ax
JXL0	M	4	d	l_dcl_t
JXL0	M	4	d	h#_dh_iy
JXL0	M	4	d	r_dcl_en
JXL0	M	4	d	n_dcl_d
JXL0	M	4	d	dcl_d_ax
JXL0	M	4	d	z_dcl_d
JXL0	M	4	d	dcl_d_h#
JXL0	M	4	d	r_dcl_jh
JXL0	M	4	d	l_dcl_n
JXL0	M	4	d	iy_dcl_z
JXL0	M	4	g	n_gcl_g
JXL0	M	4	g	gcl_g_r
JXL0	M	4	g	ae_gcl_g
JXL0	M	4	g	gcl_g_l
JXL0	M	4	g	ix_ng_s
JXL0	M	4	g	ah_ng_kcl
JXL0	M	4	g	iy_gcl_g
JXL0	M	4	g	gcl_g_l
JXL0	M	4	g	ah_gcl_d
JXL0	M	4	g	kcl_g_l
JXL0	M	4	g	ix_ng_r
JXL0	M	4	g	z_gcl_g
JXL0	M	4	g	gcl_g_aa
JXL0	M	4	g	ix_ng_f
JXL0	M	4	p	sh_pau_w
JXL0	M	4	p	er_epi_ao
JXL0	M	4	p	dcl_pau_q
JXL0	M	4	p	aa_pcl_p
JXL0	M	4	p	pcl_p_er
JXL0	M	4	p	ux_pau_ux
JXL0	M	4	p	s_pcl_p
JXL0	M	4	p	pcl_p_aa
JXL0	M	4	p	aa_pcl_h#
JXL0	M	4	p	ih_pcl_t
JXL0	M	4	p	ax_pcl_p
JXL0	M	4	p	pcl_p_ix
JXL0	M	4	p	ax_pcl_p
JXL0	M	4	p	pcl_p_l
JXL0	M	4	t	n_tcl_ae
JXL0	M	4	t	iy_tcl_t
JXL0	M	4	t	tcl_t_ix
JXL0	M	4	t	ae_tcl_h#
JXL0	M	4	t	ih_tcl_t
JXL0	M	4	t	tcl_t_uh
JXL0	M	4	t	ey_tcl_t
JXL0	M	4	t	tcl_t_ax
JXL0	M	4	t	h#_th_ih
JXL0	M	4	t	ax_tcl_t
JXL0	M	4	t	tcl_t_ux
JXL0	M	4	t	iy_tcl_ch
JXL0	M	4	t	ch_tcl_ch
JXL0	M	4	t	dcl_t_ax
JXL0	M	4	t	pcl_t_ix
JXL0	M	4	t	n_tcl_t
JXL0	M	4	t	tcl_t_ux
JXL0	M	4	t	ay_tcl_h#
JXL0	M	4	t	iy_tcl_t
JXL0	M	4	t	tcl_t_aa
JXL0	M	4	t	aa_tcl_s
JXL0	M	4	k	r_kcl_k
JXL0	M	4	k	kcl_k_s
JXL0	M	4	k	s_kcl_m
JXL0	M	4	k	ix_kcl_k
JXL0	M	4	k	kcl_k_eh
JXL0	M	4	k	ay_kcl_k
JXL0	M	4	k	kcl_k_dh
JXL0	M	4	k	ng_kcl_k
JXL0	M	4	k	kcl_k_iy
JXL0	M	4	k	d_kcl_k
JXL0	M	4	k	kcl_k_ae
JXL0	M	4	k	iy_kcl_k
JXL0	M	4	k	kcl_k_ey
JXL0	M	4	k	ae_kcl_k
JXL0	M	4	k	kcl_k_dh
JXL0	M	4	k	ih_kcl_g
JXL0	M	4	k	ae_kcl_k
JXL0	M	4	k	kcl_k_ux
JXL0	M	4	k	aa_kcl_k
JXL0	M	4	k	kcl_k_s
JXL0	M	4	k	ix_kcl_k
JXL0	M	4	k	kcl_k_eh
JXL0	M	4	k	ax_kcl_k
JXL0	M	4	k	kcl_k_el
JXL0	M	4	s	h#_sh_iy
JXL0	M	4	s	k_s_ux
JXL0	M	4	s	iy_s_iy
JXL0	M	4	s	aa_sh_pau
JXL0	M	4	s	ae_s_kcl
JXL0	M	4	s	iy_s_eh
JXL0	M	4	s	ng_s_ah
JXL0	M	4	s	n_s_ax
JXL0	M	4	s	ey_sh_ix
JXL0	M	4	s	iy_sh_r
JXL0	M	4	s	h#_sh_iy
JXL0	M	4	s	ix_sh_er
JXL0	M	4	s	ay_s_pcl
JXL0	M	4	s	n_s_l
JXL0	M	4	s	k_s_ix
JXL0	M	4	s	aw_s_hh
JXL0	M	4	s	tcl_s_ax
JXL0	M	4	s	n_s_ix
JXL0	M	4	z	aa_z_bcl
JXL0	M	4	z	ih_z_ix
JXL0	M	4	z	ae_zh_uh
JXL0	M	4	z	ux_z_dcl
JXL0	M	4	z	l_z_gcl
JXL0	M	4	z	el_z_axr
JXL0	M	4	z	ux_z_dcl
JXL0	M	4	z	dcl_z_l
JXL0	M	4	z	ix_z_h#
JXL0	M	4	sh	h#_sh_iy
JXL0	M	4	sh	aa_sh_pau
JXL0	M	4	sh	ey_sh_ix
JXL0	M	4	sh	iy_sh_r
JXL0	M	4	sh	h#_sh_iy
JXL0	M	4	sh	ix_sh_er
JXL0	M	4	dh	k_dh_ae
JXL0	M	4	dh	k_dh_iy
JXL0	M	4	dh	ah_dh_axr
JXL0	M	4	dh	v_dh_ax
JXL0	M	4	dh	h#_dh_iy
JXL0	M	4	f	ux_f_ih
JXL0	M	4	f	ng_f_ih
JXL0	M	4	v	iy_hv_ae
JXL0	M	4	v	ix_hv_iy
JXL0	M	4	v	ae_v_ix
JXL0	M	4	v	ax_v_dh
JXL0	M	4	v	ax_hv_ae
JXL0	M	4	v	ae_v_ax
