ID	Sex	DR	Vowel	Context
KCL0	M	4	iy	sh_iy_hv
KCL0	M	4	iy	r_iy_z
KCL0	M	4	iy	z_iy_w
KCL0	M	4	iy	m_iy_dx
KCL0	M	4	iy	r_iy_ix
KCL0	M	4	iy	l_iy_r
KCL0	M	4	iy	dx_iy_z
KCL0	M	4	iy	l_iy_bcl
KCL0	M	4	iy	er_iy_ix
KCL0	M	4	iy	hh_iy_w
KCL0	M	4	iy	nx_iy_ae
KCL0	M	4	iy	r_iy_ih
KCL0	M	4	iy	b_iy_tcl
KCL0	M	4	iy	b_iy_dh
KCL0	M	4	ae	nx_ae_s
KCL0	M	4	ae	r_ae_gcl
KCL0	M	4	ae	dh_ae_tcl
KCL0	M	4	ae	q_ae_kcl
KCL0	M	4	ae	ey_ae_f
KCL0	M	4	ae	l_ae_s
KCL0	M	4	ae	iy_ae_kcl
KCL0	M	4	ae	t_ae_gcl
KCL0	M	4	aa	d_aa_r
KCL0	M	4	aa	g_aa_r
KCL0	M	4	aa	n_aa_tcl
KCL0	M	4	uh	k_uh_dcl
KCL0	M	4	b	ax_bcl_b
KCL0	M	4	b	bcl_b_l
KCL0	M	4	b	iy_bcl_b
KCL0	M	4	b	bcl_b_r
KCL0	M	4	b	th_bcl_b
KCL0	M	4	b	bcl_b_iy
KCL0	M	4	b	ch_bcl_b
KCL0	M	4	b	bcl_b_ao
KCL0	M	4	b	tcl_b_iy
KCL0	M	4	b	ix_bcl_b
KCL0	M	4	b	bcl_b_eh
KCL0	M	4	b	axr_bcl_b
KCL0	M	4	b	bcl_b_ih
KCL0	M	4	d	eh_dcl_d
KCL0	M	4	d	dcl_d_y
KCL0	M	4	d	axr_dcl_d
KCL0	M	4	d	dcl_d_aa
KCL0	M	4	d	ao_dx_axr
KCL0	M	4	d	h#_d_ow
KCL0	M	4	d	iy_dx_ix
KCL0	M	4	d	kcl_dh_ae
KCL0	M	4	d	ih_dx_iy
KCL0	M	4	d	uh_dcl_p
KCL0	M	4	d	ix_dcl_z
KCL0	M	4	d	ah_dx_axr
KCL0	M	4	d	axr_dcl_d
KCL0	M	4	d	dcl_d_r
KCL0	M	4	d	ay_dx_ax
KCL0	M	4	d	h#_d_ey
KCL0	M	4	d	axr_dcl_d
KCL0	M	4	d	dcl_d_ey
KCL0	M	4	d	ow_dx_ih
KCL0	M	4	d	r_dx_ix
KCL0	M	4	d	ix_dcl_h#
KCL0	M	4	d	n_d_axr
KCL0	M	4	d	r_dcl_en
KCL0	M	4	d	l_dcl_d
KCL0	M	4	d	dcl_d_r
KCL0	M	4	d	n_dcl_d
KCL0	M	4	d	dcl_d_eh
KCL0	M	4	d	tcl_dh_axr
KCL0	M	4	d	ax_dcl_d
KCL0	M	4	d	dcl_d_ey
KCL0	M	4	d	th_dcl_d
KCL0	M	4	d	dcl_d_r
KCL0	M	4	d	n_dcl_t
KCL0	M	4	d	ey_dcl_t
KCL0	M	4	d	iy_dh_ix
KCL0	M	4	d	er_dcl_jh
KCL0	M	4	g	en_gcl_g
KCL0	M	4	g	gcl_g_r
KCL0	M	4	g	ae_gcl_g
KCL0	M	4	g	gcl_g_l
KCL0	M	4	g	ih_ng_l
KCL0	M	4	g	ao_ng_pcl
KCL0	M	4	g	axr_gcl_g
KCL0	M	4	g	gcl_g_aa
KCL0	M	4	g	ae_gcl_w
KCL0	M	4	p	tcl_pau_en
KCL0	M	4	p	sh_epi_w
KCL0	M	4	p	axr_pau_q
KCL0	M	4	p	dcl_p_r
KCL0	M	4	p	ng_pcl_p
KCL0	M	4	p	pcl_p_er
KCL0	M	4	p	eh_pcl_p
KCL0	M	4	p	pcl_p_ax
KCL0	M	4	p	ix_pcl_p
KCL0	M	4	p	pcl_p_ao
KCL0	M	4	p	sh_pcl_p
KCL0	M	4	p	pcl_p_l
KCL0	M	4	p	z_epi_n
KCL0	M	4	p	s_epi_m
KCL0	M	4	t	ux_tcl_pau
KCL0	M	4	t	ae_tcl_h#
KCL0	M	4	t	kcl_t_ih
KCL0	M	4	t	f_tcl_t
KCL0	M	4	t	tcl_t_axr
KCL0	M	4	t	en_tcl_ch
KCL0	M	4	t	ey_tcl_dh
KCL0	M	4	t	ix_th_dcl
KCL0	M	4	t	n_tcl_s
KCL0	M	4	t	dcl_t_r
KCL0	M	4	t	dcl_t_ae
KCL0	M	4	t	ax_th_bcl
KCL0	M	4	t	iy_tcl_ch
KCL0	M	4	t	ay_tcl_n
KCL0	M	4	t	aa_tcl_b
KCL0	M	4	t	s_tcl_t
KCL0	M	4	t	tcl_t_ay
KCL0	M	4	k	r_kcl_k
KCL0	M	4	k	kcl_k_s
KCL0	M	4	k	s_kcl_m
KCL0	M	4	k	ix_kcl_k
KCL0	M	4	k	kcl_k_ih
KCL0	M	4	k	ay_kcl_dh
KCL0	M	4	k	ae_kcl_t
KCL0	M	4	k	z_kcl_k
KCL0	M	4	k	kcl_k_uh
KCL0	M	4	k	h#_k_ah
KCL0	M	4	k	h#_k_ih
