ID	Sex	DR	Vowel	Context
KLC1	F	6	iy	r_iy_ix
KLC1	F	6	iy	l_iy_r
KLC1	F	6	iy	er_iy_hv
KLC1	F	6	iy	q_iy_v
KLC1	F	6	iy	n_iy_q
KLC1	F	6	iy	r_iy_aa
KLC1	F	6	iy	l_iy_f
KLC1	F	6	iy	k_iy_z
KLC1	F	6	iy	r_iy_s
KLC1	F	6	iy	r_iy_ih
KLC1	F	6	iy	z_iy_bcl
KLC1	F	6	iy	w_iy_ix
KLC1	F	6	iy	r_iy_ix
KLC1	F	6	iy	r_iy_z
KLC1	F	6	ae	hv_ae_dcl
KLC1	F	6	ae	nx_ae_s
KLC1	F	6	ae	k_ae_r
KLC1	F	6	ae	r_ae_gcl
KLC1	F	6	ae	dh_ae_tcl
KLC1	F	6	ae	hv_ae_z
KLC1	F	6	ae	hv_ae_dx
KLC1	F	6	ae	q_ae_m
KLC1	F	6	ae	ih_ae_f
KLC1	F	6	ae	hv_ae_z
KLC1	F	6	ae	p_ae_n
KLC1	F	6	aa	d_aa_r
KLC1	F	6	aa	w_aa_sh
KLC1	F	6	aa	iy_aa_dx
KLC1	F	6	aa	t_aa_kcl
KLC1	F	6	aa	r_aa_hh
KLC1	F	6	aa	d_aa_kcl
KLC1	F	6	aa	t_aa_m
KLC1	F	6	aa	w_aa_tcl
KLC1	F	6	aa	k_aa_r
KLC1	F	6	uh	r_uh_m
KLC1	F	6	uh	k_uh_kcl
KLC1	F	6	b	n_bcl_b
KLC1	F	6	b	bcl_b_aw
KLC1	F	6	b	m_bcl_b
KLC1	F	6	b	bcl_b_y
KLC1	F	6	b	iy_bcl_b
KLC1	F	6	b	bcl_b_r
KLC1	F	6	b	ah_bcl_t
KLC1	F	6	d	ae_dcl_jh
KLC1	F	6	d	ux_dcl_d
KLC1	F	6	d	dcl_d_aa
KLC1	F	6	d	ao_dx_axr
KLC1	F	6	d	h#_d_ow
KLC1	F	6	d	ih_dx_ix
KLC1	F	6	d	kcl_dh_ae
KLC1	F	6	d	h#_dh_ax
KLC1	F	6	d	n_dcl_p
KLC1	F	6	d	aa_dx_ix
KLC1	F	6	d	ae_dx_ah
KLC1	F	6	d	er_dx_ah
KLC1	F	6	d	v_dh_ax
KLC1	F	6	d	eh_dcl_h#
KLC1	F	6	d	ah_dcl_d
KLC1	F	6	d	dcl_d_aa
KLC1	F	6	d	th_dh_ix
KLC1	F	6	d	s_dh_ih
KLC1	F	6	d	s_dcl_d
KLC1	F	6	d	dcl_d_ix
KLC1	F	6	d	aw_dcl_d
KLC1	F	6	d	dcl_d_ix
KLC1	F	6	g	en_gcl_g
KLC1	F	6	g	gcl_g_r
KLC1	F	6	g	ae_gcl_g
KLC1	F	6	g	gcl_g_l
KLC1	F	6	g	ay_gcl_g
KLC1	F	6	g	gcl_g_ih
KLC1	F	6	g	ih_ng_kcl
KLC1	F	6	g	h#_g_r
KLC1	F	6	g	eh_gcl_g
KLC1	F	6	g	gcl_g_r
KLC1	F	6	g	ih_ng_kcl
KLC1	F	6	g	ih_ng_aw
KLC1	F	6	g	ix_gcl_g
KLC1	F	6	g	gcl_g_r
KLC1	F	6	p	sh_epi_w
KLC1	F	6	p	ow_pcl_p
KLC1	F	6	p	pcl_p_ix
KLC1	F	6	p	sh_epi_eh
KLC1	F	6	p	z_pau_q
KLC1	F	6	p	dcl_p_ih
KLC1	F	6	p	z_epi_n
KLC1	F	6	p	s_pcl_p
KLC1	F	6	p	pcl_p_r
KLC1	F	6	p	s_pau_hv
KLC1	F	6	p	s_epi_w
KLC1	F	6	p	ix_pcl_p
KLC1	F	6	p	pcl_p_ey
KLC1	F	6	p	s_pcl_p
KLC1	F	6	p	pcl_p_ae
KLC1	F	6	p	sh_pau_z
KLC1	F	6	p	s_pcl_p
KLC1	F	6	p	pcl_p_ih
KLC1	F	6	p	n_epi_f
KLC1	F	6	t	ux_tcl_en
KLC1	F	6	t	ae_tcl_h#
KLC1	F	6	t	s_tcl_t
KLC1	F	6	t	tcl_t_aa
KLC1	F	6	t	h#_t_w
KLC1	F	6	t	ih_tcl_t
KLC1	F	6	t	tcl_t_s
KLC1	F	6	t	ah_th_er
KLC1	F	6	t	ow_tcl_t
KLC1	F	6	t	tcl_t_s
KLC1	F	6	t	n_tcl_t
KLC1	F	6	t	tcl_t_eh
KLC1	F	6	t	kcl_t_ax
KLC1	F	6	t	n_tcl_s
KLC1	F	6	t	ax_th_dh
KLC1	F	6	t	n_tcl_h#
KLC1	F	6	t	n_tcl_t
KLC1	F	6	t	tcl_t_aa
KLC1	F	6	t	m_tcl_ch
KLC1	F	6	t	z_tcl_t
KLC1	F	6	t	tcl_t_ax-h
KLC1	F	6	t	aa_tcl_ch
KLC1	F	6	t	r_tcl_t
KLC1	F	6	t	tcl_t_ux
KLC1	F	6	t	f_tcl_t
KLC1	F	6	t	tcl_t_ix
KLC1	F	6	t	s_th_ih
KLC1	F	6	t	n_t_s
KLC1	F	6	t	n_tcl_t
KLC1	F	6	t	tcl_t_s
KLC1	F	6	t	s_tcl_t
KLC1	F	6	t	tcl_t_r
KLC1	F	6	t	s_tcl_t
KLC1	F	6	t	tcl_t_r
KLC1	F	6	t	bcl_t_ey
KLC1	F	6	k	r_kcl_k
KLC1	F	6	k	kcl_k_s
KLC1	F	6	k	s_kcl_m
KLC1	F	6	k	ix_kcl_k
KLC1	F	6	k	kcl_k_ae
KLC1	F	6	k	ay_kcl_dh
KLC1	F	6	k	ix_kcl_k
KLC1	F	6	k	kcl_k_el
KLC1	F	6	k	aa_kcl_k
KLC1	F	6	k	kcl_k_r
KLC1	F	6	k	ao_kcl_k
KLC1	F	6	k	kcl_k_uh
KLC1	F	6	k	uh_kcl_k
KLC1	F	6	k	kcl_k_iy
KLC1	F	6	k	ng_kcl_k
KLC1	F	6	k	kcl_k_s
KLC1	F	6	k	s_kcl_k
KLC1	F	6	k	kcl_k_aw
KLC1	F	6	k	aa_kcl_t
KLC1	F	6	k	ch_kcl_k
KLC1	F	6	k	kcl_k_aa
KLC1	F	6	k	ng_kcl_k
KLC1	F	6	k	kcl_k_s
KLC1	F	6	k	ix_kcl_k
KLC1	F	6	k	kcl_k_s
KLC1	F	6	s	h#_sh_ix
KLC1	F	6	s	k_s_ux
KLC1	F	6	s	ih_s_ix
KLC1	F	6	s	aa_sh_epi
KLC1	F	6	s	ae_s_kcl
KLC1	F	6	s	n_sh_epi
KLC1	F	6	s	el_s_tcl
KLC1	F	6	s	ay_s_ix
KLC1	F	6	s	t_s_em
KLC1	F	6	s	ow_s_pcl
KLC1	F	6	s	iy_s_ih
KLC1	F	6	s	k_s_pau
KLC1	F	6	s	t_s_kcl
KLC1	F	6	s	tcl_s_epi
KLC1	F	6	s	ey_sh_ix
KLC1	F	6	s	ih_s_th
KLC1	F	6	s	k_s_dh
KLC1	F	6	s	ih_s_ux
