ID	Sex	DR	Vowel	Context
KLH0	F	8	iy	sh_iy_hh
KLH0	F	8	iy	r_iy_s
KLH0	F	8	iy	s_iy_w
KLH0	F	8	iy	m_iy_tcl
KLH0	F	8	iy	r_iy_ix
KLH0	F	8	iy	l_iy_r
KLH0	F	8	iy	dx_iy_s
KLH0	F	8	iy	v_iy_hv
KLH0	F	8	iy	oy_iy_z
KLH0	F	8	iy	nx_iy_th
KLH0	F	8	iy	b_iy_ih
KLH0	F	8	iy	r_iy_ow
KLH0	F	8	iy	k_iy_ng
KLH0	F	8	iy	er_iy_h#
KLH0	F	8	iy	r_iy_q
KLH0	F	8	iy	dh_iy_ix
KLH0	F	8	iy	t_iy_axr
KLH0	F	8	iy	ch_iy_z
KLH0	F	8	iy	b_iy_tcl
KLH0	F	8	ae	hh_ae_dcl
KLH0	F	8	ae	q_ae_s
KLH0	F	8	ae	r_ae_gcl
KLH0	F	8	ae	dh_ae_tcl
KLH0	F	8	ae	k_ae_pcl
KLH0	F	8	ae	m_ae_dcl
KLH0	F	8	ae	q_ae_dcl
KLH0	F	8	ae	hh_ae_v
KLH0	F	8	ae	q_ae_dx
KLH0	F	8	aa	d_aa_r
KLH0	F	8	aa	w_aa_sh
KLH0	F	8	aa	r_aa_pcl
KLH0	F	8	aa	n_aa_tcl
KLH0	F	8	uh	k_uh_kcl
KLH0	F	8	b	tcl_b_ih
KLH0	F	8	b	n_bcl_b
KLH0	F	8	b	bcl_b_iy
KLH0	F	8	b	ay_bcl_b
KLH0	F	8	b	bcl_b_z
KLH0	F	8	b	pcl_b_iy
KLH0	F	8	d	ae_dcl_jh
KLH0	F	8	d	er_dcl_d
KLH0	F	8	d	dcl_d_aa
KLH0	F	8	d	ao_dx_axr
KLH0	F	8	d	h#_d_ow
KLH0	F	8	d	k_dh_ae
KLH0	F	8	d	r_dx_iy
KLH0	F	8	d	ay_dcl_d
KLH0	F	8	d	dcl_d_v
KLH0	F	8	d	h#_dh_ix
KLH0	F	8	d	v_dh_ix
KLH0	F	8	d	ae_dcl_jh
KLH0	F	8	d	n_d_h#
KLH0	F	8	d	h#_d_ix
KLH0	F	8	d	h#_d_r
KLH0	F	8	d	aw_dx_er
KLH0	F	8	d	pau_dh_ih
KLH0	F	8	d	n_dh_iy
KLH0	F	8	d	h#_dh_ix
KLH0	F	8	d	ay_dcl_d
KLH0	F	8	d	dcl_d_r
KLH0	F	8	d	ae_dcl_m
KLH0	F	8	d	ax-h_dh_ix
KLH0	F	8	d	eh_dx_ix
KLH0	F	8	d	ix_dcl_ch
KLH0	F	8	d	ae_dx_ix
KLH0	F	8	d	ux_dcl_d
KLH0	F	8	d	dcl_d_h#
KLH0	F	8	g	n_gcl_g
KLH0	F	8	g	gcl_g_r
KLH0	F	8	g	ae_gcl_g
KLH0	F	8	g	gcl_g_l
KLH0	F	8	g	ix_ng_r
KLH0	F	8	g	ao_ng_kcl
KLH0	F	8	g	iy_ng_y
KLH0	F	8	p	sh_epi_w
KLH0	F	8	p	r_pcl_p
KLH0	F	8	p	pcl_p_axr
KLH0	F	8	p	m_pcl_p
KLH0	F	8	p	pcl_p_l
KLH0	F	8	p	ae_pcl_em
KLH0	F	8	p	tcl_pau_dh
KLH0	F	8	p	m_pau_q
KLH0	F	8	p	aa_pcl_s
KLH0	F	8	p	s_pau_n
KLH0	F	8	p	h#_p_r
KLH0	F	8	p	ah_pcl_b
KLH0	F	8	t	ux_tcl_q
KLH0	F	8	t	iy_tcl_t
KLH0	F	8	t	tcl_t_ix
KLH0	F	8	t	ae_tcl_t
KLH0	F	8	t	tcl_t_h#
KLH0	F	8	t	s_tcl_t
KLH0	F	8	t	tcl_t_ey
KLH0	F	8	t	ey_tcl_t
KLH0	F	8	t	tcl_t_s
KLH0	F	8	t	s_tcl_t
KLH0	F	8	t	tcl_t_ey
KLH0	F	8	t	ey_tcl_b
KLH0	F	8	t	iy_th_ix
KLH0	F	8	t	ih_tcl_ch
KLH0	F	8	t	s_tcl_pau
KLH0	F	8	t	n_tcl_t
KLH0	F	8	t	tcl_t_ih
KLH0	F	8	t	s_tcl_ch
KLH0	F	8	t	aa_tcl_f
KLH0	F	8	t	em_tcl_t
KLH0	F	8	t	tcl_t_iy
KLH0	F	8	t	s_tcl_t
KLH0	F	8	t	tcl_t_q
KLH0	F	8	t	kcl_t_ax-h
KLH0	F	8	t	ix_tcl_t
KLH0	F	8	t	tcl_t_ih
KLH0	F	8	t	v_tcl_t
KLH0	F	8	t	tcl_t_r
KLH0	F	8	t	iy_tcl_q
KLH0	F	8	t	ix_tcl_t
KLH0	F	8	t	tcl_t_ux
KLH0	F	8	k	r_kcl_k
KLH0	F	8	k	kcl_k_s
KLH0	F	8	k	s_kcl_k
KLH0	F	8	k	kcl_k_m
KLH0	F	8	k	ix_kcl_k
KLH0	F	8	k	kcl_k_eh
KLH0	F	8	k	ay_kcl_k
KLH0	F	8	k	kcl_k_dh
KLH0	F	8	k	ih_kcl_k
KLH0	F	8	k	kcl_k_el
KLH0	F	8	k	ng_kcl_k
KLH0	F	8	k	kcl_k_ae
KLH0	F	8	k	n_kcl_k
KLH0	F	8	k	kcl_k_eh
KLH0	F	8	k	z_kcl_k
KLH0	F	8	k	kcl_k_r
KLH0	F	8	k	ow_kcl_k
KLH0	F	8	k	kcl_k_uh
KLH0	F	8	k	uh_kcl_k
KLH0	F	8	k	kcl_k_iy
KLH0	F	8	k	z_kcl_k
KLH0	F	8	k	kcl_k_er
KLH0	F	8	k	l_kcl_t
KLH0	F	8	s	h#_sh_iy
KLH0	F	8	s	k_s_ux
KLH0	F	8	s	iy_s_iy
KLH0	F	8	s	aa_sh_epi
KLH0	F	8	s	ae_s_kcl
KLH0	F	8	s	iy_s_eh
KLH0	F	8	s	n_s_tcl
KLH0	F	8	s	t_s_ix
