ID	Sex	DR	Vowel	Context
KLS1	M	3	iy	sh_iy_hv
KLS1	M	3	iy	r_iy_s
KLS1	M	3	iy	s_iy_w
KLS1	M	3	iy	m_iy_dx
KLS1	M	3	iy	r_iy_ix
KLS1	M	3	iy	l_iy_r
KLS1	M	3	iy	w_iy_z
KLS1	M	3	iy	l_iy_ow
KLS1	M	3	iy	dx_iy_ng
KLS1	M	3	iy	l_iy_dcl
KLS1	M	3	iy	l_iy_tcl
KLS1	M	3	iy	z_iy_ih
KLS1	M	3	iy	r_iy_q
KLS1	M	3	iy	q_iy_v
KLS1	M	3	iy	r_iy_tcl
KLS1	M	3	ae	hv_ae_dcl
KLS1	M	3	ae	q_ae_s
KLS1	M	3	ae	r_ae_gcl
KLS1	M	3	ae	dh_ae_tcl
KLS1	M	3	ae	dh_ae_q
KLS1	M	3	ae	p_ae_s
KLS1	M	3	ae	q_ae_kcl
KLS1	M	3	ae	r_ae_f
KLS1	M	3	aa	d_aa_r
KLS1	M	3	aa	n_aa_tcl
KLS1	M	3	aa	q_aa_n
KLS1	M	3	aa	g_aa_r
KLS1	M	3	uh	p_uh_q
KLS1	M	3	uh	hh_uh_kcl
KLS1	M	3	b	axr_bcl_b
KLS1	M	3	b	bcl_b_r
KLS1	M	3	d	ae_dcl_d
KLS1	M	3	d	dcl_d_y
KLS1	M	3	d	axr_dcl_d
KLS1	M	3	d	dcl_d_aa
KLS1	M	3	d	ao_dx_er
KLS1	M	3	d	h#_d_ow
KLS1	M	3	d	iy_dx_ix
KLS1	M	3	d	kcl_dh_ae
KLS1	M	3	d	h#_dh_ey
KLS1	M	3	d	ey_dx_ih
KLS1	M	3	d	ih_dcl_n
KLS1	M	3	d	uw_dh_ey
KLS1	M	3	d	ow_dh_eh
KLS1	M	3	d	h#_dh_eh
KLS1	M	3	d	pau_dh_eh
KLS1	M	3	d	z_dh_ae
KLS1	M	3	d	l_dcl_p
KLS1	M	3	d	ey_dx_iy
KLS1	M	3	d	iy_dcl_d
KLS1	M	3	d	dcl_d_ax
KLS1	M	3	d	h#_dh_ix
KLS1	M	3	d	ix_dcl_d
KLS1	M	3	d	dcl_d_y
KLS1	M	3	d	r_dcl_en
KLS1	M	3	g	n_gcl_g
KLS1	M	3	g	gcl_g_r
KLS1	M	3	g	ae_gcl_g
KLS1	M	3	g	gcl_g_l
KLS1	M	3	g	ih_ng_hv
KLS1	M	3	g	ih_gcl_g
KLS1	M	3	g	gcl_g_eh
KLS1	M	3	g	ix_ng_axr
KLS1	M	3	g	iy_ng_epi
KLS1	M	3	g	ah_gcl_g
KLS1	M	3	g	gcl_g_z
KLS1	M	3	g	ih_ng_h#
KLS1	M	3	g	ih_gcl_g
KLS1	M	3	g	gcl_g_r
KLS1	M	3	g	h#_g_r
KLS1	M	3	g	ih_ng_w
KLS1	M	3	g	t_gcl_g
KLS1	M	3	g	gcl_g_aa
KLS1	M	3	g	ix_ng_h#
KLS1	M	3	p	sh_epi_w
KLS1	M	3	p	s_epi_m
KLS1	M	3	p	er_pau_q
KLS1	M	3	p	ix_pcl_p
KLS1	M	3	p	pcl_p_uh
KLS1	M	3	p	n_pau_dh
KLS1	M	3	p	dcl_p_ae
KLS1	M	3	p	ng_epi_r
KLS1	M	3	p	s_pcl_p
KLS1	M	3	p	pcl_p_l
KLS1	M	3	p	z_epi_m
KLS1	M	3	p	ch_pcl_p
KLS1	M	3	p	pcl_p_er
KLS1	M	3	p	eh_pcl_t
KLS1	M	3	t	ux_tcl_ix
KLS1	M	3	t	ae_tcl_h#
KLS1	M	3	t	aa_tcl_n
KLS1	M	3	t	er_th_h#
KLS1	M	3	t	s_tcl_t
KLS1	M	3	t	tcl_t_ay
KLS1	M	3	t	s_tcl_t
KLS1	M	3	t	tcl_t_q
KLS1	M	3	t	iy_tcl_f
KLS1	M	3	t	n_tcl_t
KLS1	M	3	t	tcl_t_s
KLS1	M	3	t	ih_tcl_ch
