ID	Sex	DR	Vowel	Context
LLL0	M	4	iy	sh_iy_hv
LLL0	M	4	iy	r_iy_z
LLL0	M	4	iy	z_iy_w
LLL0	M	4	iy	m_iy_dx
LLL0	M	4	iy	dx_iy_kcl
LLL0	M	4	iy	r_iy_ix
LLL0	M	4	iy	l_iy_r
LLL0	M	4	iy	dh_iy_s
LLL0	M	4	iy	sh_iy_w
LLL0	M	4	iy	axr_iy_nx
LLL0	M	4	iy	dx_iy_nx
LLL0	M	4	iy	m_iy_tcl
LLL0	M	4	iy	w_iy_ng
LLL0	M	4	iy	r_iy_n
LLL0	M	4	iy	l_iy_pcl
LLL0	M	4	iy	p_iy_n
LLL0	M	4	ae	nx_ae_s
LLL0	M	4	ae	r_ae_gcl
LLL0	M	4	ae	dh_ae_tcl
LLL0	M	4	ae	nx_ae_m
LLL0	M	4	ae	k_ae_ix
LLL0	M	4	ae	l_ae_n
LLL0	M	4	aa	d_aa_r
LLL0	M	4	aa	w_aa_sh
LLL0	M	4	aa	q_aa_r
LLL0	M	4	aa	n_aa_v
LLL0	M	4	uh	sh_uh_dcl
LLL0	M	4	uh	hv_uh_dcl
LLL0	M	4	b	m_bcl_b
LLL0	M	4	b	bcl_b_ih
LLL0	M	4	b	m_b_ux
LLL0	M	4	b	ay_bcl_b
LLL0	M	4	b	bcl_b_ay
LLL0	M	4	b	tcl_b_er
LLL0	M	4	b	ax_bcl_b
LLL0	M	4	b	bcl_b_ao
LLL0	M	4	b	er_bcl_s
LLL0	M	4	d	eh_dcl_d
LLL0	M	4	d	dcl_d_y
LLL0	M	4	d	axr_dcl_d
LLL0	M	4	d	dcl_d_aa
LLL0	M	4	d	ao_dx_axr
LLL0	M	4	d	h#_d_ow
LLL0	M	4	d	iy_dx_iy
LLL0	M	4	d	k_dh_ae
LLL0	M	4	d	ix_dh_iy
LLL0	M	4	d	ah_dh_er
LLL0	M	4	d	ax_dx_ax
LLL0	M	4	d	uh_dcl_sh
LLL0	M	4	d	h#_d_uw
LLL0	M	4	d	oy_dcl_p
LLL0	M	4	d	ah_dx_iy
LLL0	M	4	d	s_dh_ax
LLL0	M	4	d	eh_dx_ih
LLL0	M	4	d	n_dcl_d
LLL0	M	4	d	dcl_d_pcl
LLL0	M	4	d	uh_dcl_ax
LLL0	M	4	g	n_gcl_g
LLL0	M	4	g	gcl_g_r
LLL0	M	4	g	ae_gcl_g
LLL0	M	4	g	gcl_g_l
LLL0	M	4	g	ih_gcl_g
LLL0	M	4	g	gcl_g_y
LLL0	M	4	g	ah_ng_kcl
