ID	Sex	DR	Vowel	Context
MDH0	M	3	iy	sh_iy_hv
MDH0	M	3	iy	r_iy_z
MDH0	M	3	iy	z_iy_w
MDH0	M	3	iy	m_iy_tcl
MDH0	M	3	iy	l_iy_r
MDH0	M	3	iy	sh_iy_bcl
MDH0	M	3	iy	nx_iy_ix
MDH0	M	3	iy	r_iy_s
MDH0	M	3	iy	sh_iy_s
MDH0	M	3	iy	r_iy_l
MDH0	M	3	iy	b_iy_kcl
MDH0	M	3	iy	l_iy_dh
MDH0	M	3	iy	dx_iy_h#
MDH0	M	3	iy	l_iy_pcl
MDH0	M	3	iy	l_iy_q
MDH0	M	3	ae	n_ae_s
MDH0	M	3	ae	q_ae_n
MDH0	M	3	ae	r_ae_gcl
MDH0	M	3	ae	dh_ae_tcl
MDH0	M	3	ae	q_ae_n
MDH0	M	3	ae	dh_ae_tcl
MDH0	M	3	ae	g_ae_n
MDH0	M	3	ae	r_ae_nx
MDH0	M	3	aa	d_aa_r
MDH0	M	3	aa	b_aa_dx
MDH0	M	3	aa	n_aa_tcl
MDH0	M	3	aa	g_aa_r
MDH0	M	3	aa	q_aa_r
MDH0	M	3	aa	k_aa_m
MDH0	M	3	aa	t_aa_r
MDH0	M	3	aa	p_aa_pcl
MDH0	M	3	uh	y_uh_r
MDH0	M	3	uh	n_uh_tcl
MDH0	M	3	uh	p_uh_tcl
MDH0	M	3	uh	hv_uh_kcl
MDH0	M	3	b	iy_bcl_b
MDH0	M	3	b	bcl_b_l
MDH0	M	3	b	kcl_b_aa
MDH0	M	3	b	m_bcl_b
MDH0	M	3	b	bcl_b_er
MDH0	M	3	b	l_bcl_b
MDH0	M	3	b	bcl_b_oy
MDH0	M	3	b	el_bcl_b
MDH0	M	3	b	bcl_b_iy
MDH0	M	3	b	ax_bcl_t
MDH0	M	3	b	sh_bcl_b
MDH0	M	3	b	bcl_b_ih
MDH0	M	3	d	eh_dcl_y
MDH0	M	3	d	r_dcl_d
MDH0	M	3	d	dcl_d_aa
MDH0	M	3	d	ao_dx_er
MDH0	M	3	d	h#_d_ow
MDH0	M	3	d	kcl_dh_ae
MDH0	M	3	d	n_dh_ix
MDH0	M	3	d	aa_dx_el
MDH0	M	3	d	h#_dh_er
MDH0	M	3	d	l_dcl_d
MDH0	M	3	d	dcl_d_axr
MDH0	M	3	d	r_dcl_ih
MDH0	M	3	d	eh_dcl_d
MDH0	M	3	d	dcl_d_ix
MDH0	M	3	d	z_dh_ae
MDH0	M	3	d	tcl_d_eh
MDH0	M	3	d	r_dx_ax
MDH0	M	3	d	ax_dcl_jh
MDH0	M	3	d	h#_dh_ax
MDH0	M	3	d	tcl_dh_ax
MDH0	M	3	d	iy_dh_ih
MDH0	M	3	d	r_dx_ih
MDH0	M	3	d	axr_dx_iy
MDH0	M	3	d	h#_dh_ax
MDH0	M	3	d	n_dh_ax
MDH0	M	3	d	ah_dh_ax
MDH0	M	3	g	n_gcl_g
MDH0	M	3	g	gcl_g_r
MDH0	M	3	g	ae_gcl_l
MDH0	M	3	g	ix_gcl_g
MDH0	M	3	g	gcl_g_aa
MDH0	M	3	g	ix_ng_kcl
MDH0	M	3	g	ih_gcl_g
MDH0	M	3	g	gcl_g_ae
MDH0	M	3	p	sh_epi_w
MDH0	M	3	p	ow_pcl_p
MDH0	M	3	p	pcl_p_ax
MDH0	M	3	p	s_pcl_p
MDH0	M	3	p	pcl_p_ey
MDH0	M	3	p	v_pcl_p
MDH0	M	3	p	pcl_p_r
MDH0	M	3	p	s_pau_s
MDH0	M	3	p	s_epi_m
MDH0	M	3	p	oy_pcl_p
MDH0	M	3	p	pcl_p_uh
MDH0	M	3	p	m_pcl_p
MDH0	M	3	p	pcl_p_l
MDH0	M	3	p	m_pcl_p
MDH0	M	3	p	pcl_p_aa
MDH0	M	3	p	aa_pcl_p
MDH0	M	3	p	pcl_p_y
MDH0	M	3	p	iy_pcl_f
MDH0	M	3	p	s_epi_m
MDH0	M	3	t	ux_tcl_q
MDH0	M	3	t	iy_tcl_t
MDH0	M	3	t	tcl_t_ix
MDH0	M	3	t	ae_tcl_t
MDH0	M	3	t	tcl_t_h#
MDH0	M	3	t	ah_tcl_t
MDH0	M	3	t	tcl_t_ih
MDH0	M	3	t	aa_tcl_s
MDH0	M	3	t	s_tcl_t
MDH0	M	3	t	tcl_t_ix
MDH0	M	3	t	s_tcl_t
MDH0	M	3	t	tcl_t_ix
MDH0	M	3	t	s_tcl_n
MDH0	M	3	t	ae_tcl_d
MDH0	M	3	t	uh_tcl_t
MDH0	M	3	t	tcl_t_h#
MDH0	M	3	t	n_tcl_t
MDH0	M	3	t	tcl_t_eh
MDH0	M	3	t	uh_tcl_dh
MDH0	M	3	t	ah_tcl_ch
MDH0	M	3	t	s_tcl_t
MDH0	M	3	t	tcl_t_eh
MDH0	M	3	t	sh_tcl_t
MDH0	M	3	t	tcl_t_aa
MDH0	M	3	t	bcl_t_ey
MDH0	M	3	t	n_tcl_t
MDH0	M	3	t	tcl_t_ax
MDH0	M	3	k	r_kcl_k
MDH0	M	3	k	kcl_k_s
MDH0	M	3	k	s_kcl_m
MDH0	M	3	k	ix_kcl_k
MDH0	M	3	k	kcl_k_ih
MDH0	M	3	k	ay_kcl_dh
MDH0	M	3	k	ix_kcl_k
MDH0	M	3	k	kcl_k_ow
MDH0	M	3	k	ow_kcl_b
MDH0	M	3	k	ng_kcl_k
MDH0	M	3	k	kcl_k_r
MDH0	M	3	k	uh_kcl_k
MDH0	M	3	k	kcl_k_h#
MDH0	M	3	k	iy_kcl_k
MDH0	M	3	k	kcl_k_ah
MDH0	M	3	k	eh_kcl_k
MDH0	M	3	k	kcl_k_aa
MDH0	M	3	k	ih_kcl_k
MDH0	M	3	k	kcl_k_l
MDH0	M	3	k	ey_kcl_k
MDH0	M	3	k	kcl_k_h#
MDH0	M	3	s	h#_sh_iy
MDH0	M	3	s	k_s_ux
MDH0	M	3	s	ao_sh_epi
MDH0	M	3	s	ae_s_kcl
MDH0	M	3	s	h#_sh_iy
MDH0	M	3	s	ih_sh_ux
MDH0	M	3	s	tcl_s_pcl
MDH0	M	3	s	ey_s_tcl
MDH0	M	3	s	r_s_tcl
MDH0	M	3	s	iy_s_tcl
MDH0	M	3	s	axr_s_h#
MDH0	M	3	s	eh_s_pau
MDH0	M	3	s	pau_s_er
MDH0	M	3	s	er_sh_iy
MDH0	M	3	s	iy_s_eh
MDH0	M	3	s	ih_sh_ix
MDH0	M	3	s	n_s_q
MDH0	M	3	s	ax_s_epi
MDH0	M	3	s	el_s_h#
MDH0	M	3	s	ow_s_tcl
MDH0	M	3	s	ih_sh_tcl
MDH0	M	3	s	ih_s_q
MDH0	M	3	s	ih_sh_bcl
MDH0	M	3	s	ax_s_er
MDH0	M	3	s	ah_s_q
MDH0	M	3	s	ax_s_epi
MDH0	M	3	z	iy_z_iy
MDH0	M	3	z	ow_z_ao
MDH0	M	3	z	ih_z_n
MDH0	M	3	z	ih_z_ax
MDH0	M	3	z	ih_z_dh
MDH0	M	3	z	ih_z_f
MDH0	M	3	z	ow_z_ih
MDH0	M	3	sh	h#_sh_iy
MDH0	M	3	sh	ao_sh_epi
MDH0	M	3	sh	h#_sh_iy
MDH0	M	3	sh	ih_sh_ux
MDH0	M	3	sh	er_sh_iy
MDH0	M	3	sh	ih_sh_ix
MDH0	M	3	sh	ih_sh_tcl
MDH0	M	3	sh	ih_sh_bcl
MDH0	M	3	dh	kcl_dh_ae
MDH0	M	3	dh	n_dh_ix
MDH0	M	3	dh	h#_dh_er
MDH0	M	3	dh	z_dh_ae
MDH0	M	3	dh	h#_dh_ax
MDH0	M	3	dh	tcl_dh_ax
MDH0	M	3	dh	iy_dh_ih
MDH0	M	3	dh	h#_dh_ax
MDH0	M	3	dh	n_dh_ax
MDH0	M	3	dh	ah_dh_ax
MDH0	M	3	f	axr_f_ao
MDH0	M	3	f	eh_f_ax
MDH0	M	3	f	ax_f_ih
MDH0	M	3	f	z_f_axr
MDH0	M	3	f	n_f_y
MDH0	M	3	f	ax_f_ih
