ID	Sex	DR	Vowel	Context
MJR0	M	3	iy	sh_iy_hv
MJR0	M	3	iy	r_iy_pau
MJR0	M	3	iy	l_iy_m
MJR0	M	3	iy	w_iy_t
MJR0	M	3	iy	n_iy_z
MJR0	M	3	iy	dh_iy_ng
MJR0	M	3	iy	r_iy_dx
MJR0	M	3	iy	dx_iy_ix
MJR0	M	3	iy	g_iy_s
MJR0	M	3	iy	dh_iy_sh
MJR0	M	3	iy	b_iy_ow
MJR0	M	3	ae	hv_ae_dcl
MJR0	M	3	ae	n_ae_s
MJR0	M	3	ae	k_ae_r
MJR0	M	3	ae	r_ae_gcl
MJR0	M	3	ae	dh_ae_tcl
MJR0	M	3	ae	s_ae_pcl
MJR0	M	3	ae	g_ae_s
MJR0	M	3	ae	r_ae_dh
MJR0	M	3	ae	hv_ae_n
MJR0	M	3	ae	b_ae_er
MJR0	M	3	aa	d_aa_r
MJR0	M	3	aa	m_aa_r
MJR0	M	3	aa	hh_aa_r
MJR0	M	3	aa	l_aa_r
MJR0	M	3	aa	r_aa_bcl
MJR0	M	3	aa	p_aa_n
MJR0	M	3	aa	g_aa_r
MJR0	M	3	aa	n_aa_tcl
MJR0	M	3	aa	ch_aa_r
MJR0	M	3	uh	l_uh_kcl
MJR0	M	3	b	ih_bcl_b
MJR0	M	3	b	bcl_b_ih
MJR0	M	3	b	ux_bcl_b
MJR0	M	3	b	bcl_b_eh
MJR0	M	3	b	ax_bcl_b
MJR0	M	3	b	bcl_b_ay
MJR0	M	3	b	jh_bcl_b
MJR0	M	3	b	bcl_b_ow
MJR0	M	3	b	aa_bcl_b
MJR0	M	3	b	bcl_b_s
MJR0	M	3	b	pcl_b_ay
MJR0	M	3	b	h#_b_ey
MJR0	M	3	b	tcl_b_ay
MJR0	M	3	b	n_bcl_b
MJR0	M	3	b	bcl_b_iy
MJR0	M	3	b	ix_bcl_b
MJR0	M	3	b	bcl_b_ae
MJR0	M	3	d	ae_dcl_jh
MJR0	M	3	d	ix_dcl_d
MJR0	M	3	d	dcl_d_aa
MJR0	M	3	d	ao_dx_axr
MJR0	M	3	d	h#_d_ow
MJR0	M	3	d	ix_dcl_d
