ID	Sex	DR	Vowel	Context
MJU0	F	6	iy	sh_iy_hv
MJU0	F	6	iy	r_iy_s
MJU0	F	6	iy	s_iy_w
MJU0	F	6	iy	m_iy_dx
MJU0	F	6	iy	r_iy_ax
MJU0	F	6	iy	l_iy_r
MJU0	F	6	iy	l_iy_r
MJU0	F	6	iy	r_iy_m
MJU0	F	6	iy	m_iy_s
MJU0	F	6	iy	r_iy_kcl
MJU0	F	6	iy	s_iy_kcl
MJU0	F	6	iy	k_iy_ng
MJU0	F	6	iy	hv_iy_er
MJU0	F	6	ae	hv_ae_dcl
MJU0	F	6	ae	tcl_ae_s
MJU0	F	6	ae	r_ae_gcl
MJU0	F	6	ae	dh_ae_tcl
MJU0	F	6	ae	t_ae_tcl
MJU0	F	6	ae	sh_ae_l
MJU0	F	6	ae	q_ae_ng
MJU0	F	6	ae	k_ae_tcl
MJU0	F	6	ae	hh_ae_f
MJU0	F	6	ae	r_ae_dcl
MJU0	F	6	aa	d_aa_r
MJU0	F	6	aa	w_aa_sh
MJU0	F	6	aa	s_aa_l
MJU0	F	6	aa	n_aa_n
MJU0	F	6	aa	r_aa_f
MJU0	F	6	aa	uw_aa_r
MJU0	F	6	aa	b_aa_r
MJU0	F	6	uh	b_uh_kcl
MJU0	F	6	b	tcl_b_eh
MJU0	F	6	b	l_bcl_b
MJU0	F	6	b	bcl_b_el
MJU0	F	6	b	n_bcl_b
MJU0	F	6	b	bcl_b_uh
MJU0	F	6	b	h#_b_aa
MJU0	F	6	b	r_bcl_b
MJU0	F	6	b	bcl_b_z
MJU0	F	6	b	dcl_b_r
MJU0	F	6	b	ow_bcl_b
MJU0	F	6	b	bcl_b_er
MJU0	F	6	d	ae_dcl_d
MJU0	F	6	d	dcl_d_y
MJU0	F	6	d	er_dcl_d
MJU0	F	6	d	dcl_d_aa
MJU0	F	6	d	ao_dx_axr
MJU0	F	6	d	h#_d_ow
MJU0	F	6	d	iy_dx_ix
MJU0	F	6	d	k_dh_ae
MJU0	F	6	d	er_dcl_jh
MJU0	F	6	d	ix_dcl_d
MJU0	F	6	d	dcl_d_ey
MJU0	F	6	d	ey_dx_axr
MJU0	F	6	d	eh_dx_er
MJU0	F	6	d	aw_dx_axr
MJU0	F	6	d	eh_dcl_jh
MJU0	F	6	d	axr_dh_ix
MJU0	F	6	d	h#_dh_ax
MJU0	F	6	d	f_dh_eh
MJU0	F	6	d	l_dcl_b
