ID	Sex	DR	Vowel	Context
PAD0	F	6	iy	sh_iy_hv
PAD0	F	6	iy	r_iy_s
PAD0	F	6	iy	s_iy_w
PAD0	F	6	iy	z_iy_ix
PAD0	F	6	iy	w_iy_ng
PAD0	F	6	iy	hv_iy_pcl
PAD0	F	6	iy	d_iy_l
PAD0	F	6	iy	t_iy_s
PAD0	F	6	iy	l_iy_ix
PAD0	F	6	iy	nx_iy_ih
PAD0	F	6	iy	n_iy_dcl
PAD0	F	6	ae	hv_ae_dcl
PAD0	F	6	ae	t_ae_s
PAD0	F	6	ae	k_ae_r
PAD0	F	6	ae	r_ae_gcl
PAD0	F	6	ae	dh_ae_q
PAD0	F	6	ae	k_ae_m
PAD0	F	6	ae	ay_ae_n
PAD0	F	6	ae	l_ae_m
PAD0	F	6	ae	p_ae_n
PAD0	F	6	aa	d_aa_r
PAD0	F	6	aa	w_aa_sh
PAD0	F	6	aa	q_aa_r
PAD0	F	6	aa	q_aa_r
PAD0	F	6	aa	t_aa_m
PAD0	F	6	aa	l_aa_r
PAD0	F	6	aa	r_aa_bcl
PAD0	F	6	aa	k_aa_s
PAD0	F	6	b	h#_b_ay
PAD0	F	6	b	ow_bcl_b
PAD0	F	6	b	bcl_b_r
PAD0	F	6	b	n_bcl_b
PAD0	F	6	b	bcl_b_ay
PAD0	F	6	b	aa_bcl_b
PAD0	F	6	b	bcl_b_l
PAD0	F	6	d	ae_dcl_d
PAD0	F	6	d	dcl_d_y
PAD0	F	6	d	er_dcl_d
PAD0	F	6	d	dcl_d_aa
PAD0	F	6	d	ao_dx_er
PAD0	F	6	d	h#_d_ow
PAD0	F	6	d	kcl_dh_ae
PAD0	F	6	d	ih_dcl_d
PAD0	F	6	d	dcl_d_er
PAD0	F	6	d	ih_dcl_d
PAD0	F	6	d	dcl_d_ih
PAD0	F	6	d	ey_dcl_d
PAD0	F	6	d	dcl_d_h#
PAD0	F	6	d	h#_dh_ih
PAD0	F	6	d	ay_dcl_d
