ID	Sex	DR	Vowel	Context
PAM0	M	8	iy	sh_iy_hv
PAM0	M	8	iy	r_iy_s
PAM0	M	8	iy	s_iy_w
PAM0	M	8	iy	r_iy_ih
PAM0	M	8	iy	l_iy_r
PAM0	M	8	iy	f_iy_l
PAM0	M	8	iy	hh_iy_r
PAM0	M	8	iy	l_iy_pcl
PAM0	M	8	iy	el_iy_w
PAM0	M	8	iy	l_iy_v
PAM0	M	8	iy	n_iy_f
PAM0	M	8	iy	r_iy_f
PAM0	M	8	iy	sh_iy_s
PAM0	M	8	iy	t_iy_pcl
PAM0	M	8	iy	b_iy_f
PAM0	M	8	iy	z_iy_h#
PAM0	M	8	iy	z_iy_z
PAM0	M	8	iy	er_iy_y
PAM0	M	8	iy	s_iy_ae
PAM0	M	8	ae	hv_ae_dcl
PAM0	M	8	ae	nx_ae_s
PAM0	M	8	ae	r_ae_gcl
PAM0	M	8	ae	dh_ae_tcl
PAM0	M	8	ae	k_ae_pcl
PAM0	M	8	ae	er_ae_ng
PAM0	M	8	ae	iy_ae_dx
PAM0	M	8	ae	p_ae_m
PAM0	M	8	aa	d_aa_r
PAM0	M	8	aa	w_aa_sh
PAM0	M	8	aa	er_aa_r
PAM0	M	8	aa	el_aa_sh
PAM0	M	8	uh	sh_uh_dx
PAM0	M	8	b	ah_bcl_d
PAM0	M	8	b	ax_bcl_b
PAM0	M	8	b	bcl_b_r
PAM0	M	8	b	f_bcl_b
PAM0	M	8	b	bcl_b_er
PAM0	M	8	b	en_bcl_b
PAM0	M	8	b	bcl_b_iy
PAM0	M	8	d	ae_dcl_jh
PAM0	M	8	d	axr_dcl_d
PAM0	M	8	d	dcl_d_aa
PAM0	M	8	d	ux_dx_ix
PAM0	M	8	d	ao_dx_er
PAM0	M	8	d	h#_d_ow
PAM0	M	8	d	ih_dx_ih
PAM0	M	8	d	kcl_dh_ae
PAM0	M	8	d	l_dcl_g
PAM0	M	8	d	axr_dx_ix
PAM0	M	8	d	bcl_d_ih
PAM0	M	8	d	ux_dcl_jh
PAM0	M	8	d	n_dcl_t
PAM0	M	8	d	n_d_er
PAM0	M	8	d	l_dcl_er
PAM0	M	8	d	uh_dx_ax
PAM0	M	8	d	oy_dcl_d
PAM0	M	8	d	dcl_d_ix
PAM0	M	8	d	ey_dcl_jh
PAM0	M	8	d	s_dcl_d
PAM0	M	8	d	dcl_d_ix
PAM0	M	8	d	eh_dh_er
PAM0	M	8	d	ae_dx_el
PAM0	M	8	d	z_dcl_d
PAM0	M	8	d	dcl_d_r
PAM0	M	8	d	z_dcl_d
PAM0	M	8	d	dcl_d_ey
PAM0	M	8	g	ix_ng_gcl
PAM0	M	8	g	ng_gcl_g
PAM0	M	8	g	gcl_g_r
PAM0	M	8	g	ae_gcl_g
PAM0	M	8	g	gcl_g_l
PAM0	M	8	g	dcl_g_ah
PAM0	M	8	g	ae_ng_kcl
PAM0	M	8	g	ah_ng_tcl
PAM0	M	8	g	f_gcl_g
PAM0	M	8	g	gcl_g_el
PAM0	M	8	g	m_gcl_g
PAM0	M	8	g	gcl_g_ih
PAM0	M	8	g	ix_ng_l
PAM0	M	8	p	sh_epi_w
PAM0	M	8	p	ae_pcl_ch
PAM0	M	8	p	n_pcl_p
PAM0	M	8	p	pcl_p_ax
PAM0	M	8	p	iy_pcl_p
PAM0	M	8	p	pcl_p_el
PAM0	M	8	p	jh_pcl_p
PAM0	M	8	p	pcl_p_ao
PAM0	M	8	p	v_pau_ix
PAM0	M	8	p	ah_pcl_p
PAM0	M	8	p	pcl_p_er
PAM0	M	8	p	ih_pcl_t
PAM0	M	8	p	s_pcl_p
PAM0	M	8	p	pcl_p_r
PAM0	M	8	p	iy_pcl_s
PAM0	M	8	p	ow_pcl_p
PAM0	M	8	p	pcl_p_h#
PAM0	M	8	p	s_pcl_p
PAM0	M	8	p	pcl_p_ow
PAM0	M	8	p	er_pcl_p
PAM0	M	8	p	pcl_p_r
PAM0	M	8	p	h#_p_ae
PAM0	M	8	t	ae_tcl_t
PAM0	M	8	t	tcl_t_h#
PAM0	M	8	t	ey_tcl_f
PAM0	M	8	t	ix_th_w
PAM0	M	8	t	dcl_t_w
PAM0	M	8	t	ih_tcl_ch
PAM0	M	8	t	ch_tcl_t
PAM0	M	8	t	tcl_t_hh
PAM0	M	8	t	er_tcl_s
PAM0	M	8	t	l_tcl_t
PAM0	M	8	t	tcl_t_ax
PAM0	M	8	t	pcl_t_en
PAM0	M	8	t	s_tcl_t
PAM0	M	8	t	tcl_t_iy
PAM0	M	8	t	ng_tcl_ch
PAM0	M	8	t	er_tcl_t
PAM0	M	8	t	tcl_t_ax-h
PAM0	M	8	t	n_tcl_t
PAM0	M	8	t	tcl_t_ey
PAM0	M	8	t	n_th_er
PAM0	M	8	k	r_kcl_k
PAM0	M	8	k	kcl_k_s
PAM0	M	8	k	s_kcl_m
PAM0	M	8	k	ih_kcl_k
PAM0	M	8	k	kcl_k_eh
PAM0	M	8	k	ay_kcl_dh
