ID	Sex	DR	Vowel	Context
PGH0	M	1	iy	r_iy_s
PGH0	M	1	iy	r_iy_ix
PGH0	M	1	iy	l_iy_r
PGH0	M	1	iy	th_iy_ng
PGH0	M	1	iy	b_iy_tcl
PGH0	M	1	iy	dx_iy_z
PGH0	M	1	iy	l_iy_pau
PGH0	M	1	iy	l_iy_dh
PGH0	M	1	iy	l_iy_s
PGH0	M	1	iy	f_iy_tcl
PGH0	M	1	iy	h#_iy_v
PGH0	M	1	iy	l_iy_gcl
PGH0	M	1	iy	w_iy_s
PGH0	M	1	iy	b_iy_kcl
PGH0	M	1	iy	l_iy_sh
PGH0	M	1	ae	hv_ae_dcl
PGH0	M	1	ae	nx_ae_s
PGH0	M	1	ae	r_ae_gcl
PGH0	M	1	ae	dh_ae_tcl
PGH0	M	1	ae	r_ae_tcl
PGH0	M	1	ae	r_ae_tcl
PGH0	M	1	ae	t_ae_dcl
PGH0	M	1	ae	axr_ae_s
PGH0	M	1	aa	d_aa_kcl
PGH0	M	1	aa	w_aa_sh
PGH0	M	1	aa	uh_aa_l
PGH0	M	1	aa	p_aa_s
PGH0	M	1	aa	l_aa_dcl
PGH0	M	1	aa	eh_aa_axr
PGH0	M	1	aa	p_aa_s
PGH0	M	1	aa	v_aa_r
PGH0	M	1	aa	k_aa_tcl
PGH0	M	1	uh	jh_uh_dcl
PGH0	M	1	uh	d_uh_nx
PGH0	M	1	uh	ch_uh_aa
PGH0	M	1	b	pau_b_iy
PGH0	M	1	b	h#_b_ow
PGH0	M	1	b	s_bcl_b
PGH0	M	1	b	bcl_b_el
PGH0	M	1	b	pau_b_ax
PGH0	M	1	b	ax-h_bcl_b
PGH0	M	1	b	bcl_b_el
PGH0	M	1	b	ey_bcl_b
PGH0	M	1	b	bcl_b_l
PGH0	M	1	b	s_bcl_b
PGH0	M	1	b	bcl_b_iy
PGH0	M	1	d	ae_dcl_jh
PGH0	M	1	d	uh_dcl_d
PGH0	M	1	d	dcl_d_aa
PGH0	M	1	d	ao_dx_axr
PGH0	M	1	d	h#_d_uh
PGH0	M	1	d	ix_dx_ix
PGH0	M	1	d	kcl_dh_ae
PGH0	M	1	d	h#_dh_ey
PGH0	M	1	d	ix_dcl_n
PGH0	M	1	d	n_dcl_d
PGH0	M	1	d	dcl_d_z
PGH0	M	1	d	r_dcl_n
PGH0	M	1	d	ey_dcl_n
PGH0	M	1	d	en_dcl_z
PGH0	M	1	d	ix_dx_iy
PGH0	M	1	d	aa_dcl_jh
PGH0	M	1	d	iy_dh_eh
PGH0	M	1	d	h#_dh_ey
PGH0	M	1	d	ih_dx_er
PGH0	M	1	d	ae_dcl_p
PGH0	M	1	d	tcl_dh_ax
PGH0	M	1	d	n_d_ey
PGH0	M	1	d	ax_dh_ow
PGH0	M	1	d	ix_dcl_jh
PGH0	M	1	d	en_dh_ix
PGH0	M	1	d	ix_dcl_jh
PGH0	M	1	g	en_gcl_g
PGH0	M	1	g	gcl_g_r
PGH0	M	1	g	ae_gcl_l
PGH0	M	1	g	iy_ng_pau
PGH0	M	1	g	iy_gcl_g
PGH0	M	1	g	gcl_g_eh
PGH0	M	1	g	ow_ng_w
PGH0	M	1	p	sh_epi_w
PGH0	M	1	p	ow_pcl_p
PGH0	M	1	p	pcl_p_ih
PGH0	M	1	p	z_pau_v
PGH0	M	1	p	ng_pau_b
PGH0	M	1	p	ax_pcl_p
PGH0	M	1	p	pcl_p_aa
PGH0	M	1	p	iy_pau_b
PGH0	M	1	p	ax_pcl_p
PGH0	M	1	p	pcl_p_r
PGH0	M	1	p	m_pcl_p
PGH0	M	1	p	pcl_p_aa
PGH0	M	1	p	m_pcl_p
PGH0	M	1	p	pcl_p_l
PGH0	M	1	p	m_epi_z
PGH0	M	1	p	dcl_p_el
PGH0	M	1	p	eh_pcl_p
PGH0	M	1	p	pcl_p_tcl
PGH0	M	1	p	s_epi_m
PGH0	M	1	p	h#_p_l
PGH0	M	1	t	ae_tcl_h#
PGH0	M	1	t	n_tcl_t
PGH0	M	1	t	tcl_t_ih
PGH0	M	1	t	ah_th_iy
PGH0	M	1	t	iy_tcl_t
PGH0	M	1	t	tcl_t_r
PGH0	M	1	t	ow_th_ax
PGH0	M	1	t	ae_tcl_t
PGH0	M	1	t	tcl_t_kcl
PGH0	M	1	t	ih_tcl_s
PGH0	M	1	t	r_tcl_t
PGH0	M	1	t	tcl_t_ay
PGH0	M	1	t	aa_tcl_t
PGH0	M	1	t	tcl_t_uw
PGH0	M	1	t	iy_tcl_ch
PGH0	M	1	t	ae_tcl_ax
PGH0	M	1	t	ax_tcl_t
PGH0	M	1	t	tcl_t_ae
PGH0	M	1	t	eh_tcl_dh
PGH0	M	1	t	p_tcl_t
PGH0	M	1	t	tcl_t_en
PGH0	M	1	k	aa_kcl_k
PGH0	M	1	k	kcl_k_s
PGH0	M	1	k	s_kcl_k
PGH0	M	1	k	kcl_k_m
PGH0	M	1	k	ix_kcl_k
PGH0	M	1	k	kcl_k_eh
PGH0	M	1	k	ay_kcl_dh
PGH0	M	1	k	ix_kcl_k
PGH0	M	1	k	kcl_k_l
PGH0	M	1	k	t_kcl_k
PGH0	M	1	k	kcl_k_l
PGH0	M	1	k	ey_kcl_k
PGH0	M	1	k	kcl_k_en
PGH0	M	1	k	q_kcl_k
PGH0	M	1	k	kcl_k_aa
PGH0	M	1	k	s_kcl_k
PGH0	M	1	k	kcl_k_r
PGH0	M	1	k	ix_kcl_k
PGH0	M	1	k	kcl_k_ey
PGH0	M	1	k	iy_kcl_k
PGH0	M	1	k	kcl_k_eh
PGH0	M	1	k	s_kcl_k
PGH0	M	1	k	kcl_k_er
PGH0	M	1	s	h#_sh_ix
PGH0	M	1	s	k_s_uw
PGH0	M	1	s	iy_s_ix
PGH0	M	1	s	aa_sh_epi
PGH0	M	1	s	ae_s_kcl
PGH0	M	1	s	ow_sh_en
PGH0	M	1	s	aa_s_bcl
PGH0	M	1	s	aa_s_ax-h
PGH0	M	1	s	en_s_ih
PGH0	M	1	s	tcl_s_ih
PGH0	M	1	s	iy_s_ay
PGH0	M	1	s	ah_s_kcl
PGH0	M	1	s	ey_sh_en
PGH0	M	1	s	iy_s_ax
PGH0	M	1	s	h#_sh_ix
PGH0	M	1	s	ae_s_bcl
PGH0	M	1	s	en_s_epi
PGH0	M	1	s	iy_sh_ao
PGH0	M	1	s	ix_s_kcl
PGH0	M	1	s	oy_s_h#
PGH0	M	1	z	d_z_pau
PGH0	M	1	z	dcl_z_h#
PGH0	M	1	z	iy_z_ax
PGH0	M	1	z	epi_z_h#
PGH0	M	1	z	ix_z_ax
PGH0	M	1	z	uw_z_h#
PGH0	M	1	z	ix_z_ax
PGH0	M	1	z	l_z_ux
PGH0	M	1	z	ux_z_h#
PGH0	M	1	sh	h#_sh_ix
PGH0	M	1	sh	aa_sh_epi
PGH0	M	1	sh	ow_sh_en
PGH0	M	1	sh	ey_sh_en
PGH0	M	1	sh	h#_sh_ix
PGH0	M	1	sh	iy_sh_ao
PGH0	M	1	dh	kcl_dh_ae
PGH0	M	1	dh	h#_dh_ey
PGH0	M	1	dh	iy_dh_eh
PGH0	M	1	dh	h#_dh_ey
PGH0	M	1	dh	tcl_dh_ax
PGH0	M	1	dh	ax_dh_ow
PGH0	M	1	dh	en_dh_ix
PGH0	M	1	f	ao_f_ix
PGH0	M	1	f	n_f_iy
PGH0	M	1	f	q_f_ix
PGH0	M	1	v	ix_hv_ae
PGH0	M	1	v	pau_v_ao
PGH0	M	1	v	ax_v_eh
PGH0	M	1	v	ax_v_aa
PGH0	M	1	v	iy_v_ix
PGH0	M	1	v	ax_v_ay
PGH0	M	1	v	ay_v_h#
PGH0	M	1	jh	dcl_jh_uh
PGH0	M	1	jh	dcl_jh_ix
PGH0	M	1	jh	dcl_jh_axr
PGH0	M	1	jh	dcl_jh_oy
PGH0	M	1	ch	n_ch_uh
PGH0	M	1	ch	tcl_ch_ix
