ID	Sex	DR	Vowel	Context
PGR0	M	1	iy	sh_iy_eh
PGR0	M	1	iy	r_iy_s
PGR0	M	1	iy	s_iy_w
PGR0	M	1	iy	ch_iy_v
PGR0	M	1	iy	z_iy_n
PGR0	M	1	iy	v_iy_ih
PGR0	M	1	iy	m_iy_z
PGR0	M	1	iy	z_iy_n
PGR0	M	1	iy	dx_iy_z
PGR0	M	1	iy	z_iy_tcl
PGR0	M	1	iy	r_iy_ey
PGR0	M	1	iy	t_iy_s
PGR0	M	1	iy	s_iy_m
PGR0	M	1	iy	n_iy_dx
PGR0	M	1	ae	nx_ae_s
PGR0	M	1	ae	r_ae_gcl
PGR0	M	1	ae	dh_ae_tcl
PGR0	M	1	ae	r_ae_dcl
PGR0	M	1	ae	hv_ae_f
PGR0	M	1	ae	n_ae_r
PGR0	M	1	ae	z_ae_m
PGR0	M	1	ae	uw_ae_dcl
PGR0	M	1	ae	t_ae_tcl
PGR0	M	1	aa	d_aa_kcl
PGR0	M	1	aa	w_aa_sh
PGR0	M	1	aa	n_aa_tcl
PGR0	M	1	aa	k_aa_m
PGR0	M	1	aa	z_aa_hv
PGR0	M	1	aa	n_aa_dx
PGR0	M	1	uh	y_uh_dcl
PGR0	M	1	uh	k_uh_z
PGR0	M	1	b	pau_b_ay
PGR0	M	1	b	m_b_el
PGR0	M	1	b	ah_bcl_b
PGR0	M	1	b	bcl_b_l
PGR0	M	1	d	eh_dcl_d
PGR0	M	1	d	dcl_d_y
PGR0	M	1	d	uh_dcl_d
PGR0	M	1	d	dcl_d_aa
PGR0	M	1	d	ux_dx_ix
PGR0	M	1	d	ao_dx_er
PGR0	M	1	d	h#_d_ow
PGR0	M	1	d	ix_dx_ih
PGR0	M	1	d	kcl_dh_ae
PGR0	M	1	d	ih_dcl_d
PGR0	M	1	d	dcl_d_s
PGR0	M	1	d	ah_dx_ih
PGR0	M	1	d	ah_dx_ix
PGR0	M	1	d	ix_dx_ih
PGR0	M	1	d	ae_dcl_z
PGR0	M	1	d	l_dcl_d
PGR0	M	1	d	dcl_d_eh
PGR0	M	1	d	eh_dcl_h#
PGR0	M	1	d	h#_dh_ax
PGR0	M	1	d	ay_dcl_d
PGR0	M	1	d	dcl_d_w
PGR0	M	1	d	aa_dx_iy
PGR0	M	1	d	ey_dx_ix
PGR0	M	1	d	tcl_dh_ax
PGR0	M	1	d	s_dh_eh
PGR0	M	1	d	ae_dcl_h#
PGR0	M	1	d	ix_dh_ah
PGR0	M	1	d	iy_dx_el
PGR0	M	1	d	eh_dcl_h#
PGR0	M	1	d	h#_dh_ax
PGR0	M	1	d	eh_dcl_jh
PGR0	M	1	d	ix_dcl_jh
PGR0	M	1	d	ey_dx_ax
PGR0	M	1	d	ix_dcl_jh
PGR0	M	1	g	ix_ng_gcl
PGR0	M	1	g	ng_gcl_g
PGR0	M	1	g	gcl_g_r
PGR0	M	1	g	ae_gcl_g
PGR0	M	1	g	gcl_g_l
PGR0	M	1	g	eh_gcl_g
PGR0	M	1	g	gcl_g_z
PGR0	M	1	p	sh_epi_w
PGR0	M	1	p	s_epi_m
PGR0	M	1	p	z_pau_b
PGR0	M	1	p	z_epi_n
PGR0	M	1	p	ch_epi_n
PGR0	M	1	p	s_epi_n
PGR0	M	1	p	m_pcl_p
PGR0	M	1	p	pcl_p_el
PGR0	M	1	p	s_pcl_p
PGR0	M	1	p	pcl_p_uw
PGR0	M	1	p	z_pau_ax
PGR0	M	1	p	ih_pcl_p
PGR0	M	1	p	pcl_p_r
PGR0	M	1	p	z_pau_w
