ID	Sex	DR	Vowel	Context
PMY0	F	5	iy	sh_iy_hv
PMY0	F	5	iy	r_iy_s
PMY0	F	5	iy	m_iy_tcl
PMY0	F	5	iy	r_iy_q
PMY0	F	5	iy	l_iy_r
PMY0	F	5	iy	q_iy_dx
PMY0	F	5	iy	dx_iy_ng
PMY0	F	5	iy	l_iy_s
PMY0	F	5	iy	r_iy_n
PMY0	F	5	ae	hv_ae_dcl
PMY0	F	5	ae	q_ae_s
PMY0	F	5	ae	r_ae_gcl
PMY0	F	5	ae	dh_ae_tcl
PMY0	F	5	ae	q_ae_n
PMY0	F	5	ae	r_ae_s
PMY0	F	5	ae	q_ae_n
PMY0	F	5	ae	r_ae_n
PMY0	F	5	ae	tcl_ae_n
PMY0	F	5	ae	p_ae_n
PMY0	F	5	aa	d_aa_r
PMY0	F	5	aa	w_aa_sh
PMY0	F	5	aa	l_aa_dcl
PMY0	F	5	aa	q_aa_gcl
PMY0	F	5	aa	l_aa_r
PMY0	F	5	uh	y_uh_m
PMY0	F	5	b	ey_bcl_b
PMY0	F	5	b	bcl_b_el
PMY0	F	5	b	ah_bcl_s
PMY0	F	5	b	h#_b_ay
PMY0	F	5	b	ax_bcl_d
PMY0	F	5	b	dcl_b_ay
PMY0	F	5	b	z_bcl_b
PMY0	F	5	b	bcl_b_ih
PMY0	F	5	b	gcl_b_r
PMY0	F	5	d	ae_dcl_y
PMY0	F	5	d	er_dcl_d
PMY0	F	5	d	dcl_d_aa
PMY0	F	5	d	ao_dx_axr
PMY0	F	5	d	h#_d_ow
PMY0	F	5	d	kcl_dh_ae
PMY0	F	5	d	ay_dcl_d
PMY0	F	5	d	dcl_d_ih
PMY0	F	5	d	aa_dcl_jh
PMY0	F	5	d	pau_dh_ax
PMY0	F	5	d	n_dcl_t
PMY0	F	5	d	n_dcl_d
PMY0	F	5	d	dcl_d_er
PMY0	F	5	d	er_dh_ih
PMY0	F	5	d	h#_dh_ey
PMY0	F	5	d	aw_dcl_d
PMY0	F	5	d	dcl_d_uw
PMY0	F	5	d	iy_dx_iy
PMY0	F	5	d	h#_dh_ax
PMY0	F	5	d	en_dcl_ch
PMY0	F	5	d	z_dcl_jh
PMY0	F	5	d	bcl_d_ux
PMY0	F	5	d	ux_dcl_b
PMY0	F	5	d	ah_dh_axr
PMY0	F	5	d	s_dcl_d
