ID	Sex	DR	Vowel	Context
RAM1	F	2	iy	sh_iy_hv
RAM1	F	2	iy	r_iy_s
RAM1	F	2	iy	s_iy_w
RAM1	F	2	iy	m_iy_dx
RAM1	F	2	iy	r_iy_ix
RAM1	F	2	iy	l_iy_r
RAM1	F	2	iy	b_iy_ng
RAM1	F	2	iy	v_iy_ng
RAM1	F	2	iy	n_iy_tcl
RAM1	F	2	iy	s_iy_er
RAM1	F	2	iy	r_iy_ng
RAM1	F	2	iy	z_iy_ax
RAM1	F	2	iy	s_iy_s
RAM1	F	2	iy	s_iy_dx
RAM1	F	2	iy	dx_iy_ng
RAM1	F	2	iy	l_iy_h#
RAM1	F	2	iy	dh_iy_oy
RAM1	F	2	iy	dh_iy_ow
RAM1	F	2	iy	q_iy_tcl
RAM1	F	2	ae	hv_ae_dcl
RAM1	F	2	ae	nx_ae_s
RAM1	F	2	ae	r_ae_gcl
RAM1	F	2	ae	dh_ae_q
RAM1	F	2	ae	s_ae_m
RAM1	F	2	ae	q_ae_kcl
RAM1	F	2	ae	k_ae_m
RAM1	F	2	ae	n_ae_n
RAM1	F	2	ae	q_ae_f
RAM1	F	2	ae	ay_ae_dcl
RAM1	F	2	ae	d_ae_q
RAM1	F	2	aa	d_aa_r
RAM1	F	2	aa	r_aa_gcl
RAM1	F	2	aa	q_aa_r
RAM1	F	2	aa	r_aa_dcl
RAM1	F	2	aa	er_aa_zh
RAM1	F	2	aa	r_aa_bcl
RAM1	F	2	uh	w_uh_z
RAM1	F	2	uh	r_uh_z
RAM1	F	2	b	z_bcl_b
RAM1	F	2	b	bcl_b_iy
RAM1	F	2	b	pau_b_r
RAM1	F	2	b	aa_bcl_b
RAM1	F	2	b	bcl_b_l
RAM1	F	2	d	ae_dcl_jh
RAM1	F	2	d	axr_dcl_d
RAM1	F	2	d	dcl_d_aa
RAM1	F	2	d	ao_dx_er
RAM1	F	2	d	h#_d_ow
RAM1	F	2	d	iy_dx_ih
RAM1	F	2	d	kcl_dh_ae
RAM1	F	2	d	ay_dcl_z
RAM1	F	2	d	ax_dh_ax
RAM1	F	2	d	ey_dcl_t
RAM1	F	2	d	ow_dx_er
RAM1	F	2	d	ah_dh_er
RAM1	F	2	d	ey_dcl_z
RAM1	F	2	d	axr_dh_ix
RAM1	F	2	d	aa_dcl_jh
RAM1	F	2	d	kcl_d_ix
RAM1	F	2	d	iy_dx_iy
RAM1	F	2	d	v_dh_ix
RAM1	F	2	d	ae_dcl_dh
RAM1	F	2	d	dcl_dh_iy
RAM1	F	2	d	h#_dh_iy
RAM1	F	2	d	h#_d_ae
RAM1	F	2	d	ch_dcl_d
RAM1	F	2	d	dcl_d_ey
RAM1	F	2	g	n_gcl_g
RAM1	F	2	g	gcl_g_r
RAM1	F	2	g	ae_gcl_g
RAM1	F	2	g	gcl_g_l
RAM1	F	2	g	ih_ng_s
RAM1	F	2	g	aa_gcl_g
RAM1	F	2	g	gcl_g_r
RAM1	F	2	g	iy_ng_m
RAM1	F	2	g	iy_ng_m
RAM1	F	2	g	iy_ng_y
RAM1	F	2	g	ao_ng_tcl
RAM1	F	2	g	er_gcl_g
RAM1	F	2	g	gcl_g_r
RAM1	F	2	g	iy_ng_tcl
RAM1	F	2	g	em_gcl_g
RAM1	F	2	g	gcl_g_r
RAM1	F	2	g	ix_ng_q
RAM1	F	2	p	sh_pau_w
RAM1	F	2	p	tcl_p_er
RAM1	F	2	p	m_pcl_p
RAM1	F	2	p	pcl_p_l
RAM1	F	2	p	h#_p_r
RAM1	F	2	p	m_pcl_p
RAM1	F	2	p	pcl_p_r
RAM1	F	2	p	n_pcl_p
RAM1	F	2	p	pcl_p_ay
RAM1	F	2	p	z_pau_b
RAM1	F	2	p	m_epi_s
RAM1	F	2	p	h#_p_r
RAM1	F	2	p	z_pcl_p
RAM1	F	2	p	pcl_p_axr
RAM1	F	2	p	s_epi_l
RAM1	F	2	p	z_pcl_p
RAM1	F	2	p	pcl_p_r
RAM1	F	2	t	ih_tcl_p
RAM1	F	2	t	n_tcl_s
RAM1	F	2	t	dcl_t_ux
RAM1	F	2	t	s_tcl_t
RAM1	F	2	t	tcl_t_em
RAM1	F	2	t	iy_tcl_t
RAM1	F	2	t	tcl_t_er
RAM1	F	2	t	ng_tcl_t
RAM1	F	2	t	tcl_t_ix
RAM1	F	2	t	ng_tcl_t
RAM1	F	2	t	tcl_t_ux
RAM1	F	2	t	f_tcl_t
RAM1	F	2	t	tcl_t_er
RAM1	F	2	t	iy_tcl_ch
RAM1	F	2	k	r_kcl_k
RAM1	F	2	k	kcl_k_s
RAM1	F	2	k	s_kcl_k
RAM1	F	2	k	kcl_k_m
RAM1	F	2	k	ih_kcl_k
RAM1	F	2	k	kcl_k_eh
RAM1	F	2	k	ay_kcl_dh
RAM1	F	2	k	ae_kcl_k
RAM1	F	2	k	kcl_k_s
RAM1	F	2	k	ay_kcl_k
RAM1	F	2	k	kcl_k_s
RAM1	F	2	k	er_kcl_k
RAM1	F	2	k	kcl_k_ae
RAM1	F	2	k	ih_kcl_d
RAM1	F	2	k	ix_kcl_k
RAM1	F	2	k	kcl_k_ow
RAM1	F	2	s	h#_sh_iy
RAM1	F	2	s	k_s_ux
RAM1	F	2	s	iy_s_iy
RAM1	F	2	s	ao_sh_pau
RAM1	F	2	s	ae_s_kcl
RAM1	F	2	s	ax_s_ae
RAM1	F	2	s	ng_s_eh
RAM1	F	2	s	tcl_s_ax
RAM1	F	2	s	ax_s_h#
RAM1	F	2	s	ih_s_ix
RAM1	F	2	s	ih_s_q
RAM1	F	2	s	k_s_eh
RAM1	F	2	s	eh_s_tcl
RAM1	F	2	s	k_s_h#
RAM1	F	2	s	er_s_ay
RAM1	F	2	s	q_s_iy
RAM1	F	2	s	epi_s_h#
RAM1	F	2	s	n_s_iy
RAM1	F	2	s	iy_s_h#
RAM1	F	2	s	axr_s_iy
RAM1	F	2	s	ux_s_l
RAM1	F	2	s	h#_s_er
RAM1	F	2	s	l_s_epi
RAM1	F	2	s	ey_s_ih
RAM1	F	2	s	ih_s_w
RAM1	F	2	z	dcl_z_ix
RAM1	F	2	z	ix_z_bcl
RAM1	F	2	z	er_z_pau
RAM1	F	2	z	ux_z_iy
RAM1	F	2	z	dcl_z_hh
RAM1	F	2	z	uh_z_pcl
RAM1	F	2	z	ax_z_ax
RAM1	F	2	z	aa_zh_h#
RAM1	F	2	z	oy_z_pcl
RAM1	F	2	z	uh_z_m
RAM1	F	2	sh	h#_sh_iy
RAM1	F	2	sh	ao_sh_pau
RAM1	F	2	dh	kcl_dh_ae
RAM1	F	2	dh	ax_dh_ax
RAM1	F	2	dh	ah_dh_er
RAM1	F	2	dh	axr_dh_ix
RAM1	F	2	dh	v_dh_ix
RAM1	F	2	dh	dcl_dh_iy
RAM1	F	2	dh	h#_dh_iy
RAM1	F	2	f	ix_f_r
RAM1	F	2	f	m_f_ax
RAM1	F	2	f	ow_f_er
RAM1	F	2	f	ae_f_tcl
RAM1	F	2	v	iy_hv_ae
RAM1	F	2	v	er_v_ay
RAM1	F	2	v	uw_v_iy
RAM1	F	2	v	ix_v_eh
RAM1	F	2	v	er_v_dh
RAM1	F	2	jh	dcl_jh_y
