ID	Sex	DR	Vowel	Context
RDM0	M	8	iy	sh_iy_hv
RDM0	M	8	iy	r_iy_z
RDM0	M	8	iy	z_iy_w
RDM0	M	8	iy	l_iy_r
RDM0	M	8	iy	m_iy_ih
RDM0	M	8	iy	d_iy_aa
RDM0	M	8	iy	jh_iy_q
RDM0	M	8	iy	r_iy_z
RDM0	M	8	iy	v_iy_z
RDM0	M	8	iy	jh_iy_tcl
RDM0	M	8	ae	hv_ae_dcl
RDM0	M	8	ae	q_ae_s
RDM0	M	8	ae	r_ae_gcl
RDM0	M	8	ae	dh_ae_tcl
RDM0	M	8	ae	l_ae_dx
RDM0	M	8	ae	r_ae_n
RDM0	M	8	ae	n_ae_sh
RDM0	M	8	ae	hv_ae_v
RDM0	M	8	ae	ch_ae_l
RDM0	M	8	aa	d_aa_r
RDM0	M	8	aa	n_aa_m
RDM0	M	8	aa	w_aa_dx
RDM0	M	8	aa	iy_aa_l
RDM0	M	8	aa	q_aa_nx
RDM0	M	8	uh	w_uh_dx
RDM0	M	8	uh	b_uh_dx
RDM0	M	8	uh	w_uh_dcl
RDM0	M	8	b	pau_b_uh
RDM0	M	8	d	ae_dcl_y
RDM0	M	8	d	axr_dcl_d
RDM0	M	8	d	dcl_d_aa
RDM0	M	8	d	ao_dx_axr
RDM0	M	8	d	h#_d_ow
RDM0	M	8	d	ix_dx_ix
RDM0	M	8	d	kcl_dh_ae
RDM0	M	8	d	ix_dx_ih
RDM0	M	8	d	tcl_dh_ax
RDM0	M	8	d	uw_dcl_d
RDM0	M	8	d	dcl_d_l
RDM0	M	8	d	ae_dx_axr
RDM0	M	8	d	n_dcl_d
RDM0	M	8	d	dcl_d_aw
RDM0	M	8	d	n_d_ow
RDM0	M	8	d	uh_dx_en
RDM0	M	8	d	ah_dx_ax
RDM0	M	8	d	uh_dx_ax
RDM0	M	8	d	h#_dh_ax
RDM0	M	8	d	aa_dx_axr
RDM0	M	8	d	n_dcl_t
RDM0	M	8	d	h#_d_ix
RDM0	M	8	d	n_dcl_d
RDM0	M	8	d	dcl_d_uw
RDM0	M	8	d	ay_dcl_d
RDM0	M	8	d	dcl_d_iy
RDM0	M	8	d	ax_dcl_jh
RDM0	M	8	d	eh_dcl_w
RDM0	M	8	d	uh_dcl_d
RDM0	M	8	d	dcl_d_z
RDM0	M	8	d	n_dcl_z
RDM0	M	8	d	n_dcl_jh
RDM0	M	8	d	ch_dcl_jh
RDM0	M	8	d	ax_dcl_jh
RDM0	M	8	g	n_gcl_g
RDM0	M	8	g	gcl_g_r
RDM0	M	8	g	ae_gcl_g
RDM0	M	8	g	gcl_g_l
RDM0	M	8	g	ah_gcl_g
RDM0	M	8	g	gcl_g_ax
RDM0	M	8	g	ix_gcl_g
RDM0	M	8	g	gcl_g_eh
RDM0	M	8	g	ih_ng_gcl
RDM0	M	8	g	ng_gcl_el
RDM0	M	8	g	ah_ng_hv
RDM0	M	8	g	h#_g_ah
RDM0	M	8	p	sh_epi_w
RDM0	M	8	p	l_pau_t
RDM0	M	8	p	s_epi_l
RDM0	M	8	p	en_epi_z
RDM0	M	8	p	v_pau_b
RDM0	M	8	p	n_pau_ax
RDM0	M	8	p	ao_pcl_p
RDM0	M	8	p	pcl_p_ay
RDM0	M	8	p	z_pau_ax
RDM0	M	8	p	sh_epi_n
RDM0	M	8	p	z_epi_n
RDM0	M	8	p	f_epi_v
RDM0	M	8	t	ux_tcl_t
RDM0	M	8	t	tcl_t_q
RDM0	M	8	t	ae_tcl_h#
RDM0	M	8	t	s_tcl_t
RDM0	M	8	t	tcl_t_r
RDM0	M	8	t	pau_t_ax-h
RDM0	M	8	t	ey_tcl_dh
RDM0	M	8	t	s_tcl_t
RDM0	M	8	t	tcl_t_ix
RDM0	M	8	t	n_tcl_t
RDM0	M	8	t	tcl_t_r
RDM0	M	8	t	n_tcl_t
RDM0	M	8	t	tcl_t_ey
RDM0	M	8	t	dcl_t_ux
RDM0	M	8	t	ix_tcl_ch
RDM0	M	8	t	n_tcl_s
RDM0	M	8	t	s_tcl_t
RDM0	M	8	t	tcl_t_ah
RDM0	M	8	t	n_tcl_t
RDM0	M	8	t	tcl_t_r
RDM0	M	8	t	kcl_th_r
RDM0	M	8	t	s_tcl_t
RDM0	M	8	t	tcl_t_h#
RDM0	M	8	t	iy_tcl_ch
RDM0	M	8	t	n_tcl_t
RDM0	M	8	t	tcl_t_eh
RDM0	M	8	t	en_tcl_s
RDM0	M	8	k	r_kcl_k
RDM0	M	8	k	kcl_k_s
RDM0	M	8	k	s_kcl_m
RDM0	M	8	k	ix_kcl_k
RDM0	M	8	k	kcl_k_eh
RDM0	M	8	k	ay_kcl_dh
RDM0	M	8	k	ah_kcl_k
RDM0	M	8	k	kcl_k_r
RDM0	M	8	k	axr_kcl_k
RDM0	M	8	k	kcl_k_ix
RDM0	M	8	k	ch_kcl_k
RDM0	M	8	k	kcl_k_l
RDM0	M	8	k	axr_kcl_k
RDM0	M	8	k	kcl_k_aw
RDM0	M	8	k	ao_kcl_th
RDM0	M	8	k	ix_kcl_k
RDM0	M	8	k	kcl_k_oy
RDM0	M	8	s	h#_sh_iy
RDM0	M	8	s	k_s_ux
RDM0	M	8	s	ao_sh_epi
RDM0	M	8	s	ae_s_kcl
RDM0	M	8	s	n_sh_el
RDM0	M	8	s	ah_s_ow
RDM0	M	8	s	ow_sh_ey
RDM0	M	8	s	ey_sh_ax
RDM0	M	8	s	n_s_tcl
RDM0	M	8	s	n_s_epi
RDM0	M	8	s	m_s_eh
RDM0	M	8	s	n_s_tcl
RDM0	M	8	s	ax_s_ih
RDM0	M	8	s	ax_s_ih
RDM0	M	8	s	ax_s_ih
RDM0	M	8	s	tcl_s_tcl
RDM0	M	8	s	ah_s_ao
RDM0	M	8	s	ux_s_ix
RDM0	M	8	s	ae_sh_epi
RDM0	M	8	s	ax_s_tcl
RDM0	M	8	s	tcl_s_h#
RDM0	M	8	z	iy_z_iy
RDM0	M	8	z	eh_z_ix
RDM0	M	8	z	v_z_ix
RDM0	M	8	z	ux_zh_en
RDM0	M	8	z	epi_z_h#
RDM0	M	8	z	ih_z_n
RDM0	M	8	z	ix_z_h#
RDM0	M	8	z	ix_z_ay
RDM0	M	8	z	ay_z_h#
RDM0	M	8	z	ix_z_hh
RDM0	M	8	z	aw_z_h#
RDM0	M	8	z	iy_z_ih
RDM0	M	8	z	d_z_pau
RDM0	M	8	z	ix_z_w
RDM0	M	8	z	iy_z_epi
RDM0	M	8	z	dcl_z_h#
RDM0	M	8	z	el_z_ax
RDM0	M	8	sh	h#_sh_iy
RDM0	M	8	sh	ao_sh_epi
RDM0	M	8	sh	n_sh_el
RDM0	M	8	sh	ow_sh_ey
RDM0	M	8	sh	ey_sh_ax
RDM0	M	8	sh	ae_sh_epi
RDM0	M	8	dh	kcl_dh_ae
RDM0	M	8	dh	tcl_dh_ax
RDM0	M	8	dh	h#_dh_ax
RDM0	M	8	f	en_f_l
RDM0	M	8	f	el_f_ao
RDM0	M	8	f	ah_f_epi
RDM0	M	8	v	iy_hv_ae
RDM0	M	8	v	l_v_z
RDM0	M	8	v	ey_v_pau
RDM0	M	8	v	ng_hv_ix
RDM0	M	8	v	uw_v_iy
RDM0	M	8	v	eh_v_axr
RDM0	M	8	v	axr_hv_ae
RDM0	M	8	v	ae_v_ax
RDM0	M	8	v	epi_v_ih
RDM0	M	8	jh	dcl_jh_iy
RDM0	M	8	jh	dcl_jh_iy
RDM0	M	8	jh	dcl_jh_eh
RDM0	M	8	jh	dcl_jh_en
RDM0	M	8	ch	tcl_ch_kcl
RDM0	M	8	ch	h#_ch_ae
RDM0	M	8	ch	tcl_ch_dcl
