ID	Sex	DR	Vowel	Context
RJS0	M	6	iy	sh_iy_eh
RJS0	M	6	iy	r_iy_s
RJS0	M	6	iy	s_iy_w
RJS0	M	6	iy	r_iy_ix
RJS0	M	6	iy	l_iy_r
RJS0	M	6	iy	r_iy_ix
RJS0	M	6	iy	el_iy_w
RJS0	M	6	iy	m_iy_aw
RJS0	M	6	iy	w_iy_z
RJS0	M	6	iy	er_iy_ix
RJS0	M	6	iy	h#_iy_tcl
RJS0	M	6	iy	l_iy_ix
RJS0	M	6	iy	hv_iy_dx
RJS0	M	6	iy	dx_iy_ng
RJS0	M	6	iy	nx_iy_bcl
RJS0	M	6	iy	n_iy_ae
RJS0	M	6	iy	r_iy_tcl
RJS0	M	6	ae	nx_ae_s
RJS0	M	6	ae	k_ae_r
RJS0	M	6	ae	r_ae_gcl
RJS0	M	6	ae	dh_ae_tcl
RJS0	M	6	ae	k_ae_tcl
RJS0	M	6	ae	k_ae_n
RJS0	M	6	ae	iy_ae_z
RJS0	M	6	aa	d_aa_r
RJS0	M	6	aa	w_aa_sh
RJS0	M	6	aa	s_aa_l
RJS0	M	6	aa	hh_aa_kcl
RJS0	M	6	aa	z_aa_z
RJS0	M	6	aa	p_aa_r
RJS0	M	6	aa	hv_aa_r
RJS0	M	6	aa	k_aa_m
RJS0	M	6	b	ah_bcl_s
RJS0	M	6	b	ah_bcl_s
RJS0	M	6	b	dh_b_ay
RJS0	M	6	b	ix_bcl_b
RJS0	M	6	b	bcl_b_r
RJS0	M	6	b	iy_bcl_b
RJS0	M	6	b	bcl_b_ay
RJS0	M	6	d	eh_dcl_y
RJS0	M	6	d	er_dcl_d
RJS0	M	6	d	dcl_d_aa
RJS0	M	6	d	ah_dx_axr
RJS0	M	6	d	h#_d_ow
RJS0	M	6	d	ix_dx_ix
RJS0	M	6	d	kcl_dh_ae
RJS0	M	6	d	ah_dh_axr
RJS0	M	6	d	z_dcl_d
RJS0	M	6	d	dcl_d_aw
RJS0	M	6	d	ay_dx_ix
RJS0	M	6	d	ng_dh_ix
RJS0	M	6	d	ay_dcl_d
RJS0	M	6	d	dcl_d_s
RJS0	M	6	d	ih_dcl_z
RJS0	M	6	d	h#_dh_ix
RJS0	M	6	d	ux_dh_b
RJS0	M	6	d	ay_dx_ix
RJS0	M	6	d	ay_dx_axr
RJS0	M	6	d	kcl_d_aw
RJS0	M	6	d	iy_dx_iy
RJS0	M	6	d	r_dcl_h#
RJS0	M	6	g	en_gcl_g
RJS0	M	6	g	gcl_g_r
RJS0	M	6	g	ae_gcl_g
RJS0	M	6	g	gcl_g_l
RJS0	M	6	g	ix_ng_dh
RJS0	M	6	g	iy_ng_s
RJS0	M	6	g	k_eng_hv
RJS0	M	6	g	ah_ng_gcl
RJS0	M	6	g	ng_gcl_s
RJS0	M	6	p	sh_epi_w
RJS0	M	6	p	s_pau_k
RJS0	M	6	p	s_epi_m
RJS0	M	6	p	s_epi_m
RJS0	M	6	p	s_epi_m
RJS0	M	6	p	em_pcl_p
RJS0	M	6	p	pcl_p_aa
RJS0	M	6	t	ux_tcl_en
RJS0	M	6	t	ae_tcl_h#
RJS0	M	6	t	s_tcl_t
RJS0	M	6	t	tcl_t_ax
RJS0	M	6	t	s_tcl_t
RJS0	M	6	t	tcl_t_ey
RJS0	M	6	t	m_tcl_t
RJS0	M	6	t	tcl_t_ih
RJS0	M	6	t	h#_th_er
RJS0	M	6	t	ae_tcl_s
RJS0	M	6	t	er_tcl_t
RJS0	M	6	t	tcl_t_s
RJS0	M	6	t	iy_tcl_ch
RJS0	M	6	t	n_tcl_t
RJS0	M	6	t	tcl_t_ay
RJS0	M	6	t	n_tcl_t
RJS0	M	6	t	tcl_t_s
RJS0	M	6	t	ix_th_ix
RJS0	M	6	t	r_tcl_h#
RJS0	M	6	t	z_tcl_t
RJS0	M	6	t	tcl_t_r
RJS0	M	6	t	iy_tcl_t
RJS0	M	6	t	tcl_t_s
RJS0	M	6	k	r_kcl_k
RJS0	M	6	k	kcl_k_s
RJS0	M	6	k	s_kcl_m
RJS0	M	6	k	ix_kcl_k
RJS0	M	6	k	kcl_k_ae
RJS0	M	6	k	ay_kcl_dh
RJS0	M	6	k	l_kcl_k
RJS0	M	6	k	kcl_k_r
RJS0	M	6	k	aa_kcl_k
RJS0	M	6	k	kcl_k_ah
RJS0	M	6	k	pau_k_ih
RJS0	M	6	k	ay_kcl_k
RJS0	M	6	k	kcl_k_y
RJS0	M	6	k	ix_kcl_k
RJS0	M	6	k	kcl_k_ae
RJS0	M	6	k	h#_k_l
RJS0	M	6	k	ix_kcl_k
RJS0	M	6	k	kcl_k_zh
RJS0	M	6	k	n_kcl_k
RJS0	M	6	k	kcl_k_ah
RJS0	M	6	k	s_kcl_k
RJS0	M	6	k	kcl_k_ow
RJS0	M	6	k	ey_kcl_d
RJS0	M	6	k	er_k_eng
RJS0	M	6	k	v_kcl_k
RJS0	M	6	k	kcl_k_aa
RJS0	M	6	k	n_kcl_k
RJS0	M	6	k	kcl_k_ae
RJS0	M	6	s	h#_sh_iy
RJS0	M	6	s	k_s_ux
RJS0	M	6	s	iy_s_iy
RJS0	M	6	s	aa_sh_epi
RJS0	M	6	s	ae_s_kcl
RJS0	M	6	s	h#_s_ah
RJS0	M	6	s	bcl_s_en
RJS0	M	6	s	en_s_ih
RJS0	M	6	s	ih_s_q
RJS0	M	6	s	ih_s_tcl
RJS0	M	6	s	n_s_ah
RJS0	M	6	s	bcl_s_en
RJS0	M	6	s	en_s_ih
RJS0	M	6	s	axr_s_aa
RJS0	M	6	s	ax_s_tcl
RJS0	M	6	s	d_s_pau
RJS0	M	6	s	tcl_s_epi
RJS0	M	6	s	t_s_epi
RJS0	M	6	s	ah_s_ux
RJS0	M	6	s	ix_s_epi
RJS0	M	6	s	ao_s_kcl
RJS0	M	6	s	t_s_ay
RJS0	M	6	s	ng_s_ix
RJS0	M	6	s	ix_s_em
RJS0	M	6	s	gcl_s_axr
RJS0	M	6	s	t_s_h#
RJS0	M	6	z	ih_z_eh
RJS0	M	6	z	l_z_h#
RJS0	M	6	z	ay_z_dcl
RJS0	M	6	z	dcl_z_l
RJS0	M	6	z	iy_z_hh
RJS0	M	6	z	axr_z_h#
RJS0	M	6	z	k_zh_er
RJS0	M	6	z	ax_z_aa
RJS0	M	6	z	aa_z_h#
RJS0	M	6	z	axr_z_l
RJS0	M	6	z	ae_z_tcl
RJS0	M	6	sh	h#_sh_iy
RJS0	M	6	sh	aa_sh_epi
RJS0	M	6	dh	kcl_dh_ae
RJS0	M	6	dh	ah_dh_axr
RJS0	M	6	dh	ng_dh_ix
RJS0	M	6	dh	h#_dh_ix
RJS0	M	6	dh	ux_dh_b
RJS0	M	6	f	ih_f_w
RJS0	M	6	v	ax_v_ix
RJS0	M	6	v	ix_hv_iy
RJS0	M	6	v	eng_hv_aa
RJS0	M	6	v	ah_v_kcl
RJS0	M	6	jh	h#_jh_ey
RJS0	M	6	ch	tcl_ch_ah
