ID	Sex	DR	Vowel	Context
RKM0	M	5	iy	sh_iy_hv
RKM0	M	5	iy	r_iy_s
RKM0	M	5	iy	y_iy_ax
RKM0	M	5	iy	m_iy_tcl
RKM0	M	5	iy	r_iy_ix
RKM0	M	5	iy	dx_iy_f
RKM0	M	5	iy	axr_iy_q
RKM0	M	5	iy	s_iy_v
RKM0	M	5	iy	l_iy_q
RKM0	M	5	iy	hh_iy_ih
RKM0	M	5	iy	n_iy_z
RKM0	M	5	iy	t_iy_axr
RKM0	M	5	iy	q_iy_v
RKM0	M	5	iy	w_iy_tcl
RKM0	M	5	iy	s_iy_q
RKM0	M	5	ae	q_ae_s
RKM0	M	5	ae	r_ae_gcl
RKM0	M	5	ae	l_ae_bcl
RKM0	M	5	ae	t_ae_f
RKM0	M	5	ae	q_ae_z
RKM0	M	5	ae	q_ae_z
RKM0	M	5	ae	q_ae_n
RKM0	M	5	aa	d_aa_kcl
RKM0	M	5	aa	f_aa_v
RKM0	M	5	aa	v_aa_l
RKM0	M	5	aa	s_aa_tcl
RKM0	M	5	aa	q_aa_r
RKM0	M	5	uh	w_uh_dx
RKM0	M	5	b	ae_bcl_ix
RKM0	M	5	b	ey_bcl_ax
RKM0	M	5	d	eh_dcl_jh
RKM0	M	5	d	ax_dcl_d
RKM0	M	5	d	dcl_d_aa
RKM0	M	5	d	uh_dx_ax
RKM0	M	5	d	h#_d_ow
RKM0	M	5	d	kcl_dh_eh
RKM0	M	5	d	er_dx_iy
RKM0	M	5	d	uw_dx_ix
RKM0	M	5	d	ax_dcl_d
RKM0	M	5	d	dcl_d_ix
RKM0	M	5	d	ix_dx_ax
RKM0	M	5	d	h#_dh_ey
RKM0	M	5	d	h#_dh_ax
RKM0	M	5	d	h#_dh_ax
RKM0	M	5	d	ow_dcl_q
RKM0	M	5	d	eh_dx_eh
RKM0	M	5	d	eh_dcl_d
RKM0	M	5	d	dcl_d_ih
RKM0	M	5	d	ax_dh_ah
RKM0	M	5	g	ix_ng_gcl
RKM0	M	5	g	ng_gcl_g
RKM0	M	5	g	gcl_g_r
RKM0	M	5	g	ae_gcl_g
RKM0	M	5	g	gcl_g_pau
RKM0	M	5	g	ix_ng_h#
RKM0	M	5	g	en_gcl_g
RKM0	M	5	g	gcl_g_ow
RKM0	M	5	g	ix_ng_h#
RKM0	M	5	g	ih_ng_gcl
RKM0	M	5	g	ng_gcl_g
RKM0	M	5	g	gcl_g_w
RKM0	M	5	p	t_pau_ix
RKM0	M	5	p	sh_epi_w
RKM0	M	5	p	s_pau_m
RKM0	M	5	p	g_pau_l
RKM0	M	5	p	s_epi_r
RKM0	M	5	p	axr_pau_hh
RKM0	M	5	p	s_pcl_p
RKM0	M	5	p	pcl_p_uw
RKM0	M	5	p	z_pau_ix
RKM0	M	5	p	s_pcl_p
RKM0	M	5	p	pcl_p_ax
RKM0	M	5	p	ax-h_pcl_p
RKM0	M	5	p	pcl_p_l
RKM0	M	5	p	s_pcl_p
RKM0	M	5	p	pcl_p_er
RKM0	M	5	p	s_pau_q
RKM0	M	5	p	s_epi_m
RKM0	M	5	p	s_epi_w
RKM0	M	5	p	er_pcl_p
RKM0	M	5	p	pcl_p_l
RKM0	M	5	p	tcl_p_r
