ID	Sex	DR	Vowel	Context
RSO0	M	1	iy	sh_iy_hv
RSO0	M	1	iy	r_iy_s
RSO0	M	1	iy	s_iy_w
RSO0	M	1	iy	m_iy_tcl
RSO0	M	1	iy	r_iy_ix
RSO0	M	1	iy	l_iy_r
RSO0	M	1	iy	w_iy_q
RSO0	M	1	iy	l_iy_hv
RSO0	M	1	iy	hv_iy_ae
RSO0	M	1	iy	er_iy_er
RSO0	M	1	iy	m_iy_z
RSO0	M	1	iy	r_iy_kcl
RSO0	M	1	iy	s_iy_kcl
RSO0	M	1	ae	hv_ae_dcl
RSO0	M	1	ae	q_ae_s
RSO0	M	1	ae	r_ae_gcl
RSO0	M	1	ae	dh_ae_tcl
RSO0	M	1	ae	hv_ae_n
RSO0	M	1	ae	f_ae_sh
RSO0	M	1	ae	q_ae_n
RSO0	M	1	ae	iy_ae_s
RSO0	M	1	ae	q_ae_ng
RSO0	M	1	ae	k_ae_tcl
RSO0	M	1	ae	hh_ae_v
RSO0	M	1	ae	r_ae_dcl
RSO0	M	1	aa	d_aa_r
RSO0	M	1	aa	k_aa_l
RSO0	M	1	aa	q_aa_r
RSO0	M	1	aa	n_aa_n
RSO0	M	1	aa	r_aa_f
RSO0	M	1	aa	n_aa_q
RSO0	M	1	aa	b_aa_r
RSO0	M	1	uh	y_uh_r
RSO0	M	1	uh	t_uh_dcl
RSO0	M	1	uh	g_uh_r
RSO0	M	1	uh	b_uh_kcl
RSO0	M	1	b	ax_bcl_b
RSO0	M	1	b	bcl_b_aw
RSO0	M	1	b	r_bcl_b
RSO0	M	1	b	bcl_b_er
RSO0	M	1	b	ax_bcl_jh
RSO0	M	1	b	n_bcl_b
RSO0	M	1	b	bcl_b_uh
RSO0	M	1	b	h#_b_aa
RSO0	M	1	b	r_bcl_z
RSO0	M	1	b	ow_bcl_b
RSO0	M	1	b	bcl_b_er
RSO0	M	1	d	ae_dcl_d
RSO0	M	1	d	dcl_d_y
RSO0	M	1	d	r_dcl_d
RSO0	M	1	d	dcl_d_aa
RSO0	M	1	d	ao_dx_axr
RSO0	M	1	d	h#_d_ow
RSO0	M	1	d	k_dh_ae
RSO0	M	1	d	uh_dcl_t
RSO0	M	1	d	ix_dx_ih
RSO0	M	1	d	eh_dcl_d
RSO0	M	1	d	dcl_d_f
RSO0	M	1	d	en_dcl_d
RSO0	M	1	d	dcl_d_h#
RSO0	M	1	d	er_dcl_d
RSO0	M	1	d	dcl_d_z
RSO0	M	1	d	axr_dcl_h#
