ID	Sex	DR	Vowel	Context
SAK0	F	4	iy	sh_iy_hv
SAK0	F	4	iy	r_iy_s
SAK0	F	4	iy	s_iy_hh
SAK0	F	4	iy	m_iy_tcl
SAK0	F	4	iy	l_iy_r
SAK0	F	4	iy	hh_iy_kcl
SAK0	F	4	iy	d_iy_w
SAK0	F	4	iy	r_iy_dcl
SAK0	F	4	iy	m_iy_n
SAK0	F	4	iy	hh_iy_eh
SAK0	F	4	iy	r_iy_s
SAK0	F	4	iy	jh_iy_ix
SAK0	F	4	iy	dx_iy_h#
SAK0	F	4	iy	jh_iy_pcl
SAK0	F	4	iy	t_iy_m
SAK0	F	4	iy	m_iy_ng
SAK0	F	4	iy	dx_iy_n
SAK0	F	4	iy	k_iy_pcl
SAK0	F	4	iy	n_iy_s
SAK0	F	4	ae	nx_ae_s
SAK0	F	4	ae	r_ae_gcl
SAK0	F	4	ae	dh_ae_tcl
SAK0	F	4	ae	k_ae_n
SAK0	F	4	ae	z_ae_m
SAK0	F	4	ae	r_ae_bcl
SAK0	F	4	ae	er_ae_l
SAK0	F	4	ae	q_ae_kcl
SAK0	F	4	aa	d_aa_r
SAK0	F	4	aa	w_aa_sh
SAK0	F	4	aa	l_aa_dcl
SAK0	F	4	aa	hv_aa_tcl
SAK0	F	4	aa	r_aa_pcl
SAK0	F	4	aa	b_aa_kcl
SAK0	F	4	uh	hv_uh_dx
SAK0	F	4	b	ae_bcl_b
SAK0	F	4	b	bcl_b_ih
SAK0	F	4	b	ah_bcl_b
SAK0	F	4	b	bcl_b_el
SAK0	F	4	b	axr_bcl_b
SAK0	F	4	b	bcl_b_r
SAK0	F	4	b	n_bcl_b
SAK0	F	4	b	bcl_b_aa
SAK0	F	4	d	eh_dcl_jh
SAK0	F	4	d	axr_dcl_d
SAK0	F	4	d	dcl_d_aa
SAK0	F	4	d	ao_dx_axr
SAK0	F	4	d	h#_d_ow
SAK0	F	4	d	k_dh_ae
SAK0	F	4	d	ax-h_dcl_d
SAK0	F	4	d	dcl_d_iy
SAK0	F	4	d	ay_dcl_d
SAK0	F	4	d	dcl_d_q
SAK0	F	4	d	ix_dh_ix
SAK0	F	4	d	iy_dcl_d
SAK0	F	4	d	dcl_d_ah
SAK0	F	4	d	el_dcl_d
SAK0	F	4	d	dcl_d_hh
SAK0	F	4	d	r_dcl_d
SAK0	F	4	d	dcl_d_eh
SAK0	F	4	d	h#_dh_ix
SAK0	F	4	d	q_dcl_jh
SAK0	F	4	d	aa_dcl_jh
SAK0	F	4	d	ih_dx_iy
SAK0	F	4	d	h#_dh_ix
SAK0	F	4	d	uh_dx_ix
SAK0	F	4	d	ix_dh_ix
SAK0	F	4	d	ix_dcl_jh
SAK0	F	4	d	n_dh_ax
SAK0	F	4	d	ey_dx_iy
SAK0	F	4	d	n_dcl_d
SAK0	F	4	d	dcl_d_ix
SAK0	F	4	d	ux_dx_eh
SAK0	F	4	d	s_dcl_d
SAK0	F	4	d	dcl_d_r
SAK0	F	4	d	ow_dx_ix
SAK0	F	4	d	ix_dcl_jh
SAK0	F	4	g	en_gcl_g
SAK0	F	4	g	gcl_g_r
SAK0	F	4	g	ae_gcl_g
SAK0	F	4	g	gcl_g_l
SAK0	F	4	g	ix_gcl_g
SAK0	F	4	g	gcl_g_z
SAK0	F	4	g	ix_gcl_n
SAK0	F	4	g	ih_gcl_g
SAK0	F	4	g	gcl_g_l
SAK0	F	4	g	eh_gcl_g
SAK0	F	4	g	gcl_g_z
SAK0	F	4	g	iy_ng_ih
SAK0	F	4	p	sh_epi_w
SAK0	F	4	p	m_pcl_p
SAK0	F	4	p	pcl_p_el
SAK0	F	4	p	el_pau_p
SAK0	F	4	p	pau_p_ix
SAK0	F	4	p	q_pcl_p
SAK0	F	4	p	pcl_p_ah
SAK0	F	4	p	s_pcl_p
SAK0	F	4	p	pcl_p_ih
SAK0	F	4	p	el_pcl_p
SAK0	F	4	p	pcl_p_er
SAK0	F	4	p	iy_pcl_p
SAK0	F	4	p	pcl_p_w
SAK0	F	4	p	iy_pcl_p
SAK0	F	4	p	pcl_p_s
SAK0	F	4	p	aa_pcl_n
SAK0	F	4	t	ux_tcl_en
SAK0	F	4	t	iy_tcl_t
SAK0	F	4	t	tcl_t_ix
SAK0	F	4	t	ae_tcl_t
SAK0	F	4	t	tcl_t_h#
SAK0	F	4	t	n_tcl_t
SAK0	F	4	t	tcl_t_s
SAK0	F	4	t	n_tcl_y
SAK0	F	4	t	z_tcl_t
SAK0	F	4	t	tcl_t_ix
SAK0	F	4	t	ax_tcl_t
SAK0	F	4	t	tcl_t_h#
SAK0	F	4	t	n_tcl_ch
SAK0	F	4	t	ix_tcl_ch
SAK0	F	4	t	eh_th_h#
SAK0	F	4	t	eh_tcl_f
SAK0	F	4	t	s_tcl_t
SAK0	F	4	t	tcl_t_axr
SAK0	F	4	t	s_tcl_t
SAK0	F	4	t	tcl_t_h#
SAK0	F	4	t	kcl_t_ih
SAK0	F	4	t	s_tcl_t
SAK0	F	4	t	tcl_t_iy
SAK0	F	4	t	aa_tcl_s
SAK0	F	4	t	s_tcl_t
SAK0	F	4	t	tcl_t_ih
SAK0	F	4	t	s_tcl_t
SAK0	F	4	t	tcl_t_ux
SAK0	F	4	t	n_tcl_t
SAK0	F	4	t	tcl_t_s
SAK0	F	4	t	ax_tcl_t
SAK0	F	4	t	tcl_t_ih
SAK0	F	4	t	sh_tcl_ch
SAK0	F	4	k	r_kcl_k
SAK0	F	4	k	kcl_k_s
SAK0	F	4	k	s_kcl_m
SAK0	F	4	k	ix_kcl_k
SAK0	F	4	k	kcl_k_eh
SAK0	F	4	k	ay_kcl_k
SAK0	F	4	k	kcl_k_dh
SAK0	F	4	k	iy_kcl_k
SAK0	F	4	k	kcl_k_ae
SAK0	F	4	k	ix_kcl_k
SAK0	F	4	k	kcl_k_ih
SAK0	F	4	k	eh_kcl_m
SAK0	F	4	k	eh_kcl_k
SAK0	F	4	k	kcl_k_s
SAK0	F	4	k	eh_kcl_f
SAK0	F	4	k	ix_kcl_k
SAK0	F	4	k	kcl_k_el
SAK0	F	4	k	ix_kcl_q
SAK0	F	4	k	ae_kcl_t
SAK0	F	4	k	s_kcl_k
SAK0	F	4	k	kcl_k_ah
SAK0	F	4	k	z_kcl_k
SAK0	F	4	k	kcl_k_iy
SAK0	F	4	k	aa_kcl_k
SAK0	F	4	k	kcl_k_s
SAK0	F	4	s	h#_sh_iy
SAK0	F	4	s	k_s_ux
SAK0	F	4	s	iy_s_iy
SAK0	F	4	s	aa_sh_epi
SAK0	F	4	s	ae_s_kcl
SAK0	F	4	s	t_s_ix
SAK0	F	4	s	er_s_ax-h
SAK0	F	4	s	ih_sh_ux
SAK0	F	4	s	ix_s_eh
SAK0	F	4	s	n_s_pcl
SAK0	F	4	s	ax_s_ix
SAK0	F	4	s	ix_s_q
SAK0	F	4	s	k_s_tcl
SAK0	F	4	s	ax_s_tcl
SAK0	F	4	s	ow_s_r
SAK0	F	4	s	iy_s_ix
SAK0	F	4	s	el_s_er
SAK0	F	4	s	n_s_ay
SAK0	F	4	s	ax_s_tcl
SAK0	F	4	s	tcl_s_ah
SAK0	F	4	s	h#_s_tcl
SAK0	F	4	s	ix_s_kcl
SAK0	F	4	s	ah_sh_en
SAK0	F	4	s	p_s_tcl
SAK0	F	4	s	t_s_ax
SAK0	F	4	s	n_sh_ix
SAK0	F	4	s	ih_s_dcl
SAK0	F	4	s	ix_s_ih
SAK0	F	4	s	iy_s_ix
SAK0	F	4	s	eh_sh_tcl
SAK0	F	4	s	k_s_h#
SAK0	F	4	z	g_z_ae
SAK0	F	4	z	ix_z_eh
SAK0	F	4	z	ux_z_tcl
SAK0	F	4	z	g_z_f
SAK0	F	4	z	ay_z_m
SAK0	F	4	z	en_z_kcl
SAK0	F	4	z	ih_z_q
SAK0	F	4	sh	h#_sh_iy
SAK0	F	4	sh	aa_sh_epi
SAK0	F	4	sh	ih_sh_ux
SAK0	F	4	sh	ah_sh_en
SAK0	F	4	sh	n_sh_ix
SAK0	F	4	sh	eh_sh_tcl
SAK0	F	4	dh	k_dh_ae
SAK0	F	4	dh	ix_dh_ix
SAK0	F	4	dh	h#_dh_ix
SAK0	F	4	dh	h#_dh_ix
SAK0	F	4	dh	ix_dh_ix
SAK0	F	4	dh	n_dh_ax
SAK0	F	4	f	n_f_ao
SAK0	F	4	f	ih_f_ix
SAK0	F	4	f	tcl_f_ao
SAK0	F	4	f	z_f_axr
SAK0	F	4	f	kcl_f_ax
SAK0	F	4	f	ey_f_aw
SAK0	F	4	v	iy_hv_eh
SAK0	F	4	v	ix_v_er
SAK0	F	4	v	er_v_ey
SAK0	F	4	v	ih_v_ih
SAK0	F	4	v	ix_hv_uh
SAK0	F	4	v	ax_hv_aa
SAK0	F	4	jh	dcl_jh_axr
SAK0	F	4	jh	dcl_jh_iy
SAK0	F	4	jh	dcl_jh_ix
SAK0	F	4	jh	dcl_jh_iy
SAK0	F	4	jh	h#_jh_ih
SAK0	F	4	jh	dcl_jh_eh
SAK0	F	4	ch	tcl_ch_r
SAK0	F	4	ch	tcl_ch_el
SAK0	F	4	ch	tcl_ch_ih
