ID	Sex	DR	Vowel	Context
SGF0	F	6	iy	sh_iy_hv
SGF0	F	6	iy	r_iy_z
SGF0	F	6	iy	z_iy_w
SGF0	F	6	iy	m_iy_tcl
SGF0	F	6	iy	r_iy_ih
SGF0	F	6	iy	l_iy_r
SGF0	F	6	iy	dx_iy_ng
SGF0	F	6	iy	hh_iy_dcl
SGF0	F	6	iy	r_iy_m
SGF0	F	6	iy	sh_iy_s
SGF0	F	6	iy	l_iy_pau
SGF0	F	6	iy	l_iy_q
SGF0	F	6	iy	l_iy_m
SGF0	F	6	ae	hv_ae_dcl
SGF0	F	6	ae	n_ae_s
SGF0	F	6	ae	r_ae_gcl
SGF0	F	6	ae	dh_ae_tcl
SGF0	F	6	ae	hv_ae_dcl
SGF0	F	6	ae	k_ae_f
SGF0	F	6	ae	w_ae_m
SGF0	F	6	ae	l_ae_sh
SGF0	F	6	ae	n_ae_tcl
SGF0	F	6	ae	m_ae_ng
SGF0	F	6	ae	d_ae_dcl
SGF0	F	6	ae	w_ae_kcl
SGF0	F	6	aa	d_aa_r
SGF0	F	6	aa	w_aa_sh
SGF0	F	6	aa	d_aa_n
SGF0	F	6	aa	r_aa_kcl
SGF0	F	6	aa	n_aa_pcl
SGF0	F	6	aa	pau_aa_r
SGF0	F	6	aa	r_aa_kcl
SGF0	F	6	uh	jh_uh_dcl
SGF0	F	6	uh	w_uh_m
SGF0	F	6	uh	w_uh_dcl
SGF0	F	6	b	ix_bcl_b
SGF0	F	6	b	bcl_b_ow
SGF0	F	6	b	ey_bcl_b
SGF0	F	6	b	bcl_b_eh
SGF0	F	6	b	kcl_b_ih
SGF0	F	6	d	ae_dcl_jh
SGF0	F	6	d	uh_dcl_d
SGF0	F	6	d	dcl_d_aa
SGF0	F	6	d	ao_dx_axr
SGF0	F	6	d	h#_d_ow
SGF0	F	6	d	kcl_dh_ae
SGF0	F	6	d	h#_dh_ey
SGF0	F	6	d	ae_dcl_v
SGF0	F	6	d	ih_dx_iy
SGF0	F	6	d	iy_dcl_d
SGF0	F	6	d	dcl_d_ey
SGF0	F	6	d	ey_dcl_d
SGF0	F	6	d	dcl_d_r
SGF0	F	6	d	m_dcl_d
SGF0	F	6	d	dcl_d_aa
SGF0	F	6	d	n_dh_ax
SGF0	F	6	d	n_dcl_d
SGF0	F	6	d	dcl_d_h#
SGF0	F	6	d	epi_dh_ax
SGF0	F	6	d	h#_dh_ix
SGF0	F	6	d	n_dh_ix
SGF0	F	6	d	h#_d_ux
SGF0	F	6	d	ix_dh_ix
SGF0	F	6	d	h#_d_ih
SGF0	F	6	d	ih_dcl_d
SGF0	F	6	d	dcl_d_ae
SGF0	F	6	d	ae_dcl_d
SGF0	F	6	d	dcl_d_ux
SGF0	F	6	d	ix_dcl_d
SGF0	F	6	d	dcl_d_eh
SGF0	F	6	d	ih_dx_ih
SGF0	F	6	d	ih_dh_ax
SGF0	F	6	d	h#_dh_ix
SGF0	F	6	d	ix_dcl_jh
SGF0	F	6	d	eh_dcl_w
SGF0	F	6	d	uh_dcl_d
SGF0	F	6	d	dcl_d_sh
SGF0	F	6	d	er_dcl_d
SGF0	F	6	d	dcl_d_ih
SGF0	F	6	d	n_dh_ix
SGF0	F	6	g	ih_ng_gcl
SGF0	F	6	g	ng_gcl_g
SGF0	F	6	g	gcl_g_r
SGF0	F	6	g	ae_gcl_g
SGF0	F	6	g	gcl_g_l
SGF0	F	6	g	iy_ng_ih
SGF0	F	6	g	ae_ng_gcl
SGF0	F	6	g	ng_gcl_g
SGF0	F	6	g	gcl_g_ow
SGF0	F	6	g	ih_ng_ih
SGF0	F	6	g	ih_ng_h#
SGF0	F	6	g	ih_ng_h#
SGF0	F	6	g	ix_gcl_g
SGF0	F	6	g	gcl_g_r
SGF0	F	6	g	ix_gcl_g
SGF0	F	6	g	gcl_g_l
SGF0	F	6	g	ih_ng_s
SGF0	F	6	p	h#_pau_sh
SGF0	F	6	p	sh_epi_w
SGF0	F	6	p	s_epi_m
SGF0	F	6	p	s_epi_w
SGF0	F	6	p	s_pcl_p
