ID	Sex	DR	Vowel	Context
SMS0	M	4	iy	sh_iy_hv
SMS0	M	4	iy	r_iy_z
SMS0	M	4	iy	z_iy_w
SMS0	M	4	iy	m_iy_dx
SMS0	M	4	iy	nx_iy_ey
SMS0	M	4	iy	m_iy_ow
SMS0	M	4	iy	b_iy_r
SMS0	M	4	iy	q_iy_v
SMS0	M	4	iy	n_iy_dcl
SMS0	M	4	ae	nx_ae_s
SMS0	M	4	ae	r_ae_gcl
SMS0	M	4	ae	dh_ae_tcl
SMS0	M	4	ae	l_ae_n
SMS0	M	4	ae	m_ae_kcl
SMS0	M	4	ae	n_ae_n
SMS0	M	4	ae	k_ae_m
SMS0	M	4	ae	s_ae_l
SMS0	M	4	aa	d_aa_r
SMS0	M	4	aa	w_aa_sh
SMS0	M	4	aa	r_aa_gcl
SMS0	M	4	aa	r_aa_bcl
SMS0	M	4	aa	w_aa_pcl
SMS0	M	4	aa	k_aa_nx
SMS0	M	4	aa	t_aa_r
SMS0	M	4	uh	w_uh_l
SMS0	M	4	b	aa_bcl_b
SMS0	M	4	b	bcl_b_l
SMS0	M	4	b	ah_bcl_b
SMS0	M	4	b	bcl_b_el
SMS0	M	4	b	el_bcl_b
SMS0	M	4	b	bcl_b_iy
SMS0	M	4	d	eh_dcl_y
SMS0	M	4	d	axr_dcl_d
SMS0	M	4	d	dcl_d_aa
SMS0	M	4	d	ux_dx_ix
SMS0	M	4	d	ao_dx_axr
SMS0	M	4	d	h#_d_ow
SMS0	M	4	d	iy_dx_ix
SMS0	M	4	d	kcl_dh_ae
SMS0	M	4	d	ah_dh_axr
SMS0	M	4	d	z_dcl_d
SMS0	M	4	d	dcl_d_ix
SMS0	M	4	d	eh_dh_axr
SMS0	M	4	d	pau_d_ah
SMS0	M	4	d	ix_dh_ix
SMS0	M	4	d	r_dx_ix
SMS0	M	4	d	ix_dcl_d
SMS0	M	4	d	dcl_d_h#
SMS0	M	4	d	ix_dcl_d
SMS0	M	4	d	dcl_d_ix
