ID	Sex	DR	Vowel	Context
TCS0	M	8	iy	sh_iy_hv
TCS0	M	8	iy	r_iy_z
TCS0	M	8	iy	z_iy_w
TCS0	M	8	iy	r_iy_ix
TCS0	M	8	iy	l_iy_r
TCS0	M	8	iy	hh_iy_th
TCS0	M	8	iy	dx_iy_pau
TCS0	M	8	iy	er_iy_aw
TCS0	M	8	iy	ay_iy_v
TCS0	M	8	iy	dh_iy_ey
TCS0	M	8	iy	s_iy_ow
TCS0	M	8	iy	l_iy_ix
TCS0	M	8	iy	b_iy_pcl
TCS0	M	8	iy	b_iy_r
TCS0	M	8	ae	n_ae_s
TCS0	M	8	ae	r_ae_gcl
TCS0	M	8	ae	dh_ae_tcl
TCS0	M	8	ae	dh_ae_w
TCS0	M	8	ae	q_ae_tcl
TCS0	M	8	ae	t_ae_kcl
TCS0	M	8	ae	g_ae_bcl
TCS0	M	8	ae	hv_ae_bcl
TCS0	M	8	aa	d_aa_r
TCS0	M	8	aa	w_aa_sh
TCS0	M	8	aa	k_aa_nx
TCS0	M	8	aa	r_aa_bcl
TCS0	M	8	uh	g_uh_dcl
TCS0	M	8	b	ih_bcl_b
TCS0	M	8	b	bcl_b_ix
TCS0	M	8	b	aa_bcl_b
TCS0	M	8	b	bcl_b_em
TCS0	M	8	b	s_bcl_b
TCS0	M	8	b	bcl_b_iy
TCS0	M	8	b	ax_bcl_b
TCS0	M	8	b	bcl_b_er
TCS0	M	8	b	er_bcl_axr
TCS0	M	8	b	ae_bcl_b
TCS0	M	8	b	bcl_b_hv
TCS0	M	8	b	ae_bcl_b
TCS0	M	8	b	bcl_b_ix
TCS0	M	8	b	dcl_b_iy
TCS0	M	8	b	dcl_b_ay
TCS0	M	8	b	ay_bcl_b
TCS0	M	8	b	bcl_b_ih
TCS0	M	8	d	eh_dcl_jh
TCS0	M	8	d	axr_dcl_d
TCS0	M	8	d	dcl_d_aa
TCS0	M	8	d	ux_dx_ih
TCS0	M	8	d	ao_dx_er
TCS0	M	8	d	h#_d_ow
TCS0	M	8	d	ix_dx_ix
TCS0	M	8	d	kcl_dh_ae
TCS0	M	8	d	h#_dh_ae
TCS0	M	8	d	er_dcl_d
TCS0	M	8	d	dcl_d_er
TCS0	M	8	d	ix_dx_iy
TCS0	M	8	d	tcl_dh_ax
TCS0	M	8	d	eh_dx_ax
TCS0	M	8	d	h#_dh_ax
TCS0	M	8	d	ih_dcl_n
TCS0	M	8	d	n_dh_iy
TCS0	M	8	d	ey_dcl_jh
TCS0	M	8	d	r_dx_ih
TCS0	M	8	d	n_dx_ax
TCS0	M	8	d	ax_dh_ax-h
TCS0	M	8	d	n_dcl_d
TCS0	M	8	d	dcl_d_ih
TCS0	M	8	d	m_dh_ix
TCS0	M	8	d	uh_dcl_d
TCS0	M	8	d	dcl_d_s
TCS0	M	8	d	ih_dcl_b
TCS0	M	8	d	r_dx_ih
TCS0	M	8	d	ih_dcl_b
TCS0	M	8	g	ih_ng_gcl
TCS0	M	8	g	ng_gcl_g
TCS0	M	8	g	gcl_g_r
TCS0	M	8	g	ae_gcl_g
TCS0	M	8	g	gcl_g_l
TCS0	M	8	g	ix_gcl_g
TCS0	M	8	g	gcl_g_z
TCS0	M	8	g	ix_gcl_g
TCS0	M	8	g	gcl_g_ae
TCS0	M	8	g	h#_g_uh
TCS0	M	8	g	ih_gcl_t
TCS0	M	8	p	sh_epi_w
TCS0	M	8	p	h#_p_er
TCS0	M	8	p	t_pau_hh
TCS0	M	8	p	iy_pau_q
TCS0	M	8	p	r_pau_ih
TCS0	M	8	p	z_pcl_p
TCS0	M	8	p	pcl_p_ow
TCS0	M	8	p	er_pcl_p
TCS0	M	8	p	pcl_p_axr
TCS0	M	8	p	ax-h_pcl_p
TCS0	M	8	p	pcl_p_r
TCS0	M	8	p	em_pau_t
TCS0	M	8	p	z_epi_m
TCS0	M	8	p	iy_pcl_p
TCS0	M	8	p	pcl_p_er
TCS0	M	8	p	er_pcl_p
TCS0	M	8	p	pcl_p_ix
TCS0	M	8	p	s_epi_w
TCS0	M	8	p	ih_pcl_p
TCS0	M	8	p	pcl_p_s
TCS0	M	8	t	ae_tcl_h#
TCS0	M	8	t	kcl_t_pau
TCS0	M	8	t	iy_th_ao
TCS0	M	8	t	ao_tcl_h#
TCS0	M	8	t	s_tcl_en
TCS0	M	8	t	ae_tcl_dh
TCS0	M	8	t	aw_tcl_s
TCS0	M	8	t	ix_tcl_t
TCS0	M	8	t	tcl_t_ae
TCS0	M	8	t	n_tcl_s
TCS0	M	8	t	ax_tcl_t
TCS0	M	8	t	tcl_t_r
TCS0	M	8	t	ix_tcl_t
TCS0	M	8	t	tcl_t_ih
TCS0	M	8	t	axr_th_r
TCS0	M	8	t	en_tcl_t
TCS0	M	8	t	tcl_t_er
TCS0	M	8	t	axr_tcl_t
TCS0	M	8	t	tcl_t_ey
TCS0	M	8	t	pau_t_ux
