ID	Sex	DR	Vowel	Context
TLH0	F	7	iy	r_iy_s
TLH0	F	7	iy	s_iy_w
TLH0	F	7	iy	m_iy_tcl
TLH0	F	7	iy	r_iy_eh
TLH0	F	7	iy	l_iy_r
TLH0	F	7	iy	t_iy_n
TLH0	F	7	iy	q_iy_z
TLH0	F	7	iy	z_iy_pcl
TLH0	F	7	iy	w_iy_hv
TLH0	F	7	iy	v_iy_pau
TLH0	F	7	iy	m_iy_f
TLH0	F	7	iy	sh_iy_s
TLH0	F	7	iy	t_iy_pcl
TLH0	F	7	iy	b_iy_f
TLH0	F	7	iy	z_iy_h#
TLH0	F	7	iy	z_iy_z
TLH0	F	7	iy	r_iy_y
TLH0	F	7	iy	s_iy_ae
TLH0	F	7	iy	v_iy_ng
TLH0	F	7	ae	hv_ae_dcl
TLH0	F	7	ae	q_ae_s
TLH0	F	7	ae	r_ae_gcl
TLH0	F	7	ae	dh_ae_tcl
TLH0	F	7	ae	t_ae_n
TLH0	F	7	ae	q_ae_ng
TLH0	F	7	ae	iy_ae_dx
TLH0	F	7	ae	p_ae_m
TLH0	F	7	aa	d_aa_r
TLH0	F	7	aa	w_aa_sh
TLH0	F	7	aa	w_aa_dx
TLH0	F	7	aa	q_aa_l
TLH0	F	7	aa	q_aa_l
TLH0	F	7	aa	q_aa_r
TLH0	F	7	aa	n_aa_dx
TLH0	F	7	aa	q_aa_f
TLH0	F	7	aa	l_aa_sh
TLH0	F	7	aa	q_aa_r
TLH0	F	7	aa	z_aa_n
TLH0	F	7	b	pau_b_ah
TLH0	F	7	b	n_bcl_b
TLH0	F	7	b	bcl_b_iy
TLH0	F	7	d	ae_dcl_d
TLH0	F	7	d	dcl_d_y
TLH0	F	7	d	er_dcl_d
TLH0	F	7	d	dcl_d_aa
TLH0	F	7	d	aa_dx_er
TLH0	F	7	d	h#_d_ow
TLH0	F	7	d	k_dh_ae
TLH0	F	7	d	ih_dx_ih
TLH0	F	7	d	aa_dx_ax
TLH0	F	7	d	n_dcl_d
TLH0	F	7	d	dcl_d_eh
TLH0	F	7	d	er_dcl_t
TLH0	F	7	d	ih_dcl_d
TLH0	F	7	d	dcl_d_ix
TLH0	F	7	d	n_dcl_d
TLH0	F	7	d	dcl_d_s
TLH0	F	7	d	n_dcl_d
TLH0	F	7	d	dcl_d_hh
TLH0	F	7	d	n_dh_ih
TLH0	F	7	d	l_dcl_d
TLH0	F	7	d	dcl_d_r
TLH0	F	7	d	ux_dcl_d
TLH0	F	7	d	dcl_d_ax
TLH0	F	7	d	oy_dcl_d
TLH0	F	7	d	dcl_d_ih
TLH0	F	7	d	ey_dcl_jh
TLH0	F	7	d	s_dcl_d
TLH0	F	7	d	dcl_d_ix
TLH0	F	7	d	eh_dh_ih
TLH0	F	7	d	ae_dx_el
TLH0	F	7	d	z_dcl_d
TLH0	F	7	d	dcl_d_r
TLH0	F	7	d	z_dcl_d
TLH0	F	7	d	dcl_d_ey
TLH0	F	7	g	ih_ng_gcl
TLH0	F	7	g	ng_gcl_g
TLH0	F	7	g	gcl_g_r
TLH0	F	7	g	ae_gcl_g
TLH0	F	7	g	gcl_g_l
TLH0	F	7	g	ae_ng_kcl
TLH0	F	7	g	ah_ng_tcl
TLH0	F	7	g	f_gcl_g
TLH0	F	7	g	gcl_g_ax
TLH0	F	7	g	m_gcl_g
TLH0	F	7	g	gcl_g_ih
TLH0	F	7	g	iy_ng_l
TLH0	F	7	p	sh_epi_w
TLH0	F	7	p	n_pcl_p
TLH0	F	7	p	pcl_p_r
TLH0	F	7	p	ax_pcl_p
TLH0	F	7	p	pcl_p_l
TLH0	F	7	p	iy_pcl_p
TLH0	F	7	p	pcl_p_ix
TLH0	F	7	p	n_pau_b
TLH0	F	7	p	iy_pau_y
TLH0	F	7	p	ih_pcl_t
TLH0	F	7	p	s_pcl_p
TLH0	F	7	p	pcl_p_r
TLH0	F	7	p	iy_pcl_p
TLH0	F	7	p	pcl_p_s
TLH0	F	7	p	ow_pcl_p
TLH0	F	7	p	pcl_p_h#
TLH0	F	7	p	s_pcl_p
TLH0	F	7	p	pcl_p_ow
TLH0	F	7	p	ih_pcl_p
TLH0	F	7	p	pcl_p_r
TLH0	F	7	p	h#_p_ae
TLH0	F	7	t	ux_tcl_t
TLH0	F	7	t	tcl_t_ih
TLH0	F	7	t	n_tcl_q
TLH0	F	7	t	iy_tcl_t
TLH0	F	7	t	tcl_t_ux
TLH0	F	7	t	ae_tcl_t
TLH0	F	7	t	tcl_t_h#
TLH0	F	7	t	ah_tcl_k
TLH0	F	7	t	ih_tcl_ch
TLH0	F	7	t	ow_tcl_t
TLH0	F	7	t	tcl_t_iy
TLH0	F	7	t	n_tcl_t
TLH0	F	7	t	tcl_t_q
TLH0	F	7	t	dcl_t_ux
TLH0	F	7	t	n_tcl_t
TLH0	F	7	t	tcl_t_ey
TLH0	F	7	t	pcl_t_ae
TLH0	F	7	t	s_tcl_t
TLH0	F	7	t	tcl_t_iy
TLH0	F	7	t	ng_tcl_ch
TLH0	F	7	t	n_tcl_sh
TLH0	F	7	t	axr_tcl_t
TLH0	F	7	t	tcl_t_ux
TLH0	F	7	t	n_tcl_t
TLH0	F	7	t	tcl_t_ey
TLH0	F	7	t	n_tcl_s
TLH0	F	7	t	n_th_er
TLH0	F	7	k	r_kcl_k
TLH0	F	7	k	kcl_k_s
TLH0	F	7	k	s_kcl_m
TLH0	F	7	k	ux_kcl_k
TLH0	F	7	k	kcl_k_eh
TLH0	F	7	k	ay_kcl_k
TLH0	F	7	k	kcl_k_dh
TLH0	F	7	k	tcl_k_er
TLH0	F	7	k	ey_kcl_m
TLH0	F	7	k	ey_kcl_k
TLH0	F	7	k	kcl_k_ih
TLH0	F	7	k	ng_kcl_k
TLH0	F	7	k	kcl_k_el
TLH0	F	7	k	r_kcl_k
TLH0	F	7	k	kcl_k_eh
TLH0	F	7	k	ih_kcl_k
TLH0	F	7	k	kcl_k_s
TLH0	F	7	k	ux_kcl_k
TLH0	F	7	k	kcl_k_ix
TLH0	F	7	s	h#_sh_ih
TLH0	F	7	s	k_s_ux
TLH0	F	7	s	iy_s_iy
TLH0	F	7	s	aa_sh_epi
TLH0	F	7	s	ae_s_kcl
TLH0	F	7	s	ih_sh_ix
TLH0	F	7	s	h#_sh_iy
TLH0	F	7	s	iy_s_l
TLH0	F	7	s	d_s_pcl
TLH0	F	7	s	ih_s_tcl
TLH0	F	7	s	p_s_l
TLH0	F	7	s	m_s_ih
TLH0	F	7	s	tcl_sh_ux
TLH0	F	7	s	k_s_pcl
TLH0	F	7	s	ix_s_dcl
TLH0	F	7	s	aa_sh_ix
TLH0	F	7	s	ux_s_f
TLH0	F	7	s	tcl_s_iy
TLH0	F	7	s	eh_s_en
TLH0	F	7	z	l_z_q
TLH0	F	7	z	ih_z_n
TLH0	F	7	z	eh_z_ix
TLH0	F	7	z	iy_z_iy
TLH0	F	7	z	ix_z_ih
TLH0	F	7	z	m_z_iy
TLH0	F	7	z	ow_zh_axr
TLH0	F	7	z	ix_z_iy
TLH0	F	7	z	iy_z_ix
TLH0	F	7	z	ix_z_h#
TLH0	F	7	z	ix_z_q
TLH0	F	7	z	v_z_dcl
TLH0	F	7	z	en_z_aa
TLH0	F	7	z	er_z_dcl
TLH0	F	7	z	ey_z_h#
TLH0	F	7	sh	h#_sh_ih
TLH0	F	7	sh	aa_sh_epi
TLH0	F	7	sh	ih_sh_ix
TLH0	F	7	sh	h#_sh_iy
TLH0	F	7	sh	tcl_sh_ux
TLH0	F	7	sh	aa_sh_ix
TLH0	F	7	dh	k_dh_ae
TLH0	F	7	dh	n_dh_ih
TLH0	F	7	dh	eh_dh_ih
TLH0	F	7	f	iy_f_ih
TLH0	F	7	f	aa_f_ix
TLH0	F	7	f	iy_f_l
TLH0	F	7	f	uw_f_gcl
TLH0	F	7	f	s_f_el
TLH0	F	7	v	ih_hv_ae
TLH0	F	7	v	iy_hv_eh
