ID	Sex	DR	Vowel	Context
TMT0	M	5	iy	sh_iy_hv
TMT0	M	5	iy	r_iy_z
TMT0	M	5	iy	z_iy_w
TMT0	M	5	iy	m_iy_dx
TMT0	M	5	iy	r_iy_ix
TMT0	M	5	iy	l_iy_r
TMT0	M	5	iy	hh_iy_eh
TMT0	M	5	iy	b_iy_pau
TMT0	M	5	iy	hh_iy_bcl
TMT0	M	5	iy	b_iy_kcl
TMT0	M	5	iy	dh_iy_q
TMT0	M	5	iy	el_iy_v
TMT0	M	5	iy	d_iy_l
TMT0	M	5	iy	sh_iy_n
TMT0	M	5	iy	v_iy_z
TMT0	M	5	iy	dh_iy_ix
TMT0	M	5	iy	dx_iy_ng
TMT0	M	5	iy	p_iy_pcl
TMT0	M	5	iy	dx_iy_z
TMT0	M	5	iy	nx_iy_f
TMT0	M	5	iy	d_iy_z
TMT0	M	5	ae	hv_ae_dcl
TMT0	M	5	ae	nx_ae_s
TMT0	M	5	ae	r_ae_gcl
TMT0	M	5	ae	dh_ae_tcl
TMT0	M	5	ae	hh_ae_v
TMT0	M	5	ae	f_ae_s
TMT0	M	5	ae	n_ae_th
TMT0	M	5	ae	k_ae_n
TMT0	M	5	aa	d_aa_r
TMT0	M	5	aa	s_aa_gcl
TMT0	M	5	aa	p_aa_r
TMT0	M	5	aa	l_aa_tcl
TMT0	M	5	aa	r_aa_nx
TMT0	M	5	aa	l_aa_dcl
TMT0	M	5	aa	r_aa_s
TMT0	M	5	b	ix_bcl_b
TMT0	M	5	b	bcl_b_iy
TMT0	M	5	b	iy_bcl_b
TMT0	M	5	b	bcl_b_iy
TMT0	M	5	b	n_bcl_b
TMT0	M	5	b	bcl_b_el
TMT0	M	5	b	ax_bcl_b
TMT0	M	5	b	bcl_b_el
TMT0	M	5	b	ah_bcl_t
TMT0	M	5	b	pcl_b_ih
TMT0	M	5	d	ae_dcl_d
TMT0	M	5	d	dcl_d_y
TMT0	M	5	d	er_dcl_d
TMT0	M	5	d	dcl_d_aa
TMT0	M	5	d	ao_dx_axr
TMT0	M	5	d	h#_d_ow
TMT0	M	5	d	iy_dx_ix
TMT0	M	5	d	kcl_dh_ae
TMT0	M	5	d	eh_dcl_d
TMT0	M	5	d	dcl_d_l
TMT0	M	5	d	ng_dcl_t
TMT0	M	5	d	m_dh_iy
TMT0	M	5	d	pau_dh_eh
TMT0	M	5	d	eh_dx_ih
TMT0	M	5	d	er_dx_axr
TMT0	M	5	d	h#_dh_ey
TMT0	M	5	d	n_dcl_d
TMT0	M	5	d	dcl_d_iy
TMT0	M	5	d	z_dcl_jh
TMT0	M	5	d	ay_dx_el
TMT0	M	5	d	l_dh_iy
TMT0	M	5	d	aa_dcl_jh
TMT0	M	5	d	r_dx_axr
TMT0	M	5	d	l_dx_ih
TMT0	M	5	d	ey_dx_iy
TMT0	M	5	d	eh_dx_ix
TMT0	M	5	d	ix_dx_iy
TMT0	M	5	d	l_dx_er
TMT0	M	5	d	n_dcl_d
TMT0	M	5	d	dcl_d_iy
TMT0	M	5	d	ih_dx_ix
TMT0	M	5	g	n_gcl_g
TMT0	M	5	g	gcl_g_r
TMT0	M	5	g	ae_gcl_g
TMT0	M	5	g	gcl_g_l
TMT0	M	5	g	ao_ng_dcl
TMT0	M	5	g	aa_gcl_ax
TMT0	M	5	g	ih_ng_ix
TMT0	M	5	g	iy_ng_pcl
TMT0	M	5	g	ah_ng_pcl
TMT0	M	5	g	ix_ng_h#
TMT0	M	5	p	s_epi_m
TMT0	M	5	p	iy_pau_hh
TMT0	M	5	p	el_pau_dh
TMT0	M	5	p	z_epi_m
TMT0	M	5	p	m_pcl_p
