ID	Sex	DR	Vowel	Context
TPF0	M	1	iy	sh_iy_hv
TPF0	M	1	iy	r_iy_s
TPF0	M	1	iy	s_iy_w
TPF0	M	1	iy	m_iy_dx
TPF0	M	1	iy	r_iy_ix
TPF0	M	1	iy	l_iy_r
TPF0	M	1	iy	w_iy_ao
TPF0	M	1	iy	dx_iy_l
TPF0	M	1	iy	m_iy_h#
TPF0	M	1	iy	w_iy_w
TPF0	M	1	iy	z_iy_ih
TPF0	M	1	iy	w_iy_n
TPF0	M	1	iy	n_iy_dcl
TPF0	M	1	iy	r_iy_n
TPF0	M	1	iy	d_iy_aa
TPF0	M	1	iy	jh_iy_aa
TPF0	M	1	iy	r_iy_z
TPF0	M	1	iy	v_iy_z
TPF0	M	1	iy	jh_iy_tcl
TPF0	M	1	ae	hv_ae_dcl
TPF0	M	1	ae	nx_ae_s
TPF0	M	1	ae	r_ae_gcl
TPF0	M	1	ae	dh_ae_tcl
TPF0	M	1	ae	n_ae_sh
TPF0	M	1	ae	hv_ae_v
TPF0	M	1	ae	ch_ae_l
TPF0	M	1	aa	d_aa_kcl
TPF0	M	1	aa	z_aa_r
TPF0	M	1	aa	m_aa_r
TPF0	M	1	aa	ay_aa_r
TPF0	M	1	aa	iy_aa_l
TPF0	M	1	aa	iy_aa_nx
TPF0	M	1	aa	z_aa_nx
TPF0	M	1	uh	l_uh_kcl
TPF0	M	1	uh	w_uh_dcl
TPF0	M	1	d	ae_dcl_y
TPF0	M	1	d	ix_dcl_d
TPF0	M	1	d	dcl_d_aa
TPF0	M	1	d	ao_dx_axr
TPF0	M	1	d	h#_d_ow
TPF0	M	1	d	iy_dx_ix
TPF0	M	1	d	k_dh_ae
TPF0	M	1	d	eh_dx_iy
TPF0	M	1	d	ey_dcl_jh
TPF0	M	1	d	l_dcl_d
TPF0	M	1	d	dcl_d_f
TPF0	M	1	d	ey_dcl_jh
TPF0	M	1	d	aw_dh_ix
TPF0	M	1	d	ix_dcl_d
TPF0	M	1	d	dcl_d_l
TPF0	M	1	d	n_dcl_d
TPF0	M	1	d	dcl_d_ax-h
TPF0	M	1	d	iy_dcl_h#
TPF0	M	1	d	h#_dh_ax
TPF0	M	1	d	ao_dx_axr
TPF0	M	1	d	n_dcl_t
TPF0	M	1	d	h#_d_ix
TPF0	M	1	d	n_dcl_d
TPF0	M	1	d	dcl_d_uw
TPF0	M	1	d	ay_dcl_d
TPF0	M	1	d	dcl_d_iy
TPF0	M	1	d	ix_dcl_jh
TPF0	M	1	d	eh_dcl_w
TPF0	M	1	d	uh_dcl_d
TPF0	M	1	d	dcl_d_z
TPF0	M	1	d	ch_dcl_jh
TPF0	M	1	d	ix_dcl_jh
TPF0	M	1	g	en_gcl_g
TPF0	M	1	g	gcl_g_r
TPF0	M	1	g	ae_gcl_g
TPF0	M	1	g	gcl_g_l
TPF0	M	1	g	ah_ng_f
TPF0	M	1	g	ah_ng_ix
TPF0	M	1	g	h#_g_ah
TPF0	M	1	p	sh_epi_w
TPF0	M	1	p	ax_pcl_p
TPF0	M	1	p	pcl_p_er
TPF0	M	1	p	z_epi_n
TPF0	M	1	p	s_pcl_p
TPF0	M	1	p	pcl_p_ao
TPF0	M	1	p	m_pcl_p
TPF0	M	1	p	pcl_p_ao
TPF0	M	1	p	s_epi_w
TPF0	M	1	p	ao_pcl_p
TPF0	M	1	p	pcl_p_ay
TPF0	M	1	p	z_epi_w
TPF0	M	1	p	sh_epi_n
TPF0	M	1	p	z_epi_n
TPF0	M	1	t	ux_tcl_en
TPF0	M	1	t	ae_tcl_h#
TPF0	M	1	t	ah_th_ix
TPF0	M	1	t	f_tcl_t
TPF0	M	1	t	tcl_t_ax
TPF0	M	1	t	r_tcl_m
TPF0	M	1	t	ix_tcl_t
TPF0	M	1	t	tcl_t_s
TPF0	M	1	t	ao_tcl_t
TPF0	M	1	t	tcl_t_s
TPF0	M	1	t	en_tcl_t
TPF0	M	1	t	tcl_t_ey
TPF0	M	1	t	dcl_t_uw
TPF0	M	1	t	ah_tcl_ch
TPF0	M	1	t	s_tcl_t
TPF0	M	1	t	tcl_t_ah
TPF0	M	1	t	n_tcl_t
TPF0	M	1	t	tcl_t_r
TPF0	M	1	t	k_th_r
TPF0	M	1	t	s_tcl_t
TPF0	M	1	t	tcl_t_h#
TPF0	M	1	t	iy_tcl_ch
TPF0	M	1	t	n_tcl_t
TPF0	M	1	t	tcl_t_eh
TPF0	M	1	t	en_tcl_s
TPF0	M	1	k	aa_kcl_k
TPF0	M	1	k	kcl_k_s
TPF0	M	1	k	s_kcl_m
TPF0	M	1	k	ix_kcl_k
TPF0	M	1	k	kcl_k_eh
TPF0	M	1	k	ay_kcl_k
TPF0	M	1	k	kcl_k_dh
TPF0	M	1	k	uh_kcl_k
TPF0	M	1	k	kcl_k_s
TPF0	M	1	k	eh_kcl_k
TPF0	M	1	k	kcl_k_s
TPF0	M	1	k	r_kcl_k
TPF0	M	1	k	kcl_k_ix
TPF0	M	1	k	axr_kcl_k
TPF0	M	1	k	kcl_k_en
TPF0	M	1	k	ch_kcl_k
TPF0	M	1	k	kcl_k_l
TPF0	M	1	k	axr_kcl_k
TPF0	M	1	k	kcl_k_aw
TPF0	M	1	k	ao_kcl_k
TPF0	M	1	k	kcl_k_th
TPF0	M	1	k	ix_kcl_k
TPF0	M	1	k	kcl_k_oy
TPF0	M	1	s	h#_sh_iy
TPF0	M	1	s	k_s_ux
TPF0	M	1	s	iy_s_iy
TPF0	M	1	s	ao_sh_epi
TPF0	M	1	s	ae_s_kcl
TPF0	M	1	s	en_s_ey
TPF0	M	1	s	er_s_en
