ID	Sex	DR	Vowel	Context
TRT0	M	4	iy	sh_iy_hv
TRT0	M	4	iy	r_iy_s
TRT0	M	4	iy	s_iy_w
TRT0	M	4	iy	m_iy_dx
TRT0	M	4	iy	r_iy_ix
TRT0	M	4	iy	l_iy_r
TRT0	M	4	iy	r_iy_l
TRT0	M	4	iy	dh_iy_q
TRT0	M	4	iy	sh_iy_kcl
TRT0	M	4	iy	th_iy_ix
TRT0	M	4	iy	l_iy_s
TRT0	M	4	iy	k_iy_m
TRT0	M	4	ae	nx_ae_s
TRT0	M	4	ae	r_ae_gcl
TRT0	M	4	ae	dh_ae_tcl
TRT0	M	4	ae	m_ae_n
TRT0	M	4	ae	m_ae_n
TRT0	M	4	ae	k_ae_f
TRT0	M	4	ae	m_ae_s
TRT0	M	4	aa	d_aa_r
TRT0	M	4	aa	l_aa_kcl
TRT0	M	4	aa	k_aa_m
TRT0	M	4	aa	f_aa_r
TRT0	M	4	aa	l_aa_dcl
TRT0	M	4	uh	w_uh_dcl
TRT0	M	4	b	ax_bcl_b
TRT0	M	4	b	bcl_b_r
TRT0	M	4	b	f_bcl_b
TRT0	M	4	b	bcl_b_ao
TRT0	M	4	d	eh_dcl_jh
TRT0	M	4	d	axr_dcl_d
TRT0	M	4	d	dcl_d_aa
TRT0	M	4	d	ao_dx_axr
TRT0	M	4	d	h#_d_ow
TRT0	M	4	d	iy_dx_ix
TRT0	M	4	d	kcl_dh_ae
TRT0	M	4	d	r_dx_er
TRT0	M	4	d	n_dcl_d
TRT0	M	4	d	dcl_d_ix
TRT0	M	4	d	eh_dcl_t
TRT0	M	4	d	ix_dh_iy
TRT0	M	4	d	axr_dcl_d
TRT0	M	4	d	dcl_d_r
TRT0	M	4	d	uh_dcl_g
TRT0	M	4	d	ow_dh_ih
TRT0	M	4	d	ix_dcl_k
TRT0	M	4	d	h#_dh_ax
TRT0	M	4	d	z_dh_ax
TRT0	M	4	d	h#_dh_ix
TRT0	M	4	d	ix_dcl_d
TRT0	M	4	d	dcl_d_ao
TRT0	M	4	d	h#_d_ix
TRT0	M	4	d	ix_dh_ey
TRT0	M	4	d	aa_dcl_jh
TRT0	M	4	d	s_dh_ax
TRT0	M	4	d	h#_dh_ix
TRT0	M	4	d	axr_dx_ix
TRT0	M	4	g	en_gcl_g
TRT0	M	4	g	gcl_g_r
TRT0	M	4	g	ae_gcl_g
TRT0	M	4	g	gcl_g_l
TRT0	M	4	g	ix_gcl_g
TRT0	M	4	g	gcl_g_r
TRT0	M	4	g	ow_gcl_g
TRT0	M	4	g	gcl_g_er
TRT0	M	4	g	dcl_g_ow
TRT0	M	4	g	s_gcl_g
TRT0	M	4	g	gcl_g_ay
TRT0	M	4	p	sh_epi_w
TRT0	M	4	p	q_pau_s
TRT0	M	4	p	s_pcl_p
TRT0	M	4	p	pcl_p_ow
TRT0	M	4	p	m_pau_q
TRT0	M	4	p	ix_pcl_p
TRT0	M	4	p	pcl_p_r
TRT0	M	4	t	ux_tcl_en
TRT0	M	4	t	ae_tcl_h#
TRT0	M	4	t	dcl_t_ix
TRT0	M	4	t	r_tcl_t
TRT0	M	4	t	tcl_t_ix
TRT0	M	4	t	v_tcl_t
TRT0	M	4	t	tcl_t_r
TRT0	M	4	t	ux_th_ih
TRT0	M	4	t	kcl_t_eh
TRT0	M	4	t	s_tcl_t
TRT0	M	4	t	tcl_t_r
TRT0	M	4	t	ey_th_iy
TRT0	M	4	t	n_tcl_ch
TRT0	M	4	t	er_tcl_ch
TRT0	M	4	t	ey_tcl_t
TRT0	M	4	t	tcl_t_s
TRT0	M	4	t	s_tcl_k
TRT0	M	4	k	r_kcl_s
TRT0	M	4	k	s_kcl_k
TRT0	M	4	k	kcl_k_m
TRT0	M	4	k	ix_kcl_k
TRT0	M	4	k	kcl_k_eh
TRT0	M	4	k	aa_kcl_dh
TRT0	M	4	k	ow_kcl_s
TRT0	M	4	k	ix_kcl_k
TRT0	M	4	k	kcl_k_aa
TRT0	M	4	k	iy_kcl_k
TRT0	M	4	k	kcl_k_ix
TRT0	M	4	k	dcl_k_ih
TRT0	M	4	k	v_kcl_k
TRT0	M	4	k	kcl_k_r
TRT0	M	4	k	h#_k_ax-h
TRT0	M	4	k	eh_kcl_t
TRT0	M	4	k	eh_kcl_k
TRT0	M	4	k	kcl_k_s
TRT0	M	4	k	s_kcl_k
TRT0	M	4	k	kcl_k_ux
TRT0	M	4	k	ah_kcl_sh
TRT0	M	4	k	z_kcl_k
TRT0	M	4	k	kcl_k_r
TRT0	M	4	k	ix_kcl_k
TRT0	M	4	k	kcl_k_uw
TRT0	M	4	k	tcl_k_ae
TRT0	M	4	k	s_kcl_k
TRT0	M	4	k	kcl_k_iy
TRT0	M	4	k	s_kcl_f
TRT0	M	4	s	h#_sh_iy
TRT0	M	4	s	kcl_s_ux
TRT0	M	4	s	iy_s_iy
TRT0	M	4	s	ao_sh_epi
TRT0	M	4	s	ae_s_kcl
TRT0	M	4	s	pau_s_pcl
TRT0	M	4	s	kcl_s_ax
TRT0	M	4	s	ih_s_f
TRT0	M	4	s	n_s_ow
TRT0	M	4	s	ow_sh_iy
TRT0	M	4	s	ay_s_ix
TRT0	M	4	s	ix_s_h#
TRT0	M	4	s	k_s_kcl
TRT0	M	4	s	ux_sh_ix
TRT0	M	4	s	n_s_tcl
TRT0	M	4	s	kcl_sh_ix
TRT0	M	4	s	ux_sh_el
TRT0	M	4	s	ix_s_ix
TRT0	M	4	s	iy_s_eh
TRT0	M	4	s	t_s_dh
TRT0	M	4	s	er_s_tcl
TRT0	M	4	s	ix_s_kcl
TRT0	M	4	s	ae_s_kcl
TRT0	M	4	s	ix_s_gcl
TRT0	M	4	z	ih_z_dh
TRT0	M	4	z	n_z_ix
TRT0	M	4	z	ix_z_kcl
TRT0	M	4	z	ah_z_ix
TRT0	M	4	z	ay_z_h#
TRT0	M	4	sh	h#_sh_iy
TRT0	M	4	sh	ao_sh_epi
TRT0	M	4	sh	ow_sh_iy
TRT0	M	4	sh	ux_sh_ix
TRT0	M	4	sh	kcl_sh_ix
TRT0	M	4	sh	ux_sh_el
TRT0	M	4	dh	kcl_dh_ae
TRT0	M	4	dh	ix_dh_iy
TRT0	M	4	dh	ow_dh_ih
TRT0	M	4	dh	h#_dh_ax
TRT0	M	4	dh	z_dh_ax
TRT0	M	4	dh	h#_dh_ix
TRT0	M	4	dh	ix_dh_ey
TRT0	M	4	dh	s_dh_ax
TRT0	M	4	dh	h#_dh_ix
TRT0	M	4	f	h#_f_axr
TRT0	M	4	f	s_f_aa
TRT0	M	4	f	ix_f_uw
TRT0	M	4	f	r_f_h#
TRT0	M	4	f	ax_f_er
TRT0	M	4	f	ae_f_bcl
TRT0	M	4	f	kcl_f_axr
TRT0	M	4	v	iy_hv_eh
TRT0	M	4	v	ax_v_ao
TRT0	M	4	v	ax_v_ix
TRT0	M	4	v	ix_v_tcl
TRT0	M	4	v	ax_v_kcl
TRT0	M	4	v	ax_v_m
TRT0	M	4	v	h#_v_eh
TRT0	M	4	jh	dcl_jh_axr
TRT0	M	4	jh	dcl_jh_y
TRT0	M	4	ch	tcl_ch_er
TRT0	M	4	ch	tcl_ch_h#
