ID	Sex	DR	Vowel	Context
VKB0	F	7	iy	sh_iy_hv
VKB0	F	7	iy	r_iy_s
VKB0	F	7	iy	s_iy_w
VKB0	F	7	iy	m_iy_tcl
VKB0	F	7	iy	r_iy_ix
VKB0	F	7	iy	l_iy_r
VKB0	F	7	iy	r_iy_bcl
VKB0	F	7	iy	s_iy_bcl
VKB0	F	7	iy	r_iy_m
VKB0	F	7	iy	l_iy_z
VKB0	F	7	iy	b_iy_s
VKB0	F	7	iy	r_iy_s
VKB0	F	7	iy	f_iy_l
VKB0	F	7	iy	l_iy_ng
VKB0	F	7	iy	dh_iy_ix
VKB0	F	7	iy	s_iy_kcl
VKB0	F	7	iy	t_iy_ng
VKB0	F	7	iy	ng_iy_ng
VKB0	F	7	iy	l_iy_z
VKB0	F	7	iy	dx_iy_aa
VKB0	F	7	ae	hv_ae_dcl
VKB0	F	7	ae	n_ae_s
VKB0	F	7	ae	r_ae_gcl
VKB0	F	7	ae	dh_ae_tcl
VKB0	F	7	ae	q_ae_tcl
VKB0	F	7	ae	l_ae_kcl
VKB0	F	7	ae	v_ae_l
VKB0	F	7	ae	v_ae_y
VKB0	F	7	ae	s_ae_l
VKB0	F	7	ae	l_ae_n
VKB0	F	7	ae	dh_ae_q
VKB0	F	7	aa	d_aa_r
VKB0	F	7	aa	w_aa_sh
VKB0	F	7	aa	q_aa_f
VKB0	F	7	aa	f_aa_r
VKB0	F	7	aa	iy_aa_dx
VKB0	F	7	uh	w_uh_dx
VKB0	F	7	uh	w_uh_dcl
VKB0	F	7	uh	w_uh_dcl
VKB0	F	7	uh	k_uh_dx
VKB0	F	7	b	iy_bcl_b
VKB0	F	7	b	bcl_b_ih
VKB0	F	7	b	iy_bcl_b
VKB0	F	7	b	bcl_b_l
VKB0	F	7	b	dcl_b_iy
VKB0	F	7	b	ix_bcl_b
VKB0	F	7	b	bcl_b_r
VKB0	F	7	b	er_bcl_b
VKB0	F	7	b	bcl_b_ax
VKB0	F	7	b	ax_bcl_b
VKB0	F	7	b	bcl_b_aw
VKB0	F	7	b	z_bcl_b
VKB0	F	7	b	bcl_b_ay
VKB0	F	7	b	ay_bcl_dh
VKB0	F	7	d	ae_dcl_y
VKB0	F	7	d	r_dcl_d
VKB0	F	7	d	dcl_d_aa
VKB0	F	7	d	ao_dx_axr
VKB0	F	7	d	h#_d_ow
VKB0	F	7	d	k_dh_ae
