ID	Sex	DR	Vowel	Context
WAD0	M	1	iy	r_iy_s
WAD0	M	1	iy	b_iy_kcl
WAD0	M	1	iy	l_iy_ae
WAD0	M	1	iy	l_iy_v
WAD0	M	1	iy	f_iy_ix
WAD0	M	1	iy	t_iy_pcl
WAD0	M	1	iy	r_iy_ih
WAD0	M	1	ae	n_ae_s
WAD0	M	1	ae	r_ae_gcl
WAD0	M	1	ae	dh_ae_tcl
WAD0	M	1	ae	iy_ae_n
WAD0	M	1	aa	d_aa_r
WAD0	M	1	aa	w_aa_sh
WAD0	M	1	aa	axr_aa_l
WAD0	M	1	aa	l_aa_dx
WAD0	M	1	aa	ch_aa_r
WAD0	M	1	uh	w_uh_dcl
WAD0	M	1	b	dcl_b_iy
WAD0	M	1	b	ao_bcl_er
WAD0	M	1	b	s_bcl_b
WAD0	M	1	b	bcl_b_ah
WAD0	M	1	b	axr_bcl_b
WAD0	M	1	b	bcl_b_r
WAD0	M	1	d	eh_dcl_jh
WAD0	M	1	d	axr_dcl_d
WAD0	M	1	d	dcl_d_aa
WAD0	M	1	d	ao_dx_axr
WAD0	M	1	d	h#_d_ow
WAD0	M	1	d	ix_dx_ix
WAD0	M	1	d	kcl_dh_ae
WAD0	M	1	d	ay_dx_ax
WAD0	M	1	d	uh_dcl_b
WAD0	M	1	d	axr_dx_ix
WAD0	M	1	d	r_dx_ix
WAD0	M	1	d	r_dx_ih
WAD0	M	1	d	ih_dcl_jh
WAD0	M	1	d	n_dcl_d
WAD0	M	1	d	dcl_d_ah
WAD0	M	1	d	axr_dh_ax
WAD0	M	1	d	ix_dx_ey
WAD0	M	1	d	ix_dcl_hv
WAD0	M	1	d	ao_dx_ax
WAD0	M	1	d	h#_dh_ax
WAD0	M	1	d	r_dcl_zh
WAD0	M	1	d	ah_dx_axr
WAD0	M	1	d	ey_dx_ax
WAD0	M	1	d	aa_dx_ax
WAD0	M	1	d	r_dcl_jh
WAD0	M	1	d	ay_dcl_z
WAD0	M	1	d	ey_dcl_z
WAD0	M	1	d	ey_dx_eh
WAD0	M	1	d	eh_dcl_h#
WAD0	M	1	g	tcl_eng_gcl
WAD0	M	1	g	eng_gcl_g
WAD0	M	1	g	gcl_g_r
WAD0	M	1	g	ae_gcl_g
WAD0	M	1	g	gcl_g_l
WAD0	M	1	g	ix_ng_tcl
WAD0	M	1	g	ix_ng_ah
WAD0	M	1	g	ax_gcl_g
WAD0	M	1	g	gcl_g_ao
WAD0	M	1	g	ix_ng_hv
WAD0	M	1	g	z_gcl_g
WAD0	M	1	g	gcl_g_aw
WAD0	M	1	g	z_gcl_g
WAD0	M	1	g	gcl_g_r
WAD0	M	1	g	ah_ng_gcl
WAD0	M	1	g	ng_gcl_g
