ID	Sex	DR	Vowel	Context
WBT0	M	1	iy	sh_iy_hv
WBT0	M	1	iy	r_iy_s
WBT0	M	1	iy	s_iy_w
WBT0	M	1	iy	m_iy_dx
WBT0	M	1	iy	r_iy_ix
WBT0	M	1	iy	l_iy_r
WBT0	M	1	iy	r_iy_m
WBT0	M	1	iy	nx_iy_eh
WBT0	M	1	iy	l_iy_pau
WBT0	M	1	iy	l_iy_z
WBT0	M	1	iy	dx_iy_tcl
WBT0	M	1	iy	l_iy_n
WBT0	M	1	iy	l_iy_nx
WBT0	M	1	iy	r_iy_eh
WBT0	M	1	ae	hv_ae_dcl
WBT0	M	1	ae	nx_ae_s
WBT0	M	1	ae	r_ae_gcl
WBT0	M	1	ae	dh_ae_tcl
WBT0	M	1	ae	q_ae_bcl
WBT0	M	1	ae	b_ae_kcl
WBT0	M	1	ae	sh_ae_m
WBT0	M	1	aa	d_aa_r
WBT0	M	1	aa	hh_aa_m
WBT0	M	1	aa	m_aa_v
WBT0	M	1	aa	k_aa_pcl
WBT0	M	1	aa	d_aa_r
WBT0	M	1	uh	b_uh_kcl
WBT0	M	1	uh	n_uh_kcl
WBT0	M	1	uh	t_uh_m
WBT0	M	1	uh	g_uh_dcl
WBT0	M	1	uh	b_uh_kcl
WBT0	M	1	b	dcl_b_ay
WBT0	M	1	b	h#_b_uh
WBT0	M	1	b	ax_bcl_b
WBT0	M	1	b	bcl_b_el
WBT0	M	1	b	ae_bcl_d
WBT0	M	1	b	ix_bcl_b
WBT0	M	1	b	bcl_b_ae
WBT0	M	1	b	ah_bcl_b
WBT0	M	1	b	bcl_b_r
WBT0	M	1	b	ey_bcl_b
WBT0	M	1	b	bcl_b_uh
WBT0	M	1	d	ae_dcl_d
WBT0	M	1	d	dcl_d_y
WBT0	M	1	d	ih_dcl_d
WBT0	M	1	d	dcl_d_aa
WBT0	M	1	d	ux_dx_ih
WBT0	M	1	d	ao_dx_er
WBT0	M	1	d	h#_d_ow
WBT0	M	1	d	iy_dx_ix
WBT0	M	1	d	kcl_dh_ae
WBT0	M	1	d	ax_dh_ax
WBT0	M	1	d	ih_dx_axr
WBT0	M	1	d	n_dcl_d
WBT0	M	1	d	dcl_d_ao
WBT0	M	1	d	ix_dcl_b
WBT0	M	1	d	el_dcl_d
WBT0	M	1	d	dcl_d_ah
WBT0	M	1	d	s_dh_ih
WBT0	M	1	d	n_dcl_w
WBT0	M	1	d	ax_dx_ax
WBT0	M	1	d	bcl_d_ax
WBT0	M	1	d	uh_dcl_f
WBT0	M	1	d	h#_dh_ix
WBT0	M	1	d	n_dcl_d
WBT0	M	1	d	dcl_d_ix
WBT0	M	1	d	ix_dcl_d
WBT0	M	1	d	dcl_d_ah
WBT0	M	1	d	tcl_dh_ax-h
WBT0	M	1	d	h#_dh_ow
WBT0	M	1	d	kcl_dh_ih
WBT0	M	1	d	s_dcl_d
WBT0	M	1	d	dcl_d_er
WBT0	M	1	d	er_dx_iy
WBT0	M	1	d	ix_dh_ix
WBT0	M	1	d	h#_dh_ix
WBT0	M	1	d	uw_dcl_d
WBT0	M	1	d	dcl_d_aa
WBT0	M	1	g	n_gcl_g
WBT0	M	1	g	gcl_g_r
WBT0	M	1	g	ae_gcl_g
WBT0	M	1	g	gcl_g_l
WBT0	M	1	g	ao_gcl_m
WBT0	M	1	g	z_gcl_g
WBT0	M	1	g	gcl_g_uh
WBT0	M	1	g	ah_gcl_g
WBT0	M	1	g	gcl_g_h#
WBT0	M	1	p	sh_epi_w
WBT0	M	1	p	s_epi_m
WBT0	M	1	p	m_epi_s
WBT0	M	1	p	ah_pcl_p
WBT0	M	1	p	pcl_p_axr
WBT0	M	1	p	sh_epi_n
WBT0	M	1	p	s_pcl_p
WBT0	M	1	p	pcl_p_er
WBT0	M	1	p	n_pau_ix
WBT0	M	1	p	z_epi_w
WBT0	M	1	p	ah_pcl_p
WBT0	M	1	p	pcl_p_l
WBT0	M	1	p	iy_pau_q
WBT0	M	1	p	z_epi_m
WBT0	M	1	p	z_epi_m
WBT0	M	1	p	h#_p_l
WBT0	M	1	p	aa_pcl_p
WBT0	M	1	p	pcl_p_ix
WBT0	M	1	p	z_pau_sh
WBT0	M	1	p	m_pcl_p
WBT0	M	1	p	pcl_p_uw
WBT0	M	1	t	ae_tcl_h#
WBT0	M	1	t	n_tcl_t
WBT0	M	1	t	tcl_t_ix
WBT0	M	1	t	n_tcl_ch
WBT0	M	1	t	h#_t_uh
WBT0	M	1	t	er_tcl_t
WBT0	M	1	t	tcl_t_s
WBT0	M	1	t	s_tcl_t
WBT0	M	1	t	tcl_t_r
WBT0	M	1	t	eh_tcl_dh
WBT0	M	1	t	z_tcl_t
WBT0	M	1	t	tcl_t_ey
WBT0	M	1	t	iy_tcl_t
WBT0	M	1	t	tcl_t_ey
WBT0	M	1	t	ao_th_tcl
WBT0	M	1	t	th_tcl_t
WBT0	M	1	t	tcl_t_ix
WBT0	M	1	t	ix_tcl_k
WBT0	M	1	t	n_tcl_t
WBT0	M	1	t	tcl_t_el
WBT0	M	1	k	r_kcl_k
WBT0	M	1	k	kcl_k_s
WBT0	M	1	k	ix_kcl_k
WBT0	M	1	k	kcl_k_eh
WBT0	M	1	k	ay_kcl_dh
WBT0	M	1	k	uh_kcl_k
WBT0	M	1	k	kcl_k_s
WBT0	M	1	k	uh_kcl_k
WBT0	M	1	k	kcl_k_s
WBT0	M	1	k	eh_kcl_k
WBT0	M	1	k	kcl_k_s
WBT0	M	1	k	s_kcl_k
WBT0	M	1	k	kcl_k_ih
WBT0	M	1	k	ae_kcl_k
WBT0	M	1	k	kcl_k_h#
WBT0	M	1	k	ix_kcl_k
WBT0	M	1	k	kcl_k_ao
WBT0	M	1	k	ey_kcl_dh
WBT0	M	1	k	uh_kcl_k
WBT0	M	1	k	kcl_k_l
WBT0	M	1	k	ix_kcl_k
WBT0	M	1	k	kcl_k_l
WBT0	M	1	k	ix_kcl_k
WBT0	M	1	k	kcl_k_aa
WBT0	M	1	k	tcl_k_l
WBT0	M	1	s	h#_sh_iy
WBT0	M	1	s	k_s_ux
WBT0	M	1	s	iy_s_iy
WBT0	M	1	s	ao_sh_epi
WBT0	M	1	s	ae_s_epi
WBT0	M	1	s	ay_s_eh
WBT0	M	1	s	epi_s_ah
WBT0	M	1	s	k_s_ah
WBT0	M	1	s	ah_sh_epi
WBT0	M	1	s	k_s_h#
WBT0	M	1	s	k_s_pcl
WBT0	M	1	s	t_s_dh
WBT0	M	1	s	ih_s_tcl
WBT0	M	1	s	ah_s_kcl
WBT0	M	1	s	ax-h_sh_ao
WBT0	M	1	s	ih_sh_ih
WBT0	M	1	s	ax_s_l
WBT0	M	1	s	ih_s_dcl
WBT0	M	1	s	pau_sh_ae
WBT0	M	1	z	ah_z_ix
WBT0	M	1	z	axr_z_h#
WBT0	M	1	z	ah_z_ih
WBT0	M	1	z	ix_z_gcl
WBT0	M	1	z	ao_z_epi
WBT0	M	1	z	ow_z_epi
WBT0	M	1	z	ux_z_ih
WBT0	M	1	z	n_z_hh
WBT0	M	1	z	ay_z_epi
WBT0	M	1	z	iy_z_tcl
WBT0	M	1	z	ih_z_f
WBT0	M	1	z	er_z_pau
WBT0	M	1	sh	h#_sh_iy
WBT0	M	1	sh	ao_sh_epi
WBT0	M	1	sh	ah_sh_epi
WBT0	M	1	sh	ax-h_sh_ao
WBT0	M	1	sh	ih_sh_ih
WBT0	M	1	sh	pau_sh_ae
WBT0	M	1	dh	kcl_dh_ae
WBT0	M	1	dh	ax_dh_ax
WBT0	M	1	dh	s_dh_ih
WBT0	M	1	dh	h#_dh_ix
WBT0	M	1	dh	tcl_dh_ax-h
WBT0	M	1	dh	h#_dh_ow
WBT0	M	1	dh	kcl_dh_ih
WBT0	M	1	dh	ix_dh_ix
WBT0	M	1	dh	h#_dh_ix
WBT0	M	1	f	ah_f_ah
WBT0	M	1	f	dcl_f_ao
WBT0	M	1	f	z_f_ax
WBT0	M	1	v	iy_hv_ae
WBT0	M	1	v	eh_v_ax
WBT0	M	1	v	eh_v_r
WBT0	M	1	v	eh_v_ax
WBT0	M	1	v	aa_v_el
WBT0	M	1	ch	tcl_ch_r
