ID	Sex	DR	Vowel	Context
WJG0	M	3	iy	sh_iy_hv
WJG0	M	3	iy	r_iy_s
WJG0	M	3	iy	s_iy_w
WJG0	M	3	iy	m_iy_tcl
WJG0	M	3	iy	m_iy_kcl
WJG0	M	3	iy	m_iy_v
WJG0	M	3	iy	l_iy_pau
WJG0	M	3	iy	th_iy_m
WJG0	M	3	iy	hh_iy_s
WJG0	M	3	iy	z_iy_f
WJG0	M	3	iy	l_iy_ix
WJG0	M	3	iy	l_iy_s
WJG0	M	3	iy	d_iy_s
WJG0	M	3	iy	p_iy_pcl
WJG0	M	3	iy	b_iy_n
WJG0	M	3	iy	n_iy_dcl
WJG0	M	3	iy	l_iy_v
WJG0	M	3	iy	b_iy_ix
WJG0	M	3	ae	hv_ae_dcl
WJG0	M	3	ae	n_ae_s
WJG0	M	3	ae	r_ae_gcl
WJG0	M	3	ae	dh_ae_tcl
WJG0	M	3	ae	n_ae_l
WJG0	M	3	ae	hh_ae_f
WJG0	M	3	ae	hv_ae_f
WJG0	M	3	ae	jh_ae_n
WJG0	M	3	ae	ay_ae_m
WJG0	M	3	ae	b_ae_s
WJG0	M	3	aa	d_aa_r
WJG0	M	3	aa	q_aa_r
WJG0	M	3	aa	b_aa_r
WJG0	M	3	aa	b_aa_n
WJG0	M	3	uh	f_uh_l
WJG0	M	3	uh	g_uh_dcl
WJG0	M	3	uh	d_uh_r
WJG0	M	3	uh	w_uh_dcl
WJG0	M	3	b	h#_b_ey
WJG0	M	3	b	m_bcl_b
WJG0	M	3	b	bcl_b_axr
WJG0	M	3	b	dcl_b_iy
WJG0	M	3	b	h#_b_aa
WJG0	M	3	b	r_bcl_b
WJG0	M	3	b	bcl_b_bcl
WJG0	M	3	b	b_bcl_b
WJG0	M	3	b	bcl_b_er
WJG0	M	3	b	ix_bcl_b
WJG0	M	3	b	bcl_b_ih
WJG0	M	3	b	gcl_b_aa
WJG0	M	3	b	h#_b_ae
WJG0	M	3	b	tcl_b_ao
WJG0	M	3	b	n_bcl_b
WJG0	M	3	b	bcl_b_iy
WJG0	M	3	d	ae_dcl_jh
WJG0	M	3	d	er_dcl_d
WJG0	M	3	d	dcl_d_aa
WJG0	M	3	d	ao_dx_er
WJG0	M	3	d	h#_d_ow
WJG0	M	3	d	k_dh_ae
WJG0	M	3	d	eh_dcl_pau
WJG0	M	3	d	pau_dh_ix
WJG0	M	3	d	aw_dcl_h#
WJG0	M	3	d	h#_d_iy
WJG0	M	3	d	n_dcl_jh
WJG0	M	3	d	n_dcl_d
WJG0	M	3	d	dcl_d_ix
WJG0	M	3	d	uh_dcl_d
WJG0	M	3	d	dcl_d_ix
WJG0	M	3	d	n_dcl_d
WJG0	M	3	d	dcl_d_uh
WJG0	M	3	d	r_dcl_jh
WJG0	M	3	d	pau_dh_eh
WJG0	M	3	d	uh_dcl_b
WJG0	M	3	d	iy_dcl_d
WJG0	M	3	d	dcl_d_f
WJG0	M	3	d	n_dcl_d
WJG0	M	3	d	dcl_d_pcl
WJG0	M	3	d	n_dcl_l
WJG0	M	3	g	n_gcl_g
WJG0	M	3	g	gcl_g_r
WJG0	M	3	g	ae_gcl_g
WJG0	M	3	g	gcl_g_l
WJG0	M	3	g	ao_ng_gcl
WJG0	M	3	g	ng_gcl_g
WJG0	M	3	g	gcl_g_axr
WJG0	M	3	g	aw_gcl_g
WJG0	M	3	g	gcl_g_uh
WJG0	M	3	g	ih_gcl_b
WJG0	M	3	g	ix_ng_s
WJG0	M	3	p	sh_epi_w
WJG0	M	3	p	iy_pau_f
WJG0	M	3	p	em_pcl_p
WJG0	M	3	p	pcl_p_ao
WJG0	M	3	p	dcl_pau_dh
WJG0	M	3	p	l_pau_hh
WJG0	M	3	p	s_pcl_p
WJG0	M	3	p	pcl_p_eh
WJG0	M	3	p	f_pcl_p
WJG0	M	3	p	pcl_p_iy
WJG0	M	3	p	iy_pcl_p
WJG0	M	3	p	pcl_p_el
WJG0	M	3	p	s_pau_dh
WJG0	M	3	p	d_pcl_p
WJG0	M	3	p	pcl_p_ey
WJG0	M	3	p	ey_pcl_p
WJG0	M	3	p	pcl_p_axr
WJG0	M	3	p	s_pcl_p
WJG0	M	3	p	pcl_p_ao
WJG0	M	3	t	ux_tcl_t
WJG0	M	3	t	tcl_t_q
WJG0	M	3	t	iy_tcl_t
WJG0	M	3	t	tcl_t_ax-h
WJG0	M	3	t	ae_tcl_h#
WJG0	M	3	t	eh_tcl_m
WJG0	M	3	t	ow_tcl_t
WJG0	M	3	t	tcl_t_hh
WJG0	M	3	t	en_tcl_t
WJG0	M	3	t	tcl_t_ax-h
WJG0	M	3	t	ay_th_iy
WJG0	M	3	t	s_tcl_t
WJG0	M	3	t	tcl_t_w
WJG0	M	3	t	n_th_s
WJG0	M	3	t	s_tcl_t
WJG0	M	3	t	tcl_t_ix
WJG0	M	3	t	ix_tcl_b
