ID	Sex	DR	Vowel	Context
ZMB0	M	2	iy	sh_iy_hv
ZMB0	M	2	iy	r_iy_s
ZMB0	M	2	iy	s_iy_w
ZMB0	M	2	iy	m_iy_dx
ZMB0	M	2	iy	r_iy_ix
ZMB0	M	2	iy	l_iy_r
ZMB0	M	2	iy	r_iy_pau
ZMB0	M	2	iy	nx_iy_f
ZMB0	M	2	iy	l_iy_s
ZMB0	M	2	iy	f_iy_v
ZMB0	M	2	iy	l_iy_h#
ZMB0	M	2	iy	w_iy_n
ZMB0	M	2	iy	l_iy_q
ZMB0	M	2	iy	t_iy_h#
ZMB0	M	2	iy	t_iy_s
ZMB0	M	2	iy	l_iy_ix
ZMB0	M	2	iy	nx_iy_q
ZMB0	M	2	iy	n_iy_dcl
ZMB0	M	2	ae	hv_ae_dcl
ZMB0	M	2	ae	nx_ae_s
ZMB0	M	2	ae	r_ae_gcl
ZMB0	M	2	ae	dh_ae_tcl
ZMB0	M	2	ae	s_ae_m
ZMB0	M	2	ae	n_ae_n
ZMB0	M	2	ae	ay_ae_n
ZMB0	M	2	ae	l_ae_m
ZMB0	M	2	ae	p_ae_nx
ZMB0	M	2	aa	d_aa_r
ZMB0	M	2	aa	t_aa_m
ZMB0	M	2	aa	l_aa_r
ZMB0	M	2	aa	r_aa_bcl
ZMB0	M	2	aa	k_aa_s
ZMB0	M	2	uh	t_uh_kcl
ZMB0	M	2	b	z_bcl_b
ZMB0	M	2	b	bcl_b_er
ZMB0	M	2	b	h#_b_ay
ZMB0	M	2	b	ax_bcl_b
ZMB0	M	2	b	bcl_b_r
ZMB0	M	2	b	n_bcl_b
ZMB0	M	2	b	bcl_b_ay
ZMB0	M	2	b	aa_bcl_b
ZMB0	M	2	b	bcl_b_el
ZMB0	M	2	d	ae_dcl_d
ZMB0	M	2	d	dcl_d_y
ZMB0	M	2	d	er_dcl_d
ZMB0	M	2	d	dcl_d_aa
ZMB0	M	2	d	ao_dx_er
ZMB0	M	2	d	h#_d_ow
ZMB0	M	2	d	iy_dx_ix
ZMB0	M	2	d	kcl_dh_ae
ZMB0	M	2	d	n_dh_ix
ZMB0	M	2	d	n_dcl_f
ZMB0	M	2	d	eh_dcl_hh
ZMB0	M	2	d	th_dcl_d
ZMB0	M	2	d	dcl_d_r
ZMB0	M	2	d	iy_dcl_d
ZMB0	M	2	d	dcl_d_h#
ZMB0	M	2	d	h#_d_ay
ZMB0	M	2	d	er_dcl_jh
ZMB0	M	2	d	r_dcl_jh
ZMB0	M	2	d	z_dh_ax
ZMB0	M	2	g	n_gcl_g
ZMB0	M	2	g	gcl_g_r
ZMB0	M	2	g	ae_gcl_l
ZMB0	M	2	g	ix_ng_l
ZMB0	M	2	g	ix_ng_ix
ZMB0	M	2	g	ih_ng_kcl
ZMB0	M	2	p	t_pau_q
ZMB0	M	2	p	iy_pau_ix
ZMB0	M	2	p	ax_pcl_p
ZMB0	M	2	p	pcl_p_r
ZMB0	M	2	p	m_pcl_p
ZMB0	M	2	p	pcl_p_el
ZMB0	M	2	p	sh_pcl_p
ZMB0	M	2	p	pcl_p_axr
ZMB0	M	2	p	z_epi_m
ZMB0	M	2	p	ch_epi_m
ZMB0	M	2	p	s_pcl_p
ZMB0	M	2	p	pcl_p_l
ZMB0	M	2	p	z_epi_n
ZMB0	M	2	p	m_pcl_s
ZMB0	M	2	p	ax_pcl_p
ZMB0	M	2	p	pcl_p_r
ZMB0	M	2	p	s_pcl_p
ZMB0	M	2	p	pcl_p_ae
ZMB0	M	2	t	ux_tcl_t
ZMB0	M	2	t	tcl_t_pau
